ID,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
6603411226,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,19,19
6701311996,0,0,12,14,14,14,14,14,14,14,14,14,19,19,19,19,21,21,22,22
7801365415,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,17
6602625487,0,0,2,5,5,5,5,7,16,16,21,21,24,30,43,48,61,61,80,86
6602725687,0,0,4,5,12,13,19,27,27,30,33,34,34,36,39,39,41,42,42,45
6603141017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
6506578222,0,0,0,0,4,4,7,12,12,12,12,12,12,12,12,12,12,12,12,12
15132761200,0,0,29,29,29,31,31,31,60,60,60,60,60,60,60,60,60,60,60,60
7102457101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
7202661430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6602184728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
6603700934,4,4,4,4,4,4,4,12,12,12,12,12,24,28,30,32,32,32,45,45
7006083957,2,2,2,2,5,6,7,8,15,20,20,20,23,32,33,41,43,46,46,56
15738234900,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4
20336774900,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,18,18,48,48,48
7005809476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8
8842215300,0,0,0,0,0,0,0,0,0,24,24,29,29,29,29,29,29,120,120,159
57190072464,2,4,8,15,15,15,25,26,26,28,28,32,33,47,47,47,51,51,54,54
57202975385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
6603413971,0,0,0,4,5,5,5,5,5,5,5,18,22,22,22,22,22,22,27,27
8973284600,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,14
56283986400,2,8,37,37,37,49,49,49,49,69,69,97,101,109,109,113,113,113,113,113
10045497000,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,39,39
6603950439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,20,24,24,27
7004570958,0,0,3,3,3,3,3,3,3,11,11,11,11,90,90,90,90,126,126,126
7003295418,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
21933470700,5,6,8,10,26,29,36,38,43,47,54,69,80,87,100,120,130,136,148,157
55943812600,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,18,19,19,19,19
7101691864,0,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4
6602464992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12
7201701828,5,5,5,13,17,21,23,23,23,34,34,55,55,55,55,55,55,55,55,55
57197313812,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
