ID,2010,2011,2012,2013,2014,2015,2016,2017,2018
54681554500,0,0,0,0,6,14,14,14,14
36094850800,0,0,0,0,0,0,7,7,7
36096577700,0,0,0,0,0,0,0,0,12
50162066100,0,4,4,4,4,4,4,4,4
6507953976,0,3,3,5,5,10,10,10,10
55265626800,10,14,15,15,20,29,33,43,44
36600298300,1,1,1,2,2,2,2,2,5
37054281300,17,31,31,38,38,38,74,74,97
36602784800,0,10,17,40,47,57,57,57,57
36651154600,0,9,9,9,9,9,9,9,9
15124875500,0,0,0,0,36,36,36,36,36
35793719600,0,0,0,0,0,0,0,3,3
35795236000,0,0,0,0,0,7,7,12,12
56748516000,7,7,9,13,15,16,16,16,16
7004895038,0,13,13,20,20,20,20,20,20
36573961600,0,9,9,11,11,11,26,26,26
35559306700,0,0,9,9,9,9,9,9,9
36242541600,2,2,6,8,11,16,23,29,31
36441824100,5,5,5,5,5,17,17,17,17
7006151683,0,0,0,0,10,12,16,16,21
23009719000,0,0,7,7,11,11,14,14,15
36496392800,0,0,26,26,26,26,26,26,26
16401089100,14,14,44,47,47,120,120,130,130
24528161300,0,2,5,7,8,14,15,15,15
35926576100,0,0,0,6,6,11,11,11,11
24740711500,0,0,0,0,0,0,0,8,8
36700626600,2,2,3,6,6,6,6,6,6
36158143100,0,0,0,0,0,8,11,11,11
36608551100,2,9,9,9,9,9,9,10,10
16643937300,17,22,32,33,42,58,58,58,58
8309142600,0,0,0,0,5,5,5,5,5
48361713200,0,4,4,4,4,4,4,4,4
35725139300,0,0,0,10,10,10,10,10,10
35361531900,0,0,0,0,0,0,0,0,4
6602979252,0,0,0,0,12,12,12,12,12
36172582200,5,5,7,7,12,21,21,28,28
36187981800,1,1,1,1,1,4,4,4,4
35795986800,0,0,0,0,0,0,0,3,3
35361447800,0,10,10,10,10,10,10,10,10
36180031300,5,12,12,12,17,44,50,51,56
55021323400,0,0,3,9,9,9,25,63,64
35435433800,1,1,1,1,1,1,1,2,2
35079105500,0,0,0,0,8,8,8,8,8
25624154800,0,0,0,0,23,23,23,23,23
7102799428,7,7,7,11,11,12,12,18,18
35956309300,0,0,0,0,0,0,0,0,4
36497457800,11,11,12,23,23,23,23,23,23
55438741400,29,29,43,43,43,43,59,59,59
24774051300,4,4,4,6,9,17,44,73,74
21833278900,0,0,0,16,27,27,27,33,33
36720321700,3,3,3,4,4,4,5,5,14
12781686200,9,12,17,17,18,18,20,22,22
26665152700,0,0,0,0,2,2,2,2,2
8884864300,5,15,17,19,26,28,38,38,38
57202361442,3,3,3,3,3,6,6,6,6
36614381200,3,45,45,45,45,49,67,67,67
36913001700,0,0,0,0,3,3,3,3,3
36444897300,12,16,18,19,19,21,33,33,34
36452493900,2,2,2,2,2,2,2,2,2
55240170800,0,0,0,0,0,0,4,4,5
37000587600,13,13,13,13,13,17,17,17,17
36081897100,0,0,0,0,47,47,47,47,47
35847423500,0,0,0,39,39,39,46,46,46
36459074900,1,1,1,1,1,1,2,2,4
36473554800,1,3,3,3,3,3,3,3,3
7004299552,0,0,2,2,2,2,2,2,5
36483517300,43,43,66,66,82,82,82,82,205
36180602300,3,3,3,3,5,5,5,5,5
36656261000,1,4,4,4,10,11,11,11,11
36986770100,6,8,8,8,8,15,16,20,20
36174814100,0,0,0,0,0,0,0,0,119
36470251900,3,7,9,11,14,14,14,14,14
36451086100,0,0,0,6,6,6,6,6,6
36103370400,0,15,15,15,15,15,15,15,15
36348157600,1,2,4,4,6,6,11,13,14
36993043800,0,0,0,3,5,5,5,5,5
35192210500,0,0,0,0,0,5,5,8,10
55884198000,0,5,5,5,5,5,5,5,5
55959740600,3,3,3,3,7,8,8,8,8
35190835100,0,0,6,10,10,10,10,10,10
55903818400,0,0,0,0,6,6,6,6,6
35771500900,0,0,0,0,11,11,11,11,11
