ID,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
6603067743,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
55865127100,6,6,6,6,6,6,6,6,6,6,6,6,6,2006
35183404700,3,3,3,3,3,3,3,3,3,3,3,3,5,2006
55435384900,1,1,1,1,1,1,1,1,16,24,24,24,33,2006
15623736800,2,2,2,2,2,2,2,21,21,21,21,21,42,2006
9250303900,4,4,4,4,4,4,4,4,4,4,4,4,48,2006
