ID,2016,2017,2018,start_year
57190943852,7,7,7,2016
57191039090,3,3,3,2016
57189072926,3,3,3,2016
57192384032,3,3,7,2016
35590499600,5,5,5,2016
25959932700,16,16,16,2016
6603684704,4,4,6,2016
57194111411,1,1,1,2016
57191912451,3,3,4,2016
57190860223,11,11,11,2016
55485468000,3,3,4,2016
57189495788,5,5,6,2016
57190682797,4,7,8,2016
15768729100,24,24,32,2016
57191752797,4,4,4,2016
57194116385,16,16,16,2016
57193318435,2,2,4,2016
35167813200,13,13,13,2016
7004509377,2,2,2,2016
57207543831,3,3,6,2016
55415518200,4,5,7,2016
57193734166,3,3,7,2016
57190845104,6,6,9,2016
57192193099,3,3,5,2016
57191032090,2,2,2,2016
54791054200,6,6,8,2016
57196168395,3,3,5,2016
57191592561,3,3,3,2016
55747718200,5,5,21,2016
57191033162,2,2,3,2016
8549257000,4,5,7,2016
55761764700,5,5,5,2016
37076152100,16,16,16,2016
24479432000,4,4,5,2016
57055612000,3,3,3,2016
57190249448,7,7,11,2016
57193068603,4,4,4,2016
15022497800,3,3,4,2016
57191375513,2,2,7,2016
57190255332,3,3,8,2016
55944873900,3,3,3,2016
56333515300,18,18,27,2016
57202711211,6,6,8,2016
57203320359,2,2,2,2016
57191340613,2,2,2,2016
57190019804,5,5,7,2016
55361631600,6,6,11,2016
43561793000,2,2,3,2016
57189520468,5,5,5,2016
57191070201,3,3,5,2016
57192681959,3,3,4,2016
57192413594,6,6,8,2016
14325169600,6,6,10,2016
57193484053,2,2,2,2016
57194237464,1,1,1,2016
57190487712,3,4,4,2016
57191221775,3,3,3,2016
57132464200,6,6,11,2016
57195470067,2,2,2,2016
57192316963,1,1,1,2016
7801694218,5,5,12,2016
57188813736,3,3,8,2016
7402122004,7,7,9,2016
57194101502,17,17,18,2016
57189327808,7,7,7,2016
24448486800,2,2,2,2016
57190248515,4,6,6,2016
36095844900,13,13,13,2016
57156257200,3,3,3,2016
56434284500,3,3,3,2016
57190336371,1,3,3,2016
7004041417,3,3,10,2016
57191035795,2,3,4,2016
57188989464,1,1,1,2016
57193315184,2,2,3,2016
54584834500,1,1,12,2016
55193022100,2,2,2,2016
57191663099,8,8,9,2016
57192541068,4,4,4,2016
57192643877,2,7,7,2016
57203485736,2,2,4,2016
57190585058,4,4,7,2016
57191039575,4,4,5,2016
55467685600,2,2,19,2016
57191036636,2,2,2,2016
36170801300,4,4,4,2016
50861646900,3,3,3,2016
57194280013,1,1,1,2016
57194212916,2,3,10,2016
57189986561,1,1,19,2016
57202402987,3,3,6,2016
57194264385,5,5,5,2016
57191158832,2,2,2,2016
24587026900,4,4,4,2016
23468088900,10,10,13,2016
57192665209,4,4,5,2016
26430676400,8,8,9,2016
57190843287,3,3,5,2016
10541124900,5,5,5,2016
57190767394,3,6,8,2016
52063998900,16,16,22,2016
14626806500,6,6,8,2016
23990799300,6,9,19,2016
57193456440,3,3,4,2016
55763672800,3,3,10,2016
57193068768,3,3,3,2016
7404910952,8,9,15,2016
57191544305,2,2,2,2016
8930636800,2,2,2,2016
57189593761,8,8,9,2016
56704804100,3,3,3,2016
57202020619,4,4,4,2016
56901453100,2,2,4,2016
36117624400,4,4,5,2016
6602982360,4,6,6,2016
57190950745,3,3,4,2016
36975585800,4,4,4,2016
57193327760,2,2,2,2016
57189656653,11,11,42,2016
57193792573,5,5,8,2016
57204222443,4,4,11,2016
13105073800,4,5,8,2016
54901124500,16,16,16,2016
56735971900,2,4,5,2016
15765528600,3,3,7,2016
57196721279,4,4,4,2016
57195264521,3,3,6,2016
57193157171,6,6,8,2016
57193065988,2,2,10,2016
14619310000,27,27,29,2016
57190674732,2,2,5,2016
7003867855,5,5,12,2016
57189219985,2,2,4,2016
6602409807,6,6,11,2016
57197775870,3,3,5,2016
57094907400,3,3,3,2016
57189049279,6,9,10,2016
57191077348,8,9,9,2016
57188557129,3,3,3,2016
57192173918,9,9,9,2016
7201413847,4,4,7,2016
57162041500,3,3,3,2016
25631193000,5,5,10,2016
57056188300,3,3,3,2016
39862003200,4,6,6,2016
57192188506,4,5,7,2016
57190946849,7,7,7,2016
55895026600,5,5,5,2016
55737931500,2,2,3,2016
57188667191,3,6,7,2016
57188805389,5,5,5,2016
57206170091,2,2,5,2016
57190227101,18,18,28,2016
57191597197,3,3,3,2016
57191750234,2,7,11,2016
57112065700,8,8,9,2016
56500570100,8,8,8,2016
57188980940,4,4,4,2016
57192660087,1,4,7,2016
57190667915,13,13,13,2016
57193572028,1,1,3,2016
57190344254,3,3,4,2016
55096209000,2,2,5,2016
15756630500,16,16,16,2016
56585489400,2,2,3,2016
37090777300,2,2,2,2016
24741216400,3,3,9,2016
6603185658,2,2,9,2016
55365754800,2,2,4,2016
55846681800,2,2,2,2016
