ID,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
36060775900,1,1,1,1,1,1,1,1,1,1,1,1,1,12,2005
6701878175,24,24,24,27,27,27,27,27,27,27,27,27,27,31,2005
7006750290,56,56,56,56,56,56,56,56,56,56,56,59,59,59,2005
