ID,2017,2018,start_year
57196190739,3,8,2017
7102945187,4,31,2017
57193859122,4,4,2017
13406373500,5,12,2017
56405568500,11,11,2017
57191914289,3,6,2017
57191521318,3,3,2017
9132768300,9,9,2017
57195338663,4,7,2017
57193484476,4,5,2017
57195346679,2,5,2017
57203057099,5,5,2017
57194540024,2,4,2017
42961003100,9,17,2017
57194218304,1,1,2017
56252718500,2,3,2017
57195339831,1,14,2017
7005288310,7,16,2017
57202913314,12,16,2017
57191522129,8,8,2017
26026441600,5,5,2017
57201989800,2,7,2017
56177559300,3,4,2017
57195064138,6,9,2017
57195367397,3,7,2017
57195403878,4,4,2017
57195479763,4,4,2017
57147918000,5,5,2017
56000498100,3,7,2017
57194028002,2,2,2017
56155145000,6,8,2017
57193345348,2,7,2017
57201862126,1,3,2017
8276553400,6,7,2017
57202317996,2,5,2017
57193537140,7,15,2017
57194212121,3,5,2017
57189657351,1,6,2017
57200612688,3,3,2017
8423888500,4,6,2017
56308033400,2,8,2017
57195512798,2,2,2017
57193347867,4,4,2017
56643090400,3,5,2017
57199998318,2,2,2017
57200518341,3,8,2017
57195102699,3,4,2017
56012572400,3,3,2017
57188647611,4,4,2017
55489762000,4,12,2017
56564871400,5,9,2017
37048401000,6,15,2017
7005059298,3,8,2017
57190493458,5,5,2017
57196024356,5,6,2017
57195275541,1,2,2017
57193622818,5,7,2017
55702433500,22,26,2017
57193991474,3,3,2017
57189334144,11,11,2017
56188448200,1,1,2017
55991191300,6,9,2017
57199280178,4,4,2017
57200533821,3,5,2017
57200615984,3,9,2017
57204999811,3,7,2017
57192676958,2,6,2017
57195281913,2,3,2017
56829518300,1,4,2017
57192986762,6,7,2017
57201447962,4,18,2017
39161902700,2,3,2017
57200501605,2,3,2017
49865199600,4,7,2017
57195332529,4,9,2017
57204219916,2,4,2017
57200522807,3,5,2017
57204945142,2,3,2017
15022709300,6,8,2017
57195920954,6,6,2017
57193359107,2,4,2017
57193234078,5,9,2017
57193328564,3,3,2017
57197781630,4,4,2017
57201013495,6,7,2017
57190370942,7,7,2017
57193343760,4,6,2017
57190613327,3,3,2017
57199851629,3,3,2017
57194774130,1,1,2017
57021808400,7,11,2017
57200016231,6,9,2017
56004857800,5,6,2017
24588246800,2,3,2017
56608442100,4,4,2017
56566273500,3,7,2017
57202873940,4,5,2017
55698918200,3,3,2017
56654696300,5,10,2017
57202292645,3,3,2017
23467162500,5,10,2017
57194168193,6,6,2017
57195402557,4,4,2017
57195361197,5,6,2017
57193484302,4,4,2017
24528232000,6,6,2017
57196019981,2,2,2017
6603107630,3,5,2017
57196025561,3,7,2017
57201359018,3,3,2017
56522922000,3,5,2017
57196319210,4,4,2017
55015607600,3,3,2017
36998688100,2,5,2017
56109371100,5,5,2017
57194186629,1,1,2017
56436323000,8,10,2017
12760289200,20,34,2017
57191862153,11,21,2017
57194717278,6,10,2017
57189098741,6,10,2017
57200542608,2,2,2017
57199410735,4,6,2017
57188581032,6,7,2017
57202870686,3,5,2017
57200409178,2,2,2017
57202700587,4,4,2017
35111669300,2,2,2017
55014463800,3,5,2017
57200209806,3,5,2017
57194690968,9,23,2017
57195068905,6,9,2017
55821627500,8,9,2017
24829700400,6,9,2017
55985244900,5,6,2017
55971412900,5,10,2017
15032551400,3,3,2017
57195204731,4,4,2017
56912310500,5,5,2017
49362257000,8,13,2017
57201260833,4,4,2017
57200516436,3,3,2017
57200141850,4,9,2017
57204031398,2,3,2017
35119794700,33,37,2017
57199257521,4,6,2017
57194380217,5,5,2017
57194179149,5,5,2017
57203722523,2,2,2017
56266732700,7,8,2017
56544517400,6,11,2017
57193949835,2,2,2017
24345824600,1,8,2017
25960456600,4,11,2017
57195197323,4,9,2017
57191906630,6,7,2017
57194706319,3,3,2017
57193556150,3,3,2017
57195975737,3,3,2017
57193578923,2,5,2017
57194566205,1,1,2017
57194267625,8,9,2017
57200903813,5,11,2017
57193344423,2,2,2017
57195430289,3,4,2017
57200612172,3,3,2017
