Unnamed: 0,ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
2461,36160867400,7,7,7,7,7,7,7,7,7,2010
2478,23466918000,6,6,6,6,6,6,6,6,6,2010
2532,36132939000,1,1,1,1,1,1,1,1,1,2010
2533,15729370300,1,1,1,1,1,1,1,1,1,2010
2542,55250839700,2,2,2,2,2,2,2,2,2,2010
2592,36667292000,4,4,4,4,4,4,4,4,4,2010
2605,36237927200,3,3,3,3,7,8,8,8,8,2010
2613,25633507700,13,13,13,13,13,13,13,13,13,2010
2629,36459994400,3,3,4,4,4,4,5,5,5,2010
2642,56273983000,19,19,19,19,19,19,19,19,19,2010
2643,15832159300,26,26,26,26,37,37,41,42,42,2010
2667,57196673166,3,3,3,3,3,3,3,3,3,2010
2690,7004013978,50,50,50,50,50,50,50,50,50,2010
2693,6507146427,2,2,2,2,2,2,2,2,2,2010
2707,56568050500,1,4,6,6,6,6,6,6,6,2010
2709,36813396200,4,4,4,4,4,18,18,18,18,2010
2712,7003788378,11,11,11,11,15,15,15,22,22,2010
2729,55455556500,4,4,4,4,4,4,4,4,4,2010
2739,6602079091,6,6,6,6,6,6,6,6,6,2010
2742,25422147700,4,5,5,5,5,5,5,5,5,2010
2750,36698511100,24,24,24,24,24,24,24,24,24,2010
2764,14056752100,13,13,13,13,13,13,13,13,13,2010
2798,6505470575,5,5,5,5,5,5,5,5,5,2010
2817,36554143400,2,2,2,2,2,2,2,2,2,2010
2841,6603137197,5,5,5,5,5,5,5,5,5,2010
2868,57197122558,2,3,3,3,3,3,3,3,3,2010
2884,6701616786,5,5,11,15,15,19,19,19,20,2010
2894,6506044748,4,9,10,22,22,33,41,44,52,2010
2900,37002487100,3,3,3,3,3,3,3,3,3,2010
2909,36184991200,2,2,2,2,2,2,2,2,2,2010
2926,36608314200,3,3,3,3,3,3,3,3,3,2010
2961,55521612300,11,11,11,11,20,21,21,21,22,2010
2965,56369666300,14,14,14,14,14,14,14,14,14,2010
2985,35222471800,78,78,78,78,78,78,78,78,78,2010
3003,57195195071,14,14,14,14,14,14,14,14,14,2010
3019,35619975500,4,4,4,4,4,4,4,4,4,2010
3026,15521603000,1,1,3,3,3,3,3,3,3,2010
3032,57197500961,14,25,25,25,25,25,25,25,25,2010
3050,35173057100,10,10,10,10,10,10,10,10,10,2010
3105,35770363700,3,3,4,4,4,4,4,4,4,2010
3148,6603634824,3,3,3,3,3,3,3,7,7,2010
3189,36919366000,5,5,5,5,5,5,5,5,5,2010
3191,8973955000,1,1,1,1,1,1,1,1,1,2010
3197,24825014500,3,3,3,3,3,3,3,3,3,2010
3233,35239938700,22,22,36,36,41,85,90,90,90,2010
3238,6603096542,3,3,3,3,3,3,3,3,3,2010
3244,35728045300,3,3,3,3,3,5,8,8,8,2010
3301,24605682200,3,3,3,3,9,13,13,16,16,2010
3314,36705721300,2,2,2,2,2,2,2,2,2,2010
3353,34876513100,6,6,6,6,6,6,6,6,6,2010
3364,55914469100,7,12,12,12,12,12,12,12,12,2010
3373,38062371000,10,10,10,10,10,10,10,10,10,2010
3380,57117849000,5,5,5,5,5,5,5,5,5,2010
3410,56517491400,12,12,12,12,12,12,12,12,12,2010
3420,25653702300,13,16,16,16,16,16,16,16,16,2010
3429,36681934700,5,5,8,8,8,8,8,8,8,2010
3442,36015081100,4,4,4,4,4,4,4,4,4,2010
3480,35230983700,4,4,4,4,8,8,8,10,14,2010
3497,13907797600,2,2,2,2,2,2,2,2,2,2010
3499,21933245700,4,4,4,4,4,4,4,4,4,2010
3559,36614302200,10,10,23,23,40,40,106,106,199,2010
3569,23007964200,9,9,9,10,10,10,10,13,13,2010
3570,24824609300,2,3,3,3,3,3,3,3,3,2010
3574,6701840343,1,1,1,1,1,1,1,1,1,2010
3626,6603756462,2,2,2,2,2,2,2,2,2,2010
3657,26665350700,3,3,5,5,8,8,8,16,16,2010
3679,14035425800,6,13,14,14,14,15,15,15,15,2010
3693,36809803300,6,6,6,16,16,16,16,16,16,2010
3750,8656410900,3,3,3,3,3,3,3,3,3,2010
3786,26026884200,3,3,3,3,3,3,3,3,3,2010
3813,36813771200,20,20,20,20,20,20,20,20,20,2010
3826,57188853867,3,3,3,5,6,14,14,14,14,2010
3847,24466485200,4,4,4,4,4,4,4,4,4,2010
3854,6602099103,1,1,1,1,1,3,3,3,3,2010
3864,54894458400,5,5,6,6,6,6,6,6,6,2010
3872,22957171000,2,24,27,27,27,27,27,27,27,2010
3878,6701370635,27,27,27,27,27,27,27,27,27,2010
3887,57197241624,4,4,4,4,4,4,4,4,4,2010
3894,36466293100,4,4,4,4,4,4,4,4,4,2010
3897,35100019300,2,2,2,2,2,2,2,2,2,2010
3909,23010993000,23,23,28,28,28,28,28,28,28,2010
3918,23983301500,4,4,4,4,4,4,4,4,4,2010
3940,16635214000,15,15,34,34,36,36,36,36,109,2010
3945,7202271993,6,6,7,7,7,7,7,7,7,2010
3951,24467169200,4,4,9,9,9,9,9,9,9,2010
3962,36614482400,22,22,22,22,86,86,115,115,141,2010
3966,7407523188,25,25,28,28,34,34,36,36,40,2010
3984,12645466300,7,7,7,7,7,7,7,7,7,2010
3987,13009190200,8,8,8,8,8,8,8,8,8,2010
3992,7405766735,2,2,2,2,2,2,2,2,2,2010
3995,26422619000,5,5,5,5,5,5,5,5,5,2010
4014,56461694800,4,4,4,4,4,4,4,4,4,2010
4081,25822794700,26,26,31,31,31,31,39,39,39,2010
4089,8725302400,7,7,7,7,7,7,7,7,7,2010
4097,6603989798,6,6,6,6,6,6,6,6,6,2010
4099,36143117100,3,3,4,4,4,4,4,4,6,2010
4127,56478378600,6,6,6,6,6,6,6,6,12,2010
4138,6603436147,2,2,2,2,2,2,2,2,2,2010
4139,25634494000,5,5,5,5,5,5,5,5,5,2010
4147,36998789900,4,4,4,4,4,4,4,4,4,2010
4160,36521269800,3,3,3,3,3,3,3,3,3,2010
4173,57201823236,12,12,12,12,12,12,12,12,12,2010
4180,36486419900,7,7,7,7,7,7,7,7,7,2010
4193,56636814200,1,1,1,1,1,1,1,1,1,2010
4231,36701391300,3,3,3,3,3,3,3,3,3,2010
4235,57204160176,3,3,3,3,3,3,3,3,3,2010
4245,36189625700,1,1,1,1,1,1,1,1,1,2010
4246,36182015200,4,4,4,4,4,4,4,4,4,2010
4252,35955832200,5,12,13,13,13,13,13,13,13,2010
4271,24179077100,3,4,4,4,4,4,4,4,4,2010
4272,36604613000,7,7,7,7,7,7,7,7,7,2010
4278,43661645400,3,5,5,5,5,5,5,5,5,2010
4280,9846483200,3,3,3,3,3,3,3,3,3,2010
4287,34880389100,2,2,2,2,2,2,2,2,2,2010
4323,36600104800,2,2,2,2,2,2,2,2,2,2010
4357,55492266400,3,3,3,3,3,3,3,3,3,2010
4377,56115477500,4,4,4,4,4,4,4,4,4,2010
4391,55262925700,2,2,3,3,3,3,3,4,4,2010
4400,35419333100,6,6,6,6,6,6,6,6,6,2010
4434,55364648900,2,2,9,9,9,21,22,22,22,2010
4437,26537767000,6,6,6,12,12,12,17,17,17,2010
4453,57197924203,13,13,13,13,13,13,13,13,13,2010
4477,7203068904,8,9,12,21,21,27,27,28,28,2010
4479,23090822300,2,2,2,2,2,2,2,2,2,2010
4513,7003957664,36,36,82,82,109,109,146,146,168,2010
4537,7201355158,3,3,3,3,3,3,3,3,3,2010
4540,7004373869,2,4,4,4,4,4,4,4,4,2010
4542,25646468900,3,3,3,3,3,3,3,3,3,2010
4547,7102415326,6,6,6,6,6,6,6,6,6,2010
4552,57190787115,4,4,4,4,4,4,4,4,4,2010
4573,37079562700,17,17,17,17,17,17,17,17,17,2010
4598,25225108500,2,3,4,4,4,4,4,4,4,2010
4600,7004825238,42,42,42,42,42,42,42,42,42,2010
4618,6603794359,3,3,3,3,3,3,3,3,3,2010
4625,24447512400,7,7,7,7,7,7,7,7,7,2010
4640,14324729200,10,10,10,10,10,10,10,10,10,2010
4659,25721994200,5,5,5,5,5,5,5,5,5,2010
4688,9735117400,3,4,4,9,9,9,9,9,9,2010
4713,25723703100,3,5,7,9,9,9,9,9,9,2010
4723,24437426700,11,11,11,11,11,11,11,11,11,2010
4747,35518167400,26,26,26,26,26,26,26,26,26,2010
4768,7006083644,3,3,3,3,3,3,3,3,3,2010
4778,55822439500,2,2,2,4,4,4,4,4,4,2010
4784,37058605800,3,3,3,3,3,4,4,4,4,2010
4802,57199454759,1,1,1,1,1,1,1,1,1,2010
4819,36159707600,6,6,6,6,6,6,6,6,6,2010
4828,55367743300,3,3,3,3,3,3,3,3,3,2010
4854,36730760900,9,9,9,9,9,9,9,9,9,2010
4909,55170026800,12,12,12,15,26,31,42,42,42,2010
4994,8083856100,1,1,1,1,1,1,1,1,1,2010
5003,7101611714,7,15,15,15,15,15,15,29,29,2010
5013,36924537500,6,12,12,12,12,12,12,12,12,2010
5043,35581437700,2,2,3,3,3,3,3,3,3,2010
5069,34976255100,33,33,48,50,50,50,50,50,50,2010
5092,55431623200,2,2,2,2,2,2,2,2,2,2010
5096,23089502300,5,6,6,6,6,6,6,6,6,2010
5118,55036442600,9,9,9,9,45,45,45,45,69,2010
5124,36245448800,4,4,4,17,17,17,17,17,17,2010
5127,36918481800,5,5,5,5,5,5,5,5,5,2010
5152,35191693000,6,6,6,6,6,6,6,6,6,2010
5172,36504252600,1,1,1,1,1,1,1,1,1,2010
5229,36722009200,16,18,18,19,19,19,19,19,19,2010
5244,36615854600,1,6,8,8,8,8,9,12,12,2010
5252,6701602996,26,26,26,26,26,26,26,26,26,2010
5256,24167926000,1,1,1,5,5,5,5,5,5,2010
5265,55279474500,15,15,15,15,15,15,15,15,15,2010
5267,36623256600,3,3,3,3,3,3,3,3,3,2010
5274,6602641428,34,34,34,34,34,34,34,34,34,2010
5276,33468019100,1,1,4,4,4,4,4,4,4,2010
5331,6602975500,3,3,3,3,3,3,6,6,6,2010
5342,7201449923,5,5,5,5,5,5,5,5,5,2010
5371,36606909200,7,7,7,7,7,7,7,7,7,2010
5376,34968980200,1,1,1,1,1,1,1,1,1,2010
