Unnamed: 0,ID,2016,2017,2018,start_year
2843,57193702221,4,4,4,2016
2859,55842835600,47,47,47,2016
2860,57192427511,3,3,3,2016
2891,56609057500,9,9,9,2016
2908,57188810109,5,5,5,2016
2950,6508064170,3,3,3,2016
2966,56102177900,1,1,1,2016
3008,56992750600,7,7,7,2016
3018,6601993392,4,4,4,2016
3031,26025850300,6,6,6,2016
3057,36638991100,10,10,10,2016
3061,7102861407,7,7,7,2016
3074,55822742700,1,1,1,2016
3076,57091813100,4,4,4,2016
3078,57188565697,3,3,3,2016
3086,7201463973,8,8,8,2016
3093,6602925041,10,10,10,2016
3111,7003978929,6,6,6,2016
3160,56786393400,3,3,3,2016
3163,16174978200,21,21,21,2016
3174,57193029094,3,3,3,2016
3179,17346968200,4,4,18,2016
3199,56350036600,2,2,2,2016
3200,57193789238,4,4,4,2016
3220,56586167500,6,6,6,2016
3236,57192197994,7,11,30,2016
3267,18435271000,1,3,3,2016
3280,25649076300,2,2,2,2016
3306,54946641900,5,5,5,2016
3331,55511165400,3,10,10,2016
3366,8238185400,35,35,35,2016
3368,55891879300,7,7,7,2016
3371,40461263700,3,3,5,2016
3414,57189328550,4,7,8,2016
3458,56925497400,11,11,11,2016
3459,7007168423,28,28,30,2016
3467,55542663900,40,40,100,2016
3474,6603260099,70,70,70,2016
3486,6602331249,1,1,1,2016
3517,57189097686,3,3,3,2016
3536,57193351775,2,6,6,2016
3546,16309794100,6,6,6,2016
3547,35753052800,13,13,13,2016
3555,57192431690,2,4,4,2016
3561,25027115800,15,15,15,2016
3572,56879230000,4,4,4,2016
3573,56592910400,12,12,12,2016
3576,23477532700,54,54,54,2016
3590,7006633322,3,3,3,2016
3604,56146251100,3,3,3,2016
3631,7102400958,16,16,16,2016
3653,57192543697,6,7,7,2016
3654,57110067000,25,25,25,2016
3710,57102195500,3,3,3,2016
3724,56592095400,2,2,2,2016
3726,35608789800,2,2,2,2016
3748,57188861977,4,4,4,2016
3761,57191265349,4,4,4,2016
3768,8969748600,4,7,7,2016
3775,57191887763,1,2,2,2016
