Unnamed: 0,ID,2012,2013,2014,2015,2016,2017,2018,start_year
13,7401970635,12,12,12,12,12,12,12,2012
24,36634548900,4,9,9,9,9,9,9,2012
45,7003494205,4,4,4,4,4,4,4,2012
57,6602726745,3,3,3,3,3,3,3,2012
60,54581742800,5,5,5,5,5,5,5,2012
65,35226280500,3,3,3,3,3,3,3,2012
87,55639540400,3,3,3,3,5,5,5,2012
132,7007166540,9,9,9,9,9,9,9,2012
134,55146647600,4,4,11,11,13,13,13,2012
135,56340131200,56,62,71,71,71,71,71,2012
165,55684446500,2,2,2,2,2,2,2,2012
197,12902713100,1,1,1,1,1,1,1,2012
206,6701714180,59,69,69,69,69,69,69,2012
212,56016849700,3,3,3,3,3,3,3,2012
228,35501435900,7,7,7,7,7,7,7,2012
249,54407250400,3,4,4,6,6,6,6,2012
255,6603196991,8,8,8,8,8,8,8,2012
261,55390131000,2,2,2,2,2,2,2,2012
262,55782145400,22,22,22,22,22,22,22,2012
276,56396941400,2,2,2,2,2,2,2,2012
281,55352471100,1,1,1,1,1,1,1,2012
290,8915683900,4,4,4,4,4,4,4,2012
303,55811800700,4,4,4,4,4,4,4,2012
316,16027501900,23,23,23,23,23,23,23,2012
327,56937806800,7,7,7,7,7,7,7,2012
373,7004632677,4,4,20,23,24,24,24,2012
400,24335475600,7,10,10,10,10,15,15,2012
435,44061145500,7,7,7,7,7,7,7,2012
460,9436849500,3,3,24,24,29,29,29,2012
479,57199066122,39,39,72,72,72,72,72,2012
496,23005317000,7,7,7,7,7,7,7,2012
499,55995655700,2,2,2,3,3,7,17,2012
514,6603838207,7,16,16,16,16,16,16,2012
560,55336597100,2,2,2,4,4,4,4,2012
594,12242450800,2,3,3,3,7,7,7,2012
601,6604021227,4,4,4,4,4,4,4,2012
603,8937681800,6,6,6,6,7,7,7,2012
615,26644135200,5,5,5,5,5,5,5,2012
619,7004022711,26,32,32,32,32,32,32,2012
633,26031071400,4,4,4,4,4,4,4,2012
639,55053435400,1,1,1,1,2,2,2,2012
663,26430697600,8,8,8,8,8,8,8,2012
693,35226710600,5,5,5,5,5,5,5,2012
698,24329996300,7,7,7,7,7,7,7,2012
734,8972649800,3,3,3,3,3,3,3,2012
737,55485940200,4,4,6,6,6,6,6,2012
795,23476362800,4,4,4,4,4,9,9,2012
824,57201517140,4,4,4,4,4,4,4,2012
839,57199531976,6,6,6,6,6,6,6,2012
891,55371568400,2,2,3,4,4,4,4,2012
894,57196881113,3,3,3,3,3,3,3,2012
990,55547464700,3,4,4,4,4,4,4,2012
991,6602654044,11,11,11,26,33,33,33,2012
1001,36190330500,4,4,4,4,4,4,4,2012
1042,55552789100,27,27,27,27,27,27,27,2012
1052,57147796200,4,4,4,4,4,4,4,2012
1054,54396240700,2,2,2,23,23,23,23,2012
1063,7004736287,14,17,17,17,43,43,43,2012
1129,53877668500,2,2,3,3,3,3,3,2012
1133,55387308700,4,4,4,4,4,4,4,2012
1139,14044821700,3,3,3,8,11,14,14,2012
1143,55553679000,7,7,7,7,7,7,7,2012
1156,35423489200,3,3,3,3,3,3,3,2012
1168,56603526600,6,6,6,6,6,6,6,2012
1179,35750932500,4,4,4,4,4,4,4,2012
1187,7004889724,16,16,16,16,64,64,89,2012
1191,57203105218,5,5,5,5,5,7,7,2012
1210,57202654476,6,6,7,7,7,7,9,2012
1226,55372565100,4,4,4,4,4,4,4,2012
1280,6602823587,6,6,6,6,6,7,7,2012
1304,35769262000,12,12,12,12,12,12,12,2012
1316,6504271292,2,2,2,2,2,2,2,2012
1336,9740792600,6,6,8,31,34,38,38,2012
1357,55566867200,2,2,2,2,2,2,2,2012
1375,35366144000,4,4,4,4,4,4,4,2012
1376,55628527677,6,6,6,6,6,6,6,2012
1399,24468168900,3,3,3,3,3,3,3,2012
1451,56981854100,7,7,7,7,7,7,7,2012
1496,7403530725,42,42,42,42,42,42,42,2012
1530,23019496400,3,3,3,3,3,3,3,2012
1531,7006457163,3,3,4,4,4,4,4,2012
1546,53265204800,2,2,2,2,2,2,2,2012
1575,55545451400,2,2,2,2,2,4,6,2012
1577,6506961099,7,7,7,7,7,7,7,2012
1588,55509195900,3,3,3,5,5,5,11,2012
1608,24335297300,7,7,7,7,7,7,7,2012
1619,55522702200,3,3,3,3,3,3,3,2012
1623,55498650000,4,5,5,5,5,5,5,2012
1674,13406989600,10,10,10,10,10,10,10,2012
1728,55355619500,2,3,4,4,4,5,7,2012
1795,55360370700,4,4,4,4,4,4,4,2012
1804,55279330500,4,4,4,4,4,4,4,2012
1864,7003595432,34,34,63,63,63,63,83,2012
1876,7004053328,12,22,31,46,46,46,46,2012
1910,36766802500,6,6,6,7,7,7,7,2012
1924,56226169900,4,4,4,4,4,4,4,2012
1949,55248308500,1,1,3,3,4,4,4,2012
1952,36570451600,2,2,7,7,7,7,7,2012
1966,56177745300,17,17,17,17,17,17,17,2012
1973,6507491363,5,5,5,6,6,10,10,2012
1976,25948283000,2,2,2,2,2,2,2,2012
2033,55332834100,3,3,4,4,4,4,4,2012
2038,22951839000,6,9,9,9,9,9,9,2012
2089,6506196218,8,8,8,8,8,8,8,2012
2092,7004391933,6,6,6,6,6,6,6,2012
2142,56023454200,3,3,3,3,3,3,3,2012
2180,55705504500,6,6,6,6,6,6,6,2012
2184,55001822400,10,10,10,10,10,10,10,2012
2190,7004464530,46,63,63,63,63,63,63,2012
2211,55575856300,23,23,23,23,23,23,23,2012
2221,57192812164,5,5,5,5,5,5,5,2012
2232,55227857800,2,2,2,2,2,2,2,2012
2246,36666791400,26,26,26,29,36,36,36,2012
2253,7005984473,54,54,125,125,125,125,125,2012
2255,24725611200,2,2,5,5,6,6,10,2012
2269,57200513432,3,3,7,7,7,7,7,2012
2324,56731825000,2,2,2,4,4,4,4,2012
2343,36682161100,5,5,5,5,5,5,5,2012
2433,14017585800,11,11,11,11,11,11,11,2012
2436,55440105200,1,1,1,1,1,1,1,2012
2439,35770021700,7,23,23,23,23,23,23,2012
2450,35725963200,8,10,10,10,10,10,10,2012
2465,55154973900,4,4,4,4,4,4,4,2012
2536,55368773500,6,6,6,6,6,6,6,2012
2568,36938648000,14,14,14,14,14,14,14,2012
2587,55806758200,2,5,14,14,14,14,14,2012
2597,55897204500,4,7,7,7,11,14,30,2012
2598,6602845173,12,12,12,12,12,12,12,2012
2612,6506812427,7,7,7,10,12,15,15,2012
2621,6603142946,8,11,16,16,16,16,33,2012
2633,36674219200,30,30,30,30,30,30,30,2012
2681,55460991000,3,3,3,3,3,3,3,2012
2688,55598321100,3,3,3,3,3,3,3,2012
2697,6603360689,4,4,4,4,4,4,4,2012
2772,9232973200,2,2,5,5,17,21,21,2012
2778,54968739700,5,5,6,6,6,6,6,2012
2792,6505812107,2,2,2,2,4,4,4,2012
2800,6701896819,9,10,10,10,10,10,10,2012
2802,36786475300,6,6,6,6,6,6,6,2012
2830,56441548900,6,8,8,8,8,8,8,2012
2870,55937215200,6,6,6,6,6,6,6,2012
2873,56526691400,8,11,11,11,11,11,11,2012
2922,15072104100,5,5,5,5,5,5,5,2012
2930,46161352900,13,13,13,13,13,13,13,2012
2935,55496409100,5,5,5,5,5,5,5,2012
2936,55207330400,2,4,4,4,18,18,18,2012
2944,55960307400,5,5,5,5,5,5,5,2012
2962,8568874300,1,1,1,3,3,3,3,2012
2972,7103118811,5,5,8,8,8,8,8,2012
2974,35303978600,4,4,4,4,4,4,4,2012
2986,55444174100,3,3,3,3,3,3,3,2012
2988,7403240913,31,31,31,31,31,31,31,2012
3034,55365446500,3,3,3,3,3,3,3,2012
3044,6603868770,8,8,8,8,8,8,8,2012
3047,56246174400,5,5,5,7,7,7,7,2012
3079,15076854500,24,29,29,29,29,29,29,2012
3095,8977652000,4,4,4,4,4,4,4,2012
3117,7005125652,17,17,17,17,17,17,17,2012
3121,34873759400,3,3,3,3,3,3,3,2012
3136,7004088894,6,6,6,6,6,6,6,2012
3142,7003518743,4,4,4,4,4,4,4,2012
3153,53164333900,15,31,31,31,36,36,36,2012
3173,50062317300,5,5,5,5,5,5,5,2012
3210,16052685300,4,4,4,4,4,4,4,2012
3219,37057718800,2,2,2,2,2,2,2,2012
3224,55220832800,7,7,7,7,7,7,7,2012
3302,55488929900,4,4,4,4,4,4,4,2012
3319,55430994200,2,2,2,2,2,2,2,2012
3344,6603132415,3,3,3,3,3,3,3,2012
3387,26635246400,3,3,7,7,7,7,7,2012
3388,8664355300,3,3,3,3,3,3,3,2012
3390,55413425100,4,4,5,5,5,5,5,2012
3400,7004602618,4,4,4,6,10,11,11,2012
3407,55268968500,2,2,2,2,2,2,2,2012
3415,55361625500,1,2,2,2,2,2,2,2012
3431,13613683600,2,2,2,2,2,2,2,2012
3439,55533899000,7,7,7,7,7,7,7,2012
3456,55190796100,4,4,4,4,6,6,13,2012
3509,55439961200,8,8,8,8,8,8,8,2012
3516,55575328700,5,11,11,14,14,14,14,2012
3551,57201349927,5,5,5,5,5,5,5,2012
3563,56027778300,4,16,16,21,21,21,21,2012
3580,22957933900,24,24,24,24,24,24,24,2012
3608,6603429832,4,4,4,4,4,4,4,2012
3609,18042484900,4,4,7,9,13,13,15,2012
3611,55542737400,59,59,59,59,59,59,59,2012
3629,56279072100,46,63,63,63,63,63,63,2012
3635,8569127200,30,30,40,40,40,40,40,2012
3644,55886405600,2,2,2,2,2,2,2,2012
3673,7102125229,4,9,9,9,9,9,9,2012
3688,56599131400,2,2,2,2,2,2,2,2012
3694,14017770300,6,6,6,6,6,6,6,2012
3715,55534762500,3,3,3,3,3,3,3,2012
3746,24476273800,19,24,24,24,24,24,24,2012
3755,6601992370,8,8,8,8,8,8,8,2012
3756,7003946927,9,22,22,22,22,22,22,2012
3763,34870896000,2,2,2,2,2,2,2,2012
3814,7403032496,1,9,9,9,9,9,9,2012
3821,7003344927,29,29,29,29,29,29,29,2012
3829,8899520500,47,47,61,61,81,81,101,2012
3866,19638413800,4,4,4,4,4,4,4,2012
3885,24766646600,8,8,8,8,8,8,8,2012
3956,55111049900,7,7,29,34,34,34,34,2012
3965,57196814360,11,11,11,11,11,11,11,2012
3977,36464991300,2,2,2,2,2,2,2,2012
3980,54586143600,19,19,19,19,19,19,19,2012
4005,55263344300,3,3,3,3,3,3,3,2012
4011,56081377700,19,19,19,19,19,19,19,2012
4022,55322349800,2,2,2,2,2,2,2,2012
4059,55364829300,1,1,3,3,3,3,3,2012
4067,19639164500,5,5,5,5,5,5,5,2012
4084,55316975300,2,2,2,2,2,2,2,2012
4163,22933748200,7,7,7,7,7,7,7,2012
4176,55551921100,5,5,5,5,5,5,5,2012
4178,55331331600,2,2,3,3,3,3,3,2012
4195,56084489000,4,4,4,4,4,4,4,2012
4197,16066571500,3,3,3,3,5,9,10,2012
4202,56786467200,2,2,2,2,2,2,2,2012
4218,55248278500,1,1,1,1,1,1,1,2012
4270,57203131591,31,31,31,31,31,31,31,2012
4279,56085168200,3,14,14,14,14,14,14,2012
4288,23501411400,2,4,4,4,4,4,4,2012
4292,55303419200,5,5,5,5,5,5,5,2012
4295,26654148900,16,23,23,23,23,23,23,2012
4304,7003343329,8,8,8,8,8,8,8,2012
4309,25723719000,2,2,2,2,2,2,2,2012
4312,55703770200,4,4,4,8,8,8,8,2012
4341,7005863798,6,6,6,6,6,6,6,2012
4343,35227260700,62,70,82,82,88,88,88,2012
4349,36872230700,4,4,4,4,4,4,4,2012
4353,36165131200,2,5,5,5,8,9,16,2012
4369,55633965000,3,3,3,3,3,3,3,2012
4379,36241067100,4,4,4,4,4,4,4,2012
4383,7005674425,2,4,4,4,4,4,4,2012
4389,55312131100,2,2,2,2,2,2,2,2012
4407,53164715400,5,5,5,5,5,5,5,2012
4419,22033609500,9,9,9,9,9,9,9,2012
4473,7005212046,10,10,10,10,10,10,10,2012
4492,23033204800,28,28,30,30,31,31,31,2012
4570,25825020700,4,4,4,4,4,4,4,2012
4590,7006563068,2,2,2,2,2,2,2,2012
4593,56253769500,7,7,7,7,7,7,7,2012
4611,24802681800,4,4,4,4,4,4,4,2012
4612,7003996564,3,3,4,4,4,4,4,2012
4623,12042505800,2,2,2,2,2,2,2,2012
4629,26425023900,5,5,5,5,5,5,5,2012
4633,8248398400,12,12,14,14,14,14,30,2012
4667,55183460700,2,2,2,2,2,2,2,2012
4672,6505923699,11,11,11,11,11,11,11,2012
4673,55328141200,2,2,2,2,2,2,2,2012
4684,57094878200,6,6,6,6,6,6,6,2012
4693,7003444816,6,6,6,6,6,6,6,2012
4731,57194571217,6,6,7,7,7,7,7,2012
4736,8901243000,15,15,15,15,15,15,15,2012
4776,55428692000,3,3,3,3,3,3,3,2012
4791,56370728300,3,3,5,5,5,5,5,2012
4798,36159311900,12,12,13,13,13,13,13,2012
4800,6701734948,5,5,5,5,6,6,6,2012
4803,23668182400,10,10,10,10,10,10,10,2012
4820,55110452500,13,13,13,13,13,13,13,2012
4821,57101226400,4,4,4,4,4,4,4,2012
4822,57197257164,2,6,6,6,6,6,6,2012
4830,36470166200,4,4,5,9,9,9,12,2012
4852,57198290813,3,3,3,3,3,3,3,2012
4874,55796177200,2,2,3,3,3,3,3,2012
4895,55262961400,2,5,8,8,8,8,8,2012
4922,55448480500,6,6,6,6,6,6,6,2012
4966,56032852100,4,4,4,4,4,4,4,2012
5059,7005444229,2,2,2,2,2,2,2,2012
5073,7101958481,9,9,9,9,9,9,9,2012
5083,23477877600,3,3,3,3,3,3,3,2012
5089,36163895900,8,10,15,17,17,17,17,2012
5093,7004065769,8,8,8,8,13,13,18,2012
5102,56731178100,6,6,6,6,6,6,6,2012
5103,6701496531,5,5,5,5,5,5,5,2012
5121,55372103800,6,6,6,6,6,6,6,2012
5134,6506673194,10,10,10,10,10,10,10,2012
5143,8935567300,4,4,4,4,6,6,19,2012
5160,55336399400,3,3,3,3,3,3,3,2012
5165,7005662649,5,20,29,45,51,55,60,2012
5179,37090425600,2,2,2,2,2,2,2,2012
5181,50861179800,6,6,6,7,7,7,7,2012
5184,57198348288,4,4,4,4,4,4,4,2012
5186,6603426387,10,10,10,10,10,10,10,2012
5235,57198919746,4,4,4,4,4,4,4,2012
5245,7101712588,4,5,5,5,5,5,5,2012
5251,57147735200,4,4,4,4,4,4,4,2012
5257,24435012300,13,13,13,13,13,13,13,2012
5264,6701413027,43,43,43,43,43,43,43,2012
5273,15836352200,2,7,14,14,15,18,20,2012
5288,13610256500,8,8,8,8,8,11,11,2012
5320,7102250485,2,3,3,3,3,3,3,2012
5380,55308181400,3,3,4,4,4,5,8,2012
5398,55616813500,2,2,2,2,2,2,2,2012
5401,51565545800,3,3,3,3,3,3,3,2012
5414,35901346400,6,6,6,6,6,6,6,2012
5427,8338014700,13,13,13,13,13,13,13,2012
5433,8847615900,3,3,3,3,3,3,3,2012
5444,44060901700,7,7,7,7,7,7,7,2012
5445,55491042200,2,2,2,2,2,2,2,2012
5506,55431220900,2,2,8,8,8,8,8,2012
5531,55576323200,6,6,6,6,6,6,6,2012
5534,7007024889,10,10,10,10,10,10,10,2012
5574,55958554700,4,4,4,4,4,4,4,2012
5575,57195202513,8,8,8,8,8,8,8,2012
5583,27867636900,3,4,4,4,4,4,4,2012
5587,6701588408,5,5,5,5,5,5,5,2012
5598,57192676114,13,13,13,13,13,13,13,2012
5624,54684322600,10,10,10,10,10,10,10,2012
5644,49360979100,2,3,4,4,4,14,16,2012
5659,8927832400,6,6,6,6,6,6,6,2012
5661,7402343361,3,3,3,3,3,3,3,2012
5680,54976138000,4,4,4,4,4,4,4,2012
5732,55498146000,6,6,6,6,6,6,6,2012
5739,55307733700,2,2,2,4,4,4,4,2012
5791,7403193548,2,2,2,2,2,2,2,2012
5852,8697753500,7,7,7,7,7,7,7,2012
5879,57198696154,6,6,6,6,6,6,6,2012
5929,55262544600,7,7,7,7,7,7,7,2012
5935,7005949115,16,29,29,29,29,29,29,2012
5984,56021775200,4,4,8,8,8,8,8,2012
6000,55925542100,1,1,1,1,1,1,1,2012
6045,57201782743,1,1,2,2,2,2,2,2012
6058,54999364100,10,10,10,10,10,10,10,2012
6147,7202820454,6,6,6,6,6,6,6,2012
6152,35811580800,1,1,1,1,1,1,2,2012
6156,55524043000,5,5,5,5,5,5,5,2012
6159,7201391894,5,5,5,5,5,5,5,2012
6175,24729414600,6,6,6,6,12,15,15,2012
6179,35725875000,15,31,31,31,31,31,31,2012
6215,30867575800,2,2,2,2,2,2,2,2012
6228,55602095300,2,7,7,7,7,7,7,2012
6231,6603795697,4,6,6,6,6,6,6,2012
6240,37098081900,1,1,3,3,3,3,3,2012
6242,55364391100,4,4,4,4,4,4,4,2012
6254,35300543200,6,6,6,6,6,6,6,2012
6264,6604064698,8,12,12,12,12,12,12,2012
6294,36619521200,53,53,53,53,53,53,53,2012
6304,7801571016,2,13,13,13,13,13,16,2012
6307,36551445700,2,2,2,2,2,7,9,2012
6327,6701413184,5,5,5,9,9,14,14,2012
6346,55433961500,9,9,9,9,9,9,9,2012
6362,6602378446,1,1,1,1,1,2,2,2012
6370,35247753000,4,4,4,4,4,4,4,2012
6379,55355531600,11,11,11,11,11,11,11,2012
6380,55440242200,3,3,5,9,9,9,9,2012
6422,7403279765,22,22,22,22,22,22,22,2012
6476,55445674300,4,4,4,4,4,4,4,2012
6515,56304288800,36,36,36,36,36,36,36,2012
6524,6602300871,58,58,103,103,166,166,238,2012
6539,6504363083,6,6,6,6,6,6,6,2012
6540,6602838706,7,7,11,11,11,11,11,2012
6542,6603709176,3,3,3,3,3,3,3,2012
6552,55497275500,2,2,2,4,4,4,4,2012
6561,55806337900,4,4,4,4,4,4,4,2012
6578,55515773900,2,2,2,2,2,2,2,2012
6587,35207638200,4,4,4,4,4,4,4,2012
6595,22934728500,10,10,10,10,10,10,10,2012
6598,6603793044,1,1,1,1,1,1,1,2012
6607,55560405400,25,25,25,25,25,25,25,2012
6613,36998492600,3,6,6,18,18,18,18,2012
6628,8414751400,5,5,5,6,14,15,22,2012
6675,57201564811,7,7,7,7,7,7,7,2012
6684,36663269300,4,4,4,4,4,4,4,2012
6686,55431018300,5,5,5,5,5,5,5,2012
6692,7004198347,3,3,3,3,3,3,3,2012
6705,55605801200,4,4,4,4,6,6,6,2012
6771,36482400900,2,2,2,6,6,6,9,2012
6777,55768035200,2,2,2,3,3,3,3,2012
6808,55941718600,2,2,5,5,5,5,5,2012
6874,16029861700,11,11,11,11,11,11,11,2012
6885,55336239800,2,2,2,2,2,2,2,2012
6914,55351421700,5,5,5,11,11,14,17,2012
6922,57196405693,8,8,8,8,8,8,8,2012
6971,24336291700,15,15,15,15,15,15,15,2012
6999,55542124900,56,56,60,60,60,60,103,2012
7008,6701850138,44,44,44,44,44,44,44,2012
7009,55305520100,2,2,2,2,6,6,6,2012
7017,6602103688,3,5,5,6,6,6,9,2012
7041,57192154241,2,3,11,13,13,19,22,2012
7046,50460949700,4,4,4,4,4,4,9,2012
7072,55445725000,2,2,2,2,2,2,2,2012
7076,55262962000,4,9,11,11,11,11,11,2012
7105,55010658800,10,10,10,10,10,10,10,2012
7107,55633475000,6,6,6,6,9,9,9,2012
7109,36483679200,52,52,100,100,100,100,100,2012
7236,56530437900,2,2,2,4,4,4,4,2012
7249,16039181800,2,15,18,18,18,18,19,2012
7260,36935807700,1,1,12,13,13,13,13,2012
7281,7403908166,1,1,1,1,1,1,1,2012
7301,6701633126,9,9,9,9,9,9,9,2012
7313,55009931200,4,4,4,5,8,8,8,2012
7317,55906095600,5,5,5,5,5,5,5,2012
7331,55094649000,2,2,2,2,2,2,2,2012
7370,6506017367,4,8,8,8,8,8,8,2012
7395,55922725500,14,14,19,19,22,22,22,2012
7398,55365178000,8,8,8,8,8,8,12,2012
7407,25723429200,2,2,2,2,2,2,2,2012
7453,8984461100,3,5,9,9,9,9,17,2012
7469,55366402700,3,3,3,3,3,3,3,2012
7473,55958501600,2,2,2,2,2,2,2,2012
7507,6701811322,3,3,5,5,5,5,5,2012
7522,35146405200,2,2,2,2,2,2,2,2012
7544,56039313200,4,4,4,4,4,4,4,2012
7553,55429088000,3,3,3,3,3,3,3,2012
7558,55210323400,3,3,3,3,3,3,3,2012
7567,35609513100,4,5,5,5,5,5,5,2012
7579,22836597000,3,3,3,3,11,18,18,2012
7624,6603859280,3,3,3,3,3,3,3,2012
7632,55502487500,2,2,2,2,2,2,2,2012
7690,6603040418,19,19,19,19,19,19,19,2012
7701,54790627700,17,17,17,17,17,17,17,2012
7707,55061084700,3,3,3,4,4,5,16,2012
7709,36343322800,2,2,2,2,2,2,2,2012
7739,6508323679,5,5,5,5,5,5,5,2012
7742,55546184300,3,3,3,3,6,6,6,2012
7773,7004594498,6,6,6,6,6,10,12,2012
7779,37010360200,3,3,3,3,3,3,3,2012
7804,55799857000,1,1,1,1,1,1,1,2012
7816,49663040100,4,4,4,4,4,4,4,2012
7860,57202798617,15,15,15,15,15,15,19,2012
7872,7003395010,62,70,82,82,88,88,88,2012
7875,36025598100,62,70,70,151,151,151,151,2012
7877,23012458800,31,31,31,31,31,53,53,2012
7881,55184994800,4,4,4,4,4,4,4,2012
7888,7202565490,15,28,28,28,28,37,37,2012
7896,6504496310,4,4,4,4,4,4,4,2012
7943,55541455300,34,34,34,34,34,34,34,2012
7983,55664415200,8,8,8,8,8,8,8,2012
7984,36460585800,3,3,3,3,3,3,3,2012
7985,57204486760,4,4,4,4,4,4,4,2012
7993,55613455900,2,2,2,2,2,2,2,2012
7994,55767381400,46,46,46,46,46,46,46,2012
8007,7006114072,8,8,8,8,8,8,8,2012
8010,36700301200,1,1,1,1,1,1,1,2012
8025,57202623992,4,4,4,4,4,4,4,2012
8034,55257116400,2,2,2,2,2,2,2,2012
8089,6507524448,12,12,12,12,12,12,12,2012
8092,7004522318,23,23,23,23,23,23,23,2012
8101,55362598400,2,2,2,2,2,2,2,2012
8121,55576016700,5,5,5,5,5,5,5,2012
8142,21733247100,3,3,3,3,3,3,3,2012
8153,35076968200,4,4,4,4,4,4,4,2012
8185,55549626100,13,13,17,19,19,24,24,2012
8252,55361130600,1,1,1,1,1,1,1,2012
8257,55220759500,3,3,3,3,3,3,3,2012
8283,7004113296,85,85,85,85,105,105,105,2012
8288,8916354600,9,9,9,9,9,9,9,2012
8312,7004385524,2,5,5,5,9,9,9,2012
8325,35325791600,7,7,7,7,7,7,7,2012
8342,36502622800,16,16,16,16,16,16,16,2012
8348,57193964697,3,4,4,4,4,4,4,2012
8400,40462926300,3,8,8,9,9,9,9,2012
8403,36707509300,1,1,1,1,1,1,1,2012
8420,55550904800,6,6,6,6,6,6,6,2012
8425,57200801971,8,8,8,8,8,8,8,2012
8433,55317520400,2,3,3,3,6,7,11,2012
8438,55565983600,3,4,4,5,5,5,5,2012
8439,6602890768,57,57,57,57,83,83,83,2012
8453,6603004307,3,3,3,3,3,3,3,2012
8454,55225775200,3,3,3,3,3,3,3,2012
8462,55320224000,1,1,3,3,3,3,3,2012
8511,23011366900,31,31,31,31,31,31,31,2012
8538,16174147100,2,2,2,2,2,2,2,2012
8560,55360265100,3,3,3,3,3,3,3,2012
8597,23984426200,2,2,2,2,2,2,2,2012
8600,55538928100,4,4,5,5,5,5,5,2012
8609,16192861100,2,2,2,2,2,2,2,2012
8628,16635449000,12,12,32,32,42,42,79,2012
8650,7006973162,3,3,6,9,9,10,10,2012
8699,36241603900,3,3,3,3,3,3,3,2012
8708,6603793994,3,3,3,3,3,3,3,2012
8719,7102741063,39,39,39,39,39,39,39,2012
8749,35769026000,3,4,4,5,5,12,16,2012
8803,24802508800,3,3,6,6,6,6,6,2012
8847,6506838376,24,27,27,27,27,40,40,2012
8857,55126815700,1,1,1,1,1,1,1,2012
8863,7005609991,4,4,4,4,4,4,4,2012
8884,21742903100,9,9,9,9,9,9,9,2012
8887,7004642488,15,15,15,15,15,15,15,2012
8891,55915908500,2,2,2,2,2,2,2,2012
8914,55211344500,3,7,8,8,8,8,8,2012
8946,24722412000,3,3,3,3,3,3,3,2012
8949,55697903000,3,5,6,7,7,7,7,2012
8952,57204504561,4,4,4,4,4,4,4,2012
8990,55662368200,4,4,4,4,4,4,4,2012
9006,24528361100,7,7,9,9,9,9,9,2012
9013,55370968200,1,10,12,14,14,17,17,2012
9017,35723249900,6,6,6,6,6,6,6,2012
