Unnamed: 0,ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
17280,7006706324,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1991
17953,56251866400,2,5,7,8,11,11,16,19,22,27,28,28,32,38,39,41,44,48,50,50,50,57,64,67,67,67,69,70,1991
18033,7004221477,2,2,2,2,3,3,3,3,3,4,4,5,5,5,6,6,6,7,7,7,9,10,10,10,10,10,12,13,1991
18043,7003838973,6,6,6,6,6,6,20,20,28,28,28,61,61,64,71,81,81,81,81,91,92,94,97,97,99,99,99,99,1991
18506,7003833397,3,5,5,5,6,6,8,8,10,11,11,11,12,12,15,17,17,18,18,20,23,23,23,23,24,24,26,26,1991
19714,7004916171,3,4,4,9,10,10,10,13,13,18,20,24,24,25,28,29,29,32,32,35,35,36,48,50,51,51,53,53,1991
19931,6602675738,1,1,1,3,3,3,5,6,9,9,13,13,15,16,20,24,24,29,32,32,33,34,35,41,45,49,51,53,1991
20020,6602271842,2,2,2,8,8,9,9,10,10,10,12,12,12,19,22,22,24,27,35,36,36,36,36,36,47,51,52,52,1991
20209,55937962600,1,1,1,1,1,1,1,3,3,3,6,6,6,6,6,6,9,13,21,25,28,28,28,32,36,47,47,50,1991
20517,7102745939,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,10,10,10,1991
20607,6701720723,1,1,1,1,1,1,1,5,5,5,5,5,5,5,7,7,7,7,9,9,9,9,9,9,9,9,9,9,1991
21144,7004959652,2,2,2,2,2,2,2,2,2,2,2,2,2,45,45,45,45,61,61,61,61,61,61,116,198,198,198,198,1991
22520,6701664073,5,5,7,7,10,12,12,18,18,22,34,35,40,40,50,50,56,57,61,71,105,114,124,130,138,143,146,146,1991
22529,7004924907,1,4,4,6,9,9,9,10,11,11,14,14,14,14,14,14,14,18,19,19,19,19,19,19,19,19,19,19,1991
22688,7004201684,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1991
23027,6603069141,2,2,2,2,2,2,4,4,6,8,10,11,12,13,16,16,17,17,18,21,22,22,25,28,28,28,29,29,1991
23068,7003948810,2,2,2,2,2,4,8,8,8,8,8,8,8,8,8,8,13,13,13,13,15,18,18,18,18,18,18,21,1991
23209,8919319800,3,3,3,4,4,4,6,8,9,10,10,10,10,10,11,31,33,33,33,38,49,49,53,56,56,56,56,57,1991
23438,6603330861,1,1,6,6,6,7,8,8,8,9,10,10,10,11,11,11,14,16,16,20,20,20,20,20,20,20,20,20,1991
24105,6701745605,3,4,5,5,5,6,7,7,7,7,10,13,13,15,17,21,24,29,32,38,42,45,48,49,54,57,65,71,1991
24234,7402044224,1,2,3,9,13,17,17,23,25,27,42,53,54,54,56,58,71,89,94,110,116,118,119,121,121,121,121,121,1991
24884,7005614033,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1991
24975,57197975665,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,7,7,7,7,8,8,8,1991
25604,6602733622,1,2,2,5,5,5,5,5,9,10,11,15,22,27,28,36,39,43,45,53,53,56,62,65,71,72,73,73,1991
25881,7801618957,4,4,4,6,6,6,7,7,7,7,7,7,7,8,17,17,21,23,24,24,24,24,24,24,24,24,24,24,1991
26329,6701505637,2,2,2,2,5,6,6,7,10,10,10,10,11,11,13,23,26,26,27,27,27,30,30,30,30,30,30,30,1991
