Unnamed: 0,ID,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
0,6508297663,4,4,4,4,4,7,7,8,8,8,8,8,8,8,2005
8,8980426100,2,5,6,8,14,14,22,24,24,29,34,34,51,53,2005
67,14019498900,3,4,4,7,7,12,12,13,13,13,13,15,15,15,2005
229,17134577000,1,1,2,2,2,3,8,8,8,8,8,9,11,12,2005
232,7407378316,7,8,8,8,8,8,8,8,8,8,8,8,8,8,2005
292,7005730125,10,10,10,19,19,19,19,19,19,19,19,19,19,19,2005
326,14831456100,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
464,7005877653,3,3,3,3,3,7,7,7,7,7,7,7,7,7,2005
632,6505635037,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
693,12141109900,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
708,6701417695,1,1,1,1,1,1,1,5,5,5,5,5,5,5,2005
860,7006797863,5,9,9,9,9,9,9,9,9,9,9,9,9,9,2005
901,10142859300,3,4,7,10,12,17,23,23,25,25,25,25,25,25,2005
917,15923420900,7,13,19,22,25,25,28,32,35,42,47,48,48,49,2005
961,55395549800,10,12,12,12,16,16,19,19,19,19,19,19,19,19,2005
1088,35607176600,2,2,2,2,2,2,6,6,6,6,6,6,6,7,2005
1112,8878656200,23,27,42,42,42,42,42,42,42,42,42,42,42,42,2005
1233,13006340600,6,6,6,7,7,7,7,7,7,7,7,7,7,7,2005
1285,8971699800,3,3,3,3,35,35,35,35,35,35,35,35,35,39,2005
1347,12789909000,1,1,1,1,3,3,3,3,3,4,7,13,21,21,2005
1370,23469845400,3,5,5,7,7,7,7,7,7,7,7,7,7,7,2005
1384,7003302108,8,8,8,8,8,8,8,40,40,40,40,62,93,93,2005
1396,57203367164,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2005
1404,14518855700,2,3,3,3,3,7,7,11,11,11,19,21,23,23,2005
1414,6507313856,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2005
1475,23397678200,2,2,3,5,8,8,9,9,11,12,12,14,20,29,2005
1505,8334078800,2,6,10,12,14,14,14,14,14,16,18,18,18,18,2005
1528,6602978212,5,5,5,5,16,16,16,16,16,16,16,16,16,16,2005
1547,7004075315,6,6,6,6,6,6,6,9,9,9,9,9,9,9,2005
1651,13007657500,2,2,2,5,5,8,8,15,17,17,19,19,19,19,2005
