Unnamed: 0,ID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
1905,57197560510,11,11,20,23,23,23,24,24,24,24,24,24,2007
1919,6603971273,3,3,3,3,3,3,3,3,3,3,3,3,2007
1996,35607433800,29,29,29,33,33,33,33,33,33,33,33,44,2007
2005,56264429900,3,3,5,5,5,7,7,11,11,11,11,12,2007
2018,24723352700,3,3,4,4,4,4,4,4,4,4,4,4,2007
2023,7006755617,21,21,21,21,26,26,26,26,26,26,26,26,2007
2049,6504505929,3,3,3,3,3,3,3,3,3,3,3,3,2007
2052,6602820985,2,2,2,2,2,2,2,2,2,2,2,2,2007
2062,6506032290,2,2,2,2,2,2,2,2,2,2,2,2,2007
2108,6602245695,4,4,4,4,4,4,4,4,4,4,4,4,2007
2133,24398617700,6,6,6,6,6,6,6,6,6,6,6,6,2007
2160,13104230900,9,14,14,14,14,14,14,14,14,14,14,14,2007
2199,56372091500,1,1,1,1,1,1,1,1,1,55,55,55,2007
2211,16744268600,1,3,3,3,3,3,3,3,3,3,3,3,2007
2244,35777498100,3,3,3,3,3,3,3,3,3,3,3,3,2007
2246,57188779286,2,2,2,2,2,2,2,2,2,2,2,2,2007
2262,8690570300,3,3,3,3,6,11,12,14,14,15,16,16,2007
2275,21742449200,5,5,5,5,10,10,13,16,19,23,29,35,2007
2284,15043582300,2,3,3,8,8,8,10,10,14,14,14,14,2007
2331,17436450900,2,2,2,2,2,2,2,4,4,4,4,4,2007
2336,23006109100,29,29,29,29,29,29,29,29,29,29,29,29,2007
2343,6602911033,5,5,5,5,5,5,5,5,5,5,5,5,2007
2345,36181378200,10,10,17,17,17,17,17,17,17,17,17,19,2007
2357,20336570900,3,5,5,5,5,5,5,5,5,5,5,5,2007
2368,16411828300,31,31,31,31,31,31,31,31,31,31,31,42,2007
2371,57200136872,3,3,5,5,5,5,5,5,8,10,10,10,2007
2418,57197307161,6,6,6,6,6,6,6,6,6,6,6,6,2007
2427,57197531212,3,6,6,6,6,6,6,6,6,6,6,6,2007
2442,6603771073,2,2,2,2,2,2,2,2,2,2,2,2,2007
2445,6602273803,18,21,22,22,22,22,22,22,22,22,22,22,2007
2448,9741781000,7,7,7,7,9,9,9,9,9,9,9,9,2007
2508,23005985200,4,4,4,4,4,4,4,4,4,4,4,4,2007
2511,55884002600,4,4,4,4,4,4,11,11,11,11,11,11,2007
2513,7005806378,3,3,3,3,3,3,3,3,3,3,3,3,2007
2514,57198849476,6,6,6,6,6,6,6,6,6,6,6,6,2007
2525,16052658100,3,3,3,3,3,3,3,3,3,3,3,3,2007
2537,6602557782,4,4,4,4,4,4,4,4,4,4,4,4,2007
2566,55934731800,1,1,1,1,9,13,14,14,14,14,14,18,2007
2618,14018720900,5,5,5,5,5,5,5,5,5,5,5,5,2007
2627,56000160900,2,7,10,10,10,21,21,21,26,50,57,59,2007
2789,22735553700,7,7,7,7,7,7,7,7,7,7,7,7,2007
2799,23134650600,2,2,2,2,2,2,2,2,2,2,2,2,2007
2809,57198541170,3,3,3,3,3,3,3,3,3,3,3,3,2007
2814,8837253400,4,10,21,24,24,24,40,58,71,81,94,98,2007
2815,14055475900,2,2,2,2,2,2,2,2,2,2,2,2,2007
2829,15751065500,2,2,2,2,2,4,4,6,6,6,8,8,2007
2838,55740430900,5,5,5,5,5,5,5,5,5,5,5,5,2007
2850,23007237900,1,1,1,1,1,1,1,1,1,1,1,1,2007
2855,56010121100,9,9,9,9,9,9,9,9,9,9,9,9,2007
2858,24330667300,3,3,3,3,3,4,4,4,8,8,8,8,2007
2893,20436184900,4,4,4,4,4,4,4,4,4,4,4,4,2007
2900,55944669300,4,4,4,4,4,29,31,32,32,37,37,37,2007
2908,6505885023,3,3,3,3,3,3,3,3,3,3,3,3,2007
2921,34869984800,2,2,2,2,2,2,2,2,2,4,4,4,2007
2944,23009695100,5,5,5,5,5,5,5,8,8,8,8,8,2007
2956,8747683300,3,3,3,3,3,3,3,3,3,3,3,3,2007
2978,23008936900,2,2,2,2,2,2,2,2,2,2,2,2,2007
3005,26022489100,5,5,5,5,5,7,7,7,7,7,7,7,2007
