Unnamed: 0,ID,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
2,7004267341,10,10,10,10,16,16,16,16,16,16,16,2008
16,24386037000,1,1,1,1,1,1,1,3,3,6,6,2008
32,56937882200,5,5,5,5,5,5,5,5,5,5,5,2008
41,25628233000,3,3,3,3,7,7,7,7,7,7,7,2008
49,25222870300,1,1,1,1,1,1,1,1,1,1,1,2008
92,36164894300,2,2,2,2,2,2,2,2,5,13,13,2008
129,26664481000,1,3,3,3,5,25,40,44,48,56,58,2008
139,25032012500,3,3,3,3,3,3,3,3,3,3,3,2008
142,25630274200,5,5,5,5,9,9,9,9,9,9,9,2008
147,6602531058,5,5,5,5,5,5,5,5,5,5,5,2008
162,6603477323,9,9,9,9,9,9,9,9,9,9,9,2008
190,24821884600,5,5,7,7,7,7,7,7,7,7,7,2008
198,36634726700,2,2,2,2,2,2,2,2,2,2,2,2008
214,25925271900,1,1,2,2,2,2,2,2,2,2,2,2008
246,26429280500,2,4,4,4,6,6,6,6,6,10,10,2008
283,23091570600,4,4,7,7,7,7,7,7,7,7,7,2008
284,15842015600,3,3,3,3,3,7,9,9,9,11,11,2008
292,25628571400,5,5,5,5,5,5,5,5,5,5,5,2008
298,25825575400,3,3,10,10,10,10,10,11,11,11,11,2008
306,55311855200,5,5,5,5,5,5,5,5,5,5,5,2008
320,23974111700,3,3,5,8,12,12,13,13,18,19,19,2008
339,24821358600,4,4,4,4,4,4,4,4,4,4,4,2008
371,55460736000,15,15,15,15,15,15,15,15,15,15,15,2008
373,36978855700,18,18,18,18,18,18,18,18,18,18,18,2008
379,35593811100,1,1,1,1,1,1,1,1,1,1,1,2008
403,6701690859,1,5,6,8,8,11,11,11,14,14,14,2008
409,52863956700,2,2,2,2,2,2,2,2,2,2,2,2008
422,6507601911,9,12,14,14,14,14,14,14,14,14,14,2008
474,26657137800,1,1,1,1,1,1,3,3,3,3,4,2008
489,26435136200,3,3,4,5,5,9,12,14,14,14,14,2008
541,25655229400,5,5,5,5,5,5,5,11,11,11,11,2008
567,23990008400,3,3,3,3,3,3,3,7,7,9,9,2008
595,14018246700,11,11,11,11,11,11,11,11,11,11,11,2008
733,56888636300,3,4,12,18,19,26,26,26,35,68,72,2008
738,15061717900,3,3,3,3,3,3,3,3,3,3,3,2008
765,26657654200,5,6,6,6,6,6,6,6,6,6,6,2008
769,7202855332,5,5,5,5,5,5,5,5,5,5,5,2008
799,6602919670,5,5,5,5,5,5,5,5,5,5,5,2008
811,25638577600,3,3,6,6,7,7,7,7,13,13,13,2008
839,35101716000,6,6,6,6,6,6,6,6,6,6,6,2008
849,26430656900,2,2,2,2,2,2,2,8,8,8,8,2008
857,35548863600,7,15,15,15,15,18,18,18,42,42,42,2008
889,35173644200,24,24,24,24,24,24,24,24,24,24,24,2008
894,7006736906,2,3,3,3,3,3,3,3,3,3,3,2008
947,8926076800,1,1,3,3,3,7,8,8,10,14,14,2008
955,8840968000,6,6,6,6,6,6,6,6,6,6,6,2008
984,7004272853,9,9,9,9,9,9,9,9,9,9,9,2008
989,36663574200,5,5,5,5,5,5,5,5,5,5,5,2008
1080,23979328600,2,2,2,2,2,2,2,2,2,2,2,2008
1087,35726709600,1,1,4,4,4,4,4,4,4,4,4,2008
1145,57196282050,2,2,2,2,2,2,2,2,2,2,2,2008
1148,6507104741,58,58,58,58,117,117,121,121,122,122,204,2008
1155,35239828200,4,4,4,4,4,4,4,4,4,4,4,2008
1168,26430954400,4,6,7,7,7,7,7,7,7,7,7,2008
1171,7004753693,2,2,2,2,2,2,2,2,2,2,2,2008
1178,24831715800,1,2,20,23,24,24,24,24,33,36,39,2008
1192,25027110000,5,6,9,12,14,14,18,18,18,18,18,2008
1211,6701492456,4,4,6,7,7,7,7,7,11,11,11,2008
1212,25960338400,2,4,4,4,5,6,6,8,8,8,8,2008
1214,25929125800,8,10,10,16,20,21,21,21,21,21,21,2008
1259,24823824900,6,7,9,9,9,9,9,9,9,9,9,2008
1276,9739808000,8,8,8,8,8,8,8,8,8,8,8,2008
1279,57188678139,3,3,3,3,3,3,3,3,3,3,3,2008
1290,25937377900,3,3,3,3,3,3,3,3,3,3,3,2008
1291,8220362200,2,2,2,2,2,2,2,2,2,2,5,2008
1303,24483480100,5,5,5,5,5,5,5,5,5,5,5,2008
1340,6603346374,3,3,3,3,3,3,3,3,3,3,3,2008
1369,55321729600,12,12,12,12,12,12,12,12,12,12,12,2008
1404,22940544900,2,2,2,2,2,2,2,2,2,2,2,2008
1420,6602468821,15,15,15,15,15,15,15,15,15,15,15,2008
1422,25031004400,4,4,4,4,4,4,4,4,4,4,4,2008
1440,57203766093,5,5,5,5,5,5,5,5,5,5,5,2008
1450,24341747200,5,5,5,5,5,5,5,5,5,5,5,2008
1463,36944163800,3,3,3,3,3,3,3,3,3,3,3,2008
1478,6603865406,1,1,1,1,1,1,1,1,1,1,1,2008
1482,56538603500,3,3,3,3,3,3,3,3,3,3,3,2008
1522,7103266173,7,7,7,19,19,19,19,19,19,19,19,2008
1535,25630447700,4,4,4,4,4,4,4,4,4,4,4,2008
1548,23470031300,3,3,3,3,3,3,3,3,3,3,3,2008
1556,21934214100,5,5,5,7,7,7,11,11,11,11,11,2008
1620,25640669400,19,19,19,19,19,19,19,19,19,19,19,2008
1625,7201645712,5,5,5,5,5,5,5,5,5,5,5,2008
1640,8970612300,8,8,8,8,8,8,8,8,8,8,8,2008
1656,24512790600,30,31,45,52,55,74,92,117,117,117,117,2008
1668,57002540900,4,4,4,4,4,4,4,4,4,4,4,2008
1693,24833470700,47,47,57,57,57,57,57,57,57,57,57,2008
1695,25640722400,2,4,14,17,17,22,22,22,22,22,22,2008
1718,6506554937,2,2,2,2,2,2,2,2,2,2,2,2008
1741,7003833968,7,9,20,22,22,28,32,35,35,40,43,2008
1757,16644800700,4,4,4,4,4,4,4,4,4,4,4,2008
1766,6603775875,13,13,13,13,13,13,13,13,13,13,13,2008
1819,57193414878,25,25,39,74,91,91,97,97,97,97,97,2008
1828,37087258700,12,13,13,28,30,38,39,39,39,39,39,2008
