Unnamed: 0,ID,2016,2017,2018,start_year
50,42061855800,4,64,64,2016
51,57190745554,4,4,4,2016
58,56365987700,3,5,5,2016
76,56707356100,2,2,4,2016
97,7006062519,9,9,9,2016
98,57194657295,11,11,11,2016
102,6602350090,72,72,72,2016
116,10639679200,6,6,6,2016
137,6507310196,4,4,4,2016
138,55892431600,5,5,5,2016
165,57189664712,11,11,11,2016
185,55210333600,3,4,4,2016
201,57190943852,7,7,7,2016
217,55505575800,3,9,11,2016
221,8702625800,3,3,3,2016
225,57189213486,3,3,3,2016
232,6505920789,4,4,4,2016
234,56383419500,36,36,100,2016
239,56146573000,2,2,4,2016
242,57188342600,3,3,3,2016
286,56045574200,13,13,13,2016
290,57191039090,3,3,3,2016
291,57192371813,3,3,3,2016
300,55256351900,4,4,4,2016
304,7201365464,3,3,3,2016
312,57189311190,14,14,14,2016
314,57192295130,21,21,21,2016
319,57197672885,3,7,10,2016
328,57189344824,82,82,82,2016
349,57189072926,3,3,3,2016
353,31767729700,9,9,9,2016
354,42261460000,2,2,2,2016
381,56593116100,26,26,26,2016
385,57190300756,5,5,5,2016
400,23995705900,3,3,3,2016
402,6506951919,1,1,1,2016
411,55601764600,10,10,10,2016
421,55825941600,18,18,18,2016
467,57193573205,41,41,41,2016
471,57192384032,3,3,7,2016
479,57160175300,17,17,17,2016
553,57188752250,15,29,34,2016
559,56365321500,22,22,22,2016
570,57188733509,6,6,6,2016
579,52364876700,16,16,16,2016
620,18041833800,4,4,4,2016
621,6701834930,4,6,6,2016
650,54987307300,45,92,92,2016
664,57188671611,4,4,4,2016
669,57192593045,11,11,11,2016
681,37120574600,5,5,5,2016
684,6506564716,27,27,27,2016
708,57200630510,19,33,33,2016
728,16176209200,5,5,5,2016
740,57191052229,3,3,3,2016
742,6603757179,38,38,38,2016
798,57115512200,3,3,3,2016
802,57204698668,82,82,82,2016
819,22333378700,3,3,3,2016
823,7404782905,33,33,33,2016
838,8966521400,27,27,27,2016
848,57193797107,3,3,3,2016
858,57191737813,5,5,5,2016
870,57207661131,5,5,8,2016
878,57188678994,4,5,5,2016
886,35406320300,50,50,83,2016
892,36184972700,8,8,8,2016
898,56786364600,8,8,8,2016
904,7004053293,2,2,2,2016
935,57192701376,4,4,4,2016
974,57192237482,14,14,14,2016
981,57186398400,5,5,5,2016
982,57192834926,15,15,15,2016
1000,56078096600,3,3,3,2016
1005,55991728800,33,33,33,2016
1018,56489833200,81,81,81,2016
1022,35477147000,8,8,8,2016
1033,57188754440,5,5,5,2016
1043,36614634800,3,3,3,2016
1065,16418291100,1,1,1,2016
1067,7003429854,8,8,8,2016
1122,54683397000,4,4,4,2016
1139,57191363595,4,4,4,2016
1162,51061122800,15,15,15,2016
1177,57191475737,6,6,11,2016
1189,57190124242,3,3,3,2016
1200,57188590869,8,8,8,2016
1210,36623493800,3,3,16,2016
1242,56568363800,4,7,8,2016
1248,57193699117,4,4,4,2016
1261,56158697000,5,5,5,2016
1270,56074173200,2,2,2,2016
1309,57190948026,2,2,2,2016
1343,56103590300,4,4,8,2016
1376,55967652800,10,10,10,2016
1388,57189220123,32,32,32,2016
1417,57191711457,87,87,120,2016
1444,56419270600,6,6,6,2016
1457,57192682800,2,2,2,2016
1504,57202228246,4,4,8,2016
1534,35590499600,5,5,5,2016
1549,35520065000,5,5,5,2016
1561,57197478894,3,3,3,2016
1573,57191628140,3,3,4,2016
1579,9635513900,7,7,7,2016
1590,57193659335,4,4,8,2016
1596,57184343300,9,9,9,2016
1612,56624557600,4,4,4,2016
1616,55844557900,4,4,4,2016
1646,56736946700,9,9,9,2016
1666,56963453400,7,7,10,2016
1748,57202489667,19,19,19,2016
1789,57190340575,1,2,5,2016
1822,57189355666,3,3,3,2016
1845,55062598600,4,4,5,2016
1854,15846905100,8,8,8,2016
1873,56192356300,18,18,18,2016
1893,8955025700,7,9,9,2016
1944,6506436548,3,3,3,2016
1959,57191380147,3,7,7,2016
1985,8649715100,4,4,4,2016
1991,57194184772,11,11,11,2016
2005,16022100400,8,8,8,2016
2022,57189645750,16,16,16,2016
2023,56495282900,22,22,22,2016
2026,54681636500,3,3,3,2016
2045,55356244300,3,3,3,2016
2060,55349497100,5,14,24,2016
2063,56031368800,9,9,9,2016
2078,57199036373,6,6,6,2016
