ID,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
7103339615,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5
35791734000,1,2,2,3,3,3,3,4,4,4,4,4,6,9,10,10,16,20,30,33,38,50
7003355554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,5
7006323650,0,0,3,3,5,10,12,14,17,23,25,26,28,31,32,34,35,40,44,53,57,57
6602317990,0,0,0,0,0,4,4,6,6,6,10,10,10,21,21,21,22,29,34,37,37,37
6701718244,0,0,0,0,0,0,0,0,0,5,9,10,10,12,13,13,13,13,13,13,13,13
7003972115,0,0,0,0,3,3,3,8,8,8,8,16,20,20,20,20,20,20,24,24,24,24
6603424128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8
55894325500,0,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
8637998400,8,11,14,19,22,26,28,34,35,39,40,45,52,63,70,82,106,113,118,124,127,136
6603612303,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10
6603232688,0,0,0,0,0,0,6,16,16,16,16,16,16,16,16,16,30,48,48,48,48,48
6602140820,2,2,2,2,5,5,6,6,9,9,15,26,32,38,59,63,66,70,71,72,81,81
6603077303,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7
57191950474,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6
6604024339,0,0,0,0,0,0,0,0,0,11,11,11,11,19,19,19,19,19,19,33,33,33
6602740611,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6603342807,3,3,3,3,3,3,3,3,3,3,3,3,5,8,8,8,8,8,8,11,11,11
6602673172,2,2,2,2,2,2,3,3,3,3,5,5,5,5,5,5,5,8,8,8,8,8
7004319572,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,10,10,10,10,10
23473786700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
7801625208,3,3,3,3,9,9,11,11,14,15,27,27,30,46,48,49,54,56,56,62,62,67
7003784518,0,8,8,8,8,8,8,11,20,24,29,32,32,32,34,35,36,37,37,48,48,56
6602112368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
6602629520,0,0,0,0,3,5,5,5,5,5,8,8,13,17,17,17,19,26,26,26,26,29
6701577512,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3
6701352241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9
6603438430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
21334197900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11
6603044103,3,3,3,3,3,3,5,6,6,8,9,10,10,12,12,26,26,31,36,38,39,39
6604053961,1,7,7,10,12,15,24,30,37,50,59,67,69,77,89,101,109,114,132,144,144,147
56207758700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6
6602816008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4
6602629574,0,0,5,7,7,11,11,11,11,11,11,26,30,46,46,46,53,69,79,87,96,110
7202707442,0,11,11,11,11,11,11,11,11,11,11,11,11,11,19,22,24,34,34,34,34,34
56264933000,0,0,2,6,6,6,14,14,14,19,34,34,42,47,52,70,73,74,75,77,82,82
6602185423,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4
6603947627,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,7,7,7,7
7003280505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
6701340123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3
6603686276,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7003459348,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
55794210900,0,0,0,0,0,0,26,26,26,75,75,96,105,105,105,105,105,105,105,105,105,105
6603263211,0,0,0,0,0,0,0,0,0,5,5,5,16,16,29,29,31,45,48,48,48,64
7004764791,0,6,6,6,6,6,6,15,18,18,18,34,34,41,43,51,53,66,73,78,86,105
7003275319,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,6,6,6,6,6,6
7102112094,6,7,10,10,16,26,28,28,28,30,85,85,104,108,121,137,146,152,159,166,173,176
6701525920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7
56213561300,0,0,0,0,0,0,0,0,3,3,3,5,5,5,5,5,5,5,5,5,5,5
6602103524,0,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7
7003380697,0,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,8,8,8,8,8
55879603500,0,0,2,2,2,5,5,6,8,8,8,8,13,18,28,28,28,31,31,40,50,64
6701355568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5
7003483550,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11838770200,1,1,1,1,1,1,1,1,21,21,22,26,28,46,55,69,76,97,110,118,133,133
7202688363,0,0,0,0,19,27,30,31,31,31,31,31,40,51,75,82,109,109,119,119,119,148
17734330500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
7004904731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5
55948369500,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9
7003559843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
7003425249,4,4,4,4,5,56,56,79,87,160,178,254,267,358,361,398,405,468,468,579,581,581
7003915945,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
6602527838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8883632900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6
55903423300,0,0,0,0,0,0,3,3,3,6,6,6,9,11,13,15,22,22,23,24,24,25
6603951863,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7
35744912100,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6701692190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,10,12
