ID,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
6603142871,0,0,2,2,2,2,3,4,8,18,20,20,20,26,26,26,29,33,34,34,34
7103343361,0,0,0,1,1,1,1,1,1,9,9,11,11,12,12,12,15,15,15,15,18
6701695724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7005224906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20
35240505800,8,8,8,12,12,14,18,21,21,25,28,34,38,38,50,58,58,62,62,66,69
7006131201,0,0,0,0,0,0,0,0,0,0,0,54,54,54,54,54,54,54,54,54,54
14632835700,2,2,3,4,4,6,16,16,21,21,21,23,24,30,34,44,48,56,60,66,74
6507761598,0,0,0,0,3,3,5,5,5,11,12,13,18,22,26,28,35,36,37,40,43
9279120600,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
56210371800,0,4,4,4,4,4,4,4,4,9,16,16,24,24,24,24,24,24,24,24,24
7102504411,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,21,21,21
7004626833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4
7006383284,0,0,0,0,30,30,30,30,40,40,95,95,137,137,165,165,233,233,259,259,266
7202610067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
7005323675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,79,79,79,79,79,79
6603672763,0,0,0,0,0,0,4,4,4,7,7,7,7,7,7,7,7,7,9,9,9
56368172200,0,0,0,0,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5
7003436752,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,8,8,8
6701836753,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6602609279,0,0,0,0,4,4,4,5,5,9,9,10,12,12,16,16,19,19,24,24,27
35547954100,5,5,8,16,16,20,20,21,31,32,40,41,41,42,45,47,50,51,52,56,59
7006940093,0,0,0,0,0,3,3,3,3,8,9,9,18,29,29,29,38,48,49,49,56
6701629250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,21
6603340659,0,0,0,5,5,5,5,5,5,15,28,44,49,75,93,97,109,109,130,155,160
6603225074,0,0,0,0,14,14,14,14,14,14,14,14,14,14,14,14,14,32,32,32,32
6602105783,2,2,2,2,2,2,2,3,3,5,7,7,10,11,11,11,12,16,16,16,18
35570095100,0,0,6,8,15,26,38,47,47,51,57,58,63,65,68,74,74,75,75,75,83
7004857591,0,0,0,0,0,0,43,43,100,100,100,100,100,100,100,100,107,107,107,107,107
9336986200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18
14036219300,0,3,7,7,8,10,10,13,25,25,30,38,39,39,42,43,48,58,63,63,66
6602766024,9,11,11,11,12,12,17,23,23,25,26,34,42,49,55,68,73,78,127,133,135
6602229365,0,0,0,0,14,26,26,28,28,39,44,44,44,44,44,44,44,44,44,44,44
7003682581,3,4,6,7,7,11,14,25,32,39,45,48,50,55,55,55,60,66,73,79,81
6506781029,3,3,3,6,6,7,7,7,11,11,12,13,13,15,16,17,17,18,19,19,19
8963836100,1,1,1,1,1,1,1,1,1,7,7,7,11,12,13,17,19,20,20,21,21
6701764883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7004839211,0,0,0,0,3,3,3,3,3,3,3,3,7,7,8,8,8,8,15,15,15
6701310041,0,0,0,0,12,13,13,13,22,22,33,56,58,58,72,89,94,94,105,105,108
55911130700,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7202770803,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
7102353913,0,0,0,8,8,8,8,8,8,12,12,25,34,39,44,51,53,53,62,74,74
16554770600,0,0,0,0,0,0,0,0,0,0,0,33,33,33,33,33,33,33,33,33,33
6701523118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
6602524435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6603506032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16
6603777809,0,0,0,0,18,18,25,33,38,41,53,58,74,75,99,120,133,144,169,189,197
6603773632,0,0,0,12,12,17,30,41,48,48,54,57,64,72,74,81,85,96,99,99,103
6701464327,0,0,0,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,5,5,6
55392341800,0,0,0,7,7,8,27,27,39,39,41,49,49,53,60,60,65,77,80,80,80
7005944236,2,2,11,14,16,24,30,33,37,42,54,56,56,70,94,95,107,120,132,142,149
6603944743,0,0,0,0,0,1,1,1,1,3,3,3,3,4,4,4,4,4,4,4,4
6602374340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16
57203488411,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,9,10,11,11
6603807666,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18,19
35577816000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
6602858346,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4,10,13
6602110828,0,0,0,0,0,0,0,0,0,0,0,12,15,15,15,17,17,23,23,23,23
14819021300,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6701487822,0,0,0,1,1,1,1,2,2,2,3,6,8,10,11,13,21,34,38,43,46
57204253134,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6
7003850688,0,0,4,4,8,8,8,10,10,12,17,18,21,23,30,31,33,33,33,37,38
6603963943,0,1,1,1,1,1,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8
36008284700,0,3,4,5,7,9,10,10,12,16,16,20,24,24,24,28,36,37,37,41,51
6602890062,4,4,6,8,9,9,13,24,30,39,48,55,57,62,65,73,75,76,85,88,88
7003636467,4,4,8,8,10,14,17,40,45,51,56,61,64,67,74,85,86,99,106,111,114
7003745614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7
6603064896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5
55967964100,4,4,5,9,10,11,17,20,21,24,26,29,35,35,36,39,40,40,41,41,45
8049521700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,18,18,18
35617318700,0,0,0,0,0,7,7,10,10,10,10,13,16,16,16,16,16,16,16,16,16
6507563865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
7004041016,0,0,0,0,4,4,4,4,4,8,8,8,8,14,17,18,26,29,29,29,33
7004068464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,18,18,18
6603685393,15,15,15,15,22,22,29,29,29,29,29,29,47,47,50,50,119,119,124,138,138
6701451322,0,0,0,0,0,0,0,0,0,0,0,19,32,35,35,36,52,52,52,54,58
9635926100,0,0,3,3,4,5,8,9,13,18,21,24,25,26,26,26,36,38,47,53,55
