ID,2012,2013,2014,2015,2016,2017,2018
55256351900,0,0,0,0,4,4,4
9436849500,3,3,24,24,29,29,29
55438117400,0,2,4,4,13,16,20
55143899600,0,0,0,1,1,1,1
6701652404,0,0,0,0,0,2,2
55195600600,0,0,0,0,0,3,3
55255344600,0,0,0,0,0,2,2
49863868100,0,6,6,7,7,7,24
55545451400,2,2,2,2,2,4,6
6506961099,7,7,7,7,7,7,7
7102983481,0,30,30,30,30,30,30
55355619500,2,3,4,4,4,5,7
8227179100,5,5,5,11,11,11,11
56702274900,0,0,0,0,0,7,7
55581804600,0,0,0,2,2,3,3
36570451600,2,2,7,7,7,7,7
56023454200,3,3,3,3,3,3,3
56286799400,0,0,0,0,7,8,8
15074252500,0,2,5,7,18,21,25
55365446500,3,3,3,3,3,3,3
56112940300,0,0,11,45,49,49,49
7006321608,0,0,4,5,5,5,5
8886204500,0,0,0,0,0,0,5
7004602618,4,4,4,6,10,11,11
55361625500,1,2,2,2,2,2,2
55575328700,5,11,11,14,14,14,14
18042484900,4,4,7,9,13,13,15
55111049900,7,7,29,34,34,34,34
26425260900,0,0,3,3,3,3,3
56189616200,0,0,5,5,5,5,5
35227260700,62,70,82,82,88,88,88
24779815600,0,1,1,2,3,7,7
36666230100,0,0,0,9,18,18,18
36470166200,4,4,5,9,9,9,12
56367282000,0,3,3,11,11,11,11
7006404174,0,0,93,93,93,93,93
50162526500,8,8,8,17,17,18,18
36439147500,12,12,12,15,15,18,18
35088272100,0,5,5,5,5,5,5
36871478800,0,0,0,0,0,0,9
36805188500,9,9,14,16,19,20,20
55850609100,0,0,0,9,9,9,9
15925910100,0,0,2,2,3,3,3
6603574298,0,0,0,0,3,3,3
56487301800,0,0,8,8,8,8,8
7102295127,0,0,0,0,33,33,54
8161598600,0,0,0,4,4,4,4
55497275500,2,2,2,4,4,4,4
55351421700,5,5,5,11,11,14,17
55070185400,0,4,4,7,8,8,8
36483679200,52,52,100,100,100,100,100
7006294849,0,5,11,11,13,14,14
55785460000,0,0,0,4,8,8,11
55546184300,3,3,3,3,6,6,6
55582514900,0,9,17,21,21,21,21
55549626100,13,13,17,19,19,24,24
55317520400,2,3,3,3,6,7,11
55360451700,0,0,8,8,8,8,8
55538928100,4,4,5,5,5,5,5
16635449000,12,12,32,32,42,42,79
55662368200,4,4,4,4,4,4,4
55910401100,0,26,26,26,26,26,26
54379727600,0,0,0,3,3,3,3
15056048500,0,0,0,0,16,16,18
55586220700,0,0,0,13,13,14,16
54788147500,0,0,0,0,9,9,9
24725470100,4,4,4,4,4,4,4
55111507000,0,0,0,0,0,3,3
53871367600,4,4,4,6,6,6,6
16678335800,0,0,0,3,3,3,3
8631765400,0,2,2,2,2,2,5
55111470500,9,9,9,11,11,11,17
54886211300,0,0,0,0,3,3,7
55030182900,26,26,26,26,26,26,26
35148628000,0,6,9,9,11,13,18
55548178400,5,5,5,9,9,11,11
35300070400,0,0,2,2,4,4,4
34971273500,1,3,5,5,5,5,5
55485996600,0,0,7,7,7,7,7
55221050200,4,4,5,5,5,5,7
55332473400,0,0,0,0,0,0,5
56294200700,0,0,0,0,0,0,15
36666394100,0,5,9,16,17,25,26
7403414696,4,7,19,20,21,23,23
55916702300,3,3,3,4,7,8,8
55848607900,0,6,9,19,19,33,33
55550253900,14,14,14,22,22,22,25
55939347600,0,0,0,0,0,8,8
55365024100,0,0,7,7,7,7,7
55827074500,0,0,4,4,4,4,4
55330987600,0,5,7,7,10,15,15
7005797457,1,1,8,8,15,17,19
14423919200,0,0,0,3,5,5,5
55153849600,0,3,3,3,3,3,3
55809544700,0,0,3,3,3,3,3
8359720900,4,4,7,7,9,11,11
54079567300,5,5,9,9,9,9,9
55354640400,2,2,4,4,6,6,6
15521207400,0,0,0,0,4,4,4
56410167200,0,0,0,0,0,0,17
36344414400,64,64,80,80,80,80,111
55328144300,0,0,0,0,0,0,5
55510517300,0,0,4,4,5,5,5
55921477900,0,0,0,0,0,4,4
55190073300,0,2,2,2,2,2,2
26658661700,7,7,20,20,89,89,89
20734587500,0,2,2,2,2,2,2
55512982300,5,5,7,11,11,11,11
54917212000,0,0,0,49,49,49,49
35748484600,0,0,0,0,31,31,31
6602788919,43,45,45,57,118,118,118
36980320700,0,2,3,3,3,4,4
55730903600,0,26,26,29,29,29,29
55145729200,0,6,6,6,6,6,6
55351507400,0,0,11,11,11,13,14
35554400300,0,0,0,0,0,23,23
26021549200,0,0,27,27,27,61,61
55446936500,0,0,12,12,12,12,12
7003969358,0,0,2,2,2,8,8
55392400800,0,0,0,3,3,3,3
55521476300,0,0,11,11,16,16,16
55512123900,3,3,3,5,6,6,6
23027170900,0,0,0,0,0,0,2
55503011700,0,0,0,1,1,1,1
23388121000,0,6,25,42,42,42,49
55174287000,0,2,2,2,2,2,2
7201847884,0,7,23,35,35,35,37
56239624400,1,1,1,1,1,1,3
55223857400,3,4,6,6,8,9,12
56985182000,0,0,14,17,17,17,17
6508117166,0,0,0,0,0,9,9
55574338100,5,8,8,8,8,17,20
57201540032,0,0,0,0,0,0,57
7202955989,3,7,10,13,14,14,14
55324066000,2,2,2,2,2,2,4
54897918000,0,0,0,0,7,7,7
55617285400,3,3,3,3,3,3,3
40461294600,3,16,30,33,33,36,39
55295842700,0,0,14,14,14,14,14
55311959200,0,0,0,0,12,12,21
55824555700,2,2,2,2,2,2,2
24773181400,0,39,39,39,46,46,46
54787882900,0,0,0,17,26,26,43
55220810400,3,3,3,3,3,7,7
14833520200,6,9,9,17,29,38,48
55247745200,0,3,8,8,9,13,18
55600338800,0,0,5,5,5,5,11
55538545300,1,1,1,3,3,3,3
8866785000,2,3,3,5,5,5,5
55248131500,6,6,6,6,6,6,6
55263917900,0,0,0,23,24,24,24
18036559300,9,10,14,17,17,22,25
57199302325,0,0,0,0,0,0,5
24337844400,0,0,11,12,12,12,12
25027722300,0,0,0,14,14,14,14
54793163500,0,7,7,7,7,7,7
6603023902,0,0,0,0,72,72,72
55237941300,0,0,0,4,4,8,8
36863848000,0,7,15,15,15,15,15
55842062600,0,0,0,0,2,2,2
56581923100,0,19,19,19,19,19,19
55257179200,0,7,7,7,7,7,7
25926988500,0,0,8,8,8,8,8
6602893548,0,0,0,0,0,5,5
55246430000,2,2,7,8,9,11,12
55328950200,6,6,9,12,15,20,22
7101654812,0,0,0,0,0,39,43
55437358000,0,5,6,6,11,11,11
55376782900,0,0,10,10,39,39,41
55447246500,0,0,12,12,12,12,12
6507079874,52,52,118,118,118,118,148
55221780300,10,15,15,15,17,22,22
55350072800,2,2,2,4,4,4,4
7003632488,0,0,0,10,10,10,10
7801467769,0,0,2,2,2,2,2
55336404300,3,3,3,3,3,3,3
55353592800,0,0,5,5,5,5,5
54883990800,4,4,4,4,4,4,4
22980587900,0,0,58,58,64,64,64
44861319000,3,3,4,15,16,16,16
55363615700,5,8,9,9,10,10,10
28567867800,25,25,25,30,30,30,30
41361303800,68,68,104,104,104,104,104
57190658601,0,0,0,0,16,16,16
7003368850,44,44,69,69,69,69,69
7004155562,9,9,9,9,9,9,9
8719934600,5,7,10,16,16,20,22
55263409300,4,4,5,5,6,6,6
54400166800,0,0,5,5,5,5,5
34879963400,2,3,3,4,4,19,35
55585838000,0,0,3,3,3,3,3
55764426800,4,6,10,13,18,22,24
57199558757,0,0,0,6,6,10,10
55501601700,3,3,3,8,10,13,15
9235900000,0,17,17,17,17,17,17
56319891600,5,6,8,10,10,12,13
12800348400,3,10,11,12,13,24,24
36796242600,4,4,4,4,4,6,6
55549097100,11,11,11,11,83,83,83
55533245300,4,4,4,4,7,7,7
36766811100,3,5,5,6,6,6,6
23037031900,0,0,3,4,5,5,5
55325382800,3,3,4,4,4,7,7
8746060700,0,0,0,0,0,0,4
55584822600,2,4,4,6,11,14,14
55508068300,0,0,0,0,0,0,8
6603369548,15,15,16,24,41,41,41
55509345000,0,0,0,6,6,6,6
6701645511,2,2,2,2,2,2,2
55549222100,8,8,12,12,12,12,12
36605078300,14,59,87,96,96,96,106
55346399300,0,0,8,8,8,8,8
55750356100,0,0,0,0,2,6,6
55125523900,0,0,0,6,7,7,9
55497497800,0,0,14,18,18,18,18
55781339500,2,4,9,10,10,10,10
55354866400,0,0,0,0,0,0,8
55278227000,7,7,12,12,12,12,12
55361212900,2,2,2,2,2,2,2
6603307945,14,30,30,30,30,40,40
8588982500,0,0,0,0,0,0,57
57192010686,0,0,0,0,2,2,3
56414395600,0,0,0,3,3,3,3
6701741179,0,0,7,11,19,19,19
55667720100,1,1,1,1,1,3,3
55445774900,5,10,11,11,11,16,18
12780731800,0,0,3,3,3,3,3
55256790200,0,0,0,0,0,1,1
7202319998,60,60,101,101,104,104,104
36514369600,1,1,3,3,3,3,3
35311349100,3,6,15,22,22,22,22
11042549000,0,0,0,0,0,30,30
55549106000,64,64,80,80,80,80,111
55480622400,0,0,0,9,9,23,23
7005337860,4,4,5,5,6,13,13
55548063400,18,18,18,23,23,23,23
8271528700,156,156,180,180,193,193,231
15128249100,16,16,16,16,64,64,89
8982739600,0,0,0,0,10,10,10
55053461000,0,0,0,0,0,0,2
36719988700,3,3,14,15,15,18,18
55371396400,0,3,3,7,8,8,8
55888562000,3,3,5,5,7,7,7
36004736400,0,0,0,0,9,9,9
8872411400,0,0,14,14,14,14,14
7402879198,10,10,16,18,21,21,24
25638141200,5,5,5,5,5,5,5
56415525800,0,0,0,0,3,3,3
55179257700,0,0,0,0,0,6,6
55430899100,5,5,6,6,7,7,7
24722171000,25,40,40,40,107,107,107
36028748600,3,3,3,7,7,7,7
7201383221,0,0,0,6,6,6,6
55490350500,0,6,9,9,9,9,9
55149273300,0,0,0,0,0,0,2
55022905600,0,0,4,6,8,8,8
57205035994,1,11,11,11,18,22,22
55224047100,3,3,4,4,10,12,15
55143962000,0,3,3,3,3,3,3
7401672432,22,25,25,30,35,56,58
55308407000,0,0,0,0,3,3,3
55145776400,0,0,0,0,0,17,17
41662312500,5,5,5,10,10,10,10
55368371300,1,2,6,7,7,7,7
36629086200,42,42,42,42,58,58,74
