ID,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
56230668800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12
6603373418,0,2,2,2,3,5,7,7,7,7,9,13,13,13,17,20,23,23,26,34,34,43,53,58
7004200599,0,0,0,0,0,0,0,0,0,0,3,5,6,6,6,6,6,6,7,7,9,9,9,9
7006743093,0,0,0,0,7,7,7,17,17,61,67,67,72,91,91,96,96,106,113,124,126,126,126,137
7003488151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
6701646856,0,0,0,3,3,3,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
56255289500,0,0,0,0,0,0,0,3,3,3,3,3,5,5,5,5,5,12,18,28,28,28,28,28
35568632100,0,0,0,3,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7
7005934191,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,7,7,9,9,14,17,20,20
7004393170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,51,78,78
6701570540,0,1,1,5,8,11,21,30,38,40,43,49,53,66,68,72,76,79,86,88,93,102,105,113
6602619027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11
7007039790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8
6701726451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5
7003458628,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,15,26,26,26,26,26,26
6701775537,0,2,2,2,2,2,2,6,6,8,11,11,11,12,15,19,20,20,23,24,25,25,26,26
6602521727,0,0,4,4,4,4,4,4,4,4,4,4,8,13,13,18,27,27,37,44,45,47,54,54
57204299136,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,17,20,41,44,70,73,74,74
6603744264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
7005349187,0,0,0,0,2,4,4,4,4,4,4,9,22,22,23,32,32,37,46,48,59,63,72,72
7004265342,0,0,0,0,0,0,15,15,15,15,26,26,26,26,26,26,26,26,26,26,26,26,26,26
6701502772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
6602567946,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,5,6,7,8
56231773900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10
7003992123,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
16199550800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,13,13,13,16,16,16,26,26
6701595270,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,7,7,7,7,7,7,7,7,7
55909494300,0,0,0,0,0,0,0,0,0,4,4,8,9,9,9,11,11,11,11,11,11,12,12,12
35800828300,9,9,9,32,32,37,37,46,46,82,87,137,141,175,177,213,217,246,254,284,284,348,352,375
56042652500,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3
55405509400,0,0,0,0,7,7,7,7,7,7,7,7,7,16,16,16,16,16,16,16,16,16,16,24
55885120600,3,3,5,5,12,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
6602144784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3
7005224348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
57203245945,2,2,5,5,5,8,9,10,11,12,16,16,27,31,36,40,41,41,42,42,47,52,61,66
6602451758,0,0,8,8,10,10,11,12,12,16,16,18,18,18,18,18,18,18,23,27,29,39,39,39
6701718677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25
7006564575,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
6603925960,9,9,9,9,12,12,12,12,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
7006500311,0,0,0,0,0,0,0,0,0,4,4,4,4,4,10,10,17,17,17,26,26,26,26,26
7003650447,0,0,2,2,2,7,7,7,7,7,10,10,11,11,11,15,15,15,15,15,18,18,28,28
7004001617,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6701608471,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6701539733,0,0,1,2,2,2,4,4,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8
7004711322,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
8923963800,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,9,10,10,10,10,10,10,14,14
6603871161,0,0,0,0,3,7,8,9,12,18,18,32,35,35,38,57,58,59,59,64,64,75,75,77
6602222015,0,0,0,0,0,0,0,0,0,4,7,7,9,9,9,13,16,17,25,25,27,27,29,33
6603712153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7
7007054038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
6604075848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
6602494675,0,0,0,0,1,1,1,1,1,19,22,25,25,27,27,27,27,29,29,29,29,29,29,29
55474856000,0,0,0,0,0,0,0,0,0,0,15,15,24,24,24,24,24,24,25,25,25,28,41,41
6602720801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7003529783,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3
7101900837,0,0,0,0,0,0,0,5,5,5,5,6,6,6,6,7,7,10,10,14,16,19,19,19
7004084566,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,13,13,29,29,29,29,29,29
7003480451,0,0,0,0,0,0,0,0,0,33,33,44,44,107,114,114,114,114,122,180,180,240,242,242
56232421500,0,0,0,0,0,0,23,23,23,23,23,23,23,23,23,23,95,95,95,95,95,95,95,95
7102193483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6603704718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
7004373186,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,6,6,6,6,13
7003558442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6
7102191561,3,3,3,3,3,9,10,13,15,16,22,25,32,38,41,45,47,51,54,71,99,100,111,111
7003814623,0,2,2,2,2,2,2,2,2,2,2,2,2,13,13,13,27,33,35,35,35,35,41,46
7202847072,0,0,0,0,0,0,0,0,0,6,6,6,6,11,11,11,11,11,15,15,15,22,23,27
6603829666,0,0,0,0,0,0,0,0,0,0,0,26,26,30,30,34,34,34,34,34,34,34,34,34
8949681500,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,8,8
7003541260,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,5,8,8,8,8,8,16,16,16
56216745700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,12,16,23,27,36,36,36,36
7003721477,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,22,22,22,22,22,22,22,22
8947826700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,21,21,21,21,21
7006756781,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,21,21,48,48,48,56
6603750449,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7004387896,0,2,2,2,2,2,8,9,9,9,9,9,9,9,9,12,12,15,15,15,16,16,16,16
36065512300,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,5,5,5,5,5,5,5,5
55879630700,3,3,3,4,4,6,6,8,10,10,13,14,19,19,22,24,24,27,34,39,45,45,45,45
