ID,2014,2015,2016,2017,2018
56091446600,5,5,5,5,8
56365987700,0,0,3,5,5
56003475600,6,6,6,6,6
55905767600,6,17,24,24,24
56114762600,0,10,10,10,10
54785262900,4,7,9,9,9
56083293900,0,0,0,14,14
35238939800,2,2,2,2,2
55507392400,4,4,4,4,9
57194144148,0,0,0,0,2
7102447001,8,9,9,13,13
57200630510,0,0,19,33,33
7005170650,3,8,8,11,11
56548893100,8,8,8,8,8
57204318540,0,8,8,8,8
35316018200,3,3,4,7,7
55509195900,3,5,5,5,11
56405507800,2,3,3,5,5
55247696300,3,3,4,4,4
56643004500,0,7,7,7,7
56304222900,2,2,2,2,2
56695336800,0,9,9,9,9
35073828000,0,5,5,5,5
35366753200,4,4,4,4,4
56031368800,0,0,9,9,9
56568148800,0,6,6,6,6
23009970700,2,2,2,2,2
56347582000,0,12,12,12,12
56298323100,8,8,8,8,23
57200513432,7,7,7,7,7
15726314100,0,2,5,5,5
35964277500,11,11,16,16,16
36638991100,0,0,10,10,10
56437415000,0,6,6,6,6
56515358500,7,22,24,24,24
56313373700,0,5,5,5,5
55849672100,0,9,10,12,14
42262237300,1,1,1,1,1
56695365800,0,19,19,19,19
56915207000,0,0,0,0,8
8634629100,0,3,3,3,3
56160592500,2,2,4,4,4
56642695700,0,6,6,6,6
6602342410,0,11,11,11,11
7004375763,4,4,4,4,4
55445284000,6,12,13,13,13
56898657900,0,8,27,29,30
56159639400,7,7,8,10,10
48361170800,4,4,13,17,38
56419811000,2,2,2,2,2
56514864400,14,16,16,19,19
24922824800,3,3,3,4,4
6603618518,0,0,0,0,29
56016714200,0,0,0,12,12
6701895652,0,12,12,12,12
56447130200,0,8,8,8,8
56638015500,0,0,0,0,9
55993706000,4,4,4,4,4
22933798300,0,0,6,7,7
56245522100,3,3,3,3,3
55805042400,0,6,16,16,16
56342257000,5,5,5,5,5
55904038200,9,15,15,15,15
56805740800,0,0,0,17,17
9338124800,0,0,3,3,3
7103318901,6,6,7,7,11
55626887900,0,0,0,5,5
7201682655,0,3,3,3,3
37079139000,0,0,0,0,6
26031026500,0,3,3,3,3
56543596000,4,12,12,12,12
6506908112,0,0,14,14,14
55413984500,1,1,1,1,1
56252373400,11,16,16,16,16
55601367800,0,0,2,2,2
55195186800,10,10,10,10,10
7005278615,0,0,0,0,17
56069659300,4,7,7,7,7
6701758419,0,0,0,4,4
23100240100,1,1,1,1,1
56181659700,0,3,7,7,7
57113286300,3,3,3,4,4
56439922600,0,0,2,2,2
56114624200,5,5,12,12,21
55546827600,39,39,39,39,39
6603582105,0,5,5,5,5
57203079557,32,32,42,42,69
26657659600,0,0,16,16,16
56374507600,0,0,5,5,5
56048357500,0,0,0,11,11
55999456400,0,1,1,1,1
56135587900,1,1,4,4,4
56202457100,0,5,7,7,7
56592757700,0,0,0,0,2
55836652300,6,6,6,7,9
56426183600,4,6,6,6,6
6602908373,10,10,10,10,10
56505640300,37,37,37,37,61
35767133300,8,12,16,16,18
56534892200,2,2,2,2,2
55387260700,6,8,8,8,8
56401206500,0,0,0,3,3
36731675700,6,6,15,19,21
57140160700,12,12,12,12,12
56654819700,0,0,3,3,3
55986214300,0,0,4,4,4
56244600100,4,4,4,4,4
56352330400,1,1,1,1,1
56427021000,2,2,2,2,2
55325203500,0,4,4,4,14
56066639100,2,2,2,5,12
55614031300,0,23,33,33,33
56134949100,4,4,4,4,4
56593140300,0,0,3,3,6
56460954600,6,6,17,22,22
8560165000,0,0,1,4,9
56535379900,4,4,4,4,4
36187856500,0,0,0,4,7
56176530200,5,7,7,7,7
36937469800,4,4,4,12,12
56422071300,13,23,23,25,25
35291050500,3,10,10,10,10
55915908500,2,2,2,2,2
55881165200,2,2,2,2,3
56425959700,1,3,3,6,6
55955505500,0,0,0,0,11
55552080000,0,0,9,9,9
23970130600,2,2,2,6,8
56182810200,0,2,2,6,6
35956540400,3,3,3,6,9
44861644700,2,2,2,2,2
55647175800,7,7,8,8,8
56133220000,2,2,2,2,2
55737245100,2,2,2,3,3
6506279289,2,2,2,2,2
56204367700,4,8,8,10,10
55481705600,0,4,4,4,4
56199741300,3,3,3,3,3
55872772700,5,5,7,7,7
56316034100,2,2,2,2,2
55972082700,0,0,0,8,8
56372254800,0,0,0,0,1
56203506800,0,3,3,3,3
56158379800,5,5,5,5,5
56184864800,0,0,11,12,12
7003925269,0,0,6,6,7
56375177700,9,9,9,9,9
