ID,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
7004915798,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7
6603939644,5,8,10,10,17,22,28,36,36,37,37,40,43,66,74,82,97,106,112,114,117,123,123
35546188200,0,0,0,14,14,14,14,14,14,14,14,14,14,14,14,17,41,41,41,41,41,41,41
36741558600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
7006231258,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8
7003638534,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7004544211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,70,70,70,70,111
35565372000,6,6,11,13,13,20,21,33,33,36,37,37,56,56,62,69,74,74,93,101,110,126,127
6603810234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,23
7007047134,0,0,2,2,2,2,16,16,16,16,56,57,104,104,122,122,174,174,204,204,204,204,204
6603751264,2,2,3,8,8,8,10,15,15,16,17,20,23,26,34,36,36,37,39,44,51,55,58
7004145055,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
6602980347,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3
7004423897,0,0,0,2,27,27,27,27,27,27,28,32,35,35,35,35,35,35,36,36,40,40,40
7004240858,0,0,0,0,0,0,0,0,0,5,5,12,14,14,14,14,14,14,14,14,14,14,14
7102462573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
7006332019,0,5,5,5,5,5,5,5,5,6,6,6,7,7,9,9,16,19,22,22,29,29,29
6603879325,0,0,0,0,0,0,0,0,0,10,19,22,22,48,55,55,76,86,86,95,99,104,104
56519409700,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7006767394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,46,46,46,46,46
56229059700,0,0,20,20,41,41,60,60,65,65,89,95,132,133,158,161,199,208,221,221,269,274,313
