ID,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
55882161000,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6
8538705900,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,53
9270640200,0,0,0,2,2,2,2,8,8,8,11,11,11,12,15,15
7003456806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
8214788200,1,1,1,3,4,4,6,12,21,35,37,40,42,59,59,82
7004662482,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
36098180300,26,26,26,26,26,26,40,40,55,55,55,55,55,55,55,55
9741658700,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7
7003799837,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
35586765300,2,6,8,10,17,23,27,27,27,30,33,33,33,33,33,33
8545199600,0,0,0,15,15,15,15,15,36,36,36,36,36,90,90,118
7402913455,3,7,7,7,10,11,14,18,21,21,21,22,25,27,29,29
10339982700,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
23008167900,0,7,7,7,16,16,16,16,23,23,23,23,23,23,23,23
10738797800,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6
6507532467,1,1,4,5,11,21,32,37,42,48,54,63,93,114,129,132
6603651977,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,8
6701464571,8,8,8,8,8,8,8,8,8,8,8,13,14,21,21,24
24278533800,0,0,0,0,0,2,2,4,5,7,9,9,12,12,12,13
14627922300,0,4,4,4,4,4,4,4,4,9,9,87,87,173,173,175
6603952301,0,3,3,10,13,14,20,23,25,29,31,35,41,42,45,51
7801481317,0,0,0,0,0,0,0,0,0,4,4,6,6,6,6,6
6508373947,5,6,6,6,6,6,6,6,6,6,6,6,14,19,19,21
6508099368,0,0,0,0,0,0,0,18,22,28,36,39,39,62,68,68
7102533462,0,0,0,0,0,0,4,4,4,8,11,16,16,16,16,16
6507032961,0,0,0,0,7,7,7,7,11,11,11,15,15,15,23,23
6603087032,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6602127959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7007126840,0,19,27,33,33,54,54,54,54,54,54,54,54,85,88,100
8922054400,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6
8328831700,0,0,0,0,0,0,0,13,13,25,32,42,52,56,68,72
7007035077,0,10,12,12,19,20,23,23,23,26,30,33,35,36,36,36
56114493000,2,3,3,6,7,7,8,10,10,10,10,16,16,16,16,16
6507630069,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9
6507565666,0,0,0,0,14,14,14,14,14,14,14,14,14,14,14,14
6506685145,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7
55931827000,0,0,0,0,1,1,1,6,6,9,9,16,17,17,17,17
6507457125,0,0,0,10,10,35,55,76,84,93,100,102,105,118,142,146
23392222100,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6701774392,0,0,0,0,6,18,19,19,22,22,22,26,32,32,34,34
24376540100,0,0,0,7,7,34,34,34,34,34,34,34,34,48,48,48
8412487100,3,6,7,7,7,7,9,13,14,16,18,19,21,21,24,29
56028516000,0,4,4,4,4,14,17,23,32,45,53,57,57,60,61,61
55918945100,2,4,4,5,6,9,10,13,14,16,18,18,18,18,22,22
55903012900,0,0,3,3,3,3,5,5,9,9,11,11,12,12,12,12
6601989681,0,0,0,0,0,10,10,10,10,10,10,10,10,16,16,16
24076850400,0,0,0,6,6,6,9,9,9,9,9,9,9,9,9,9
55767477600,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
7004929732,0,0,0,0,0,61,61,71,71,71,71,71,71,71,71,71
9534663900,4,4,6,6,8,8,8,10,10,10,13,17,22,26,28,28
6507396322,3,4,4,10,10,10,10,13,16,18,22,26,28,28,33,36
8908248400,0,4,4,7,7,7,7,7,7,7,7,7,8,8,8,8
8955344300,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3
8651106000,0,0,0,0,0,18,18,22,25,27,29,36,43,50,59,82
7403416997,6,6,6,6,10,10,10,10,18,18,18,29,29,29,31,31
18133907600,0,0,0,0,0,0,0,0,0,0,8,14,22,22,22,22
6602915670,0,0,0,1,1,1,1,1,1,1,1,3,3,6,6,6
55901925400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
23474844600,2,2,5,5,9,10,15,15,15,15,24,31,40,50,59,70
14422903900,2,2,2,2,2,2,4,4,9,12,12,12,12,20,20,26
55903888700,0,0,0,4,9,12,14,14,14,14,14,16,16,16,16,16
56186282900,1,1,1,2,5,6,7,13,23,28,29,32,39,40,40,40
6602619218,2,2,2,2,2,3,3,3,3,5,5,5,5,5,5,5
7102595117,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11
23103641200,0,0,0,0,0,0,0,0,3,3,9,9,9,9,9,14
6506300578,0,5,5,5,5,9,9,9,14,14,19,20,26,30,42,46
7004136406,0,4,5,11,11,11,11,11,11,11,11,11,11,11,11,11
8383254700,5,5,9,14,18,19,21,27,35,47,53,62,65,66,73,74
14420737800,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6506476101,0,0,4,4,4,4,7,10,14,14,20,22,24,24,24,24
6507201627,0,0,0,0,0,0,7,7,15,20,23,23,26,26,28,28
6508316368,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8
35574131000,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3
6701607514,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8
9042532100,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6
6508052290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
11140842700,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,9
6602541484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6507855112,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,9
6507267312,8,8,8,8,11,11,11,30,30,30,34,38,38,38,48,48
23089979300,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3
6507311288,0,0,0,4,4,4,4,4,4,4,10,16,16,23,23,23
56609944300,0,2,2,6,6,7,7,18,19,27,27,28,28,28,29,29
56372749900,7,7,11,19,19,31,48,87,95,118,131,131,153,177,186,196
6603889750,0,0,0,0,0,0,6,9,15,15,15,15,15,15,15,15
14066575700,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6
6508004280,0,2,2,2,2,2,2,2,2,3,9,11,12,12,12,12
