ID,2011,2012,2013,2014,2015,2016,2017,2018
7402390313,6,6,23,23,34,34,34,34
55210333600,0,0,0,0,0,3,4,4
37061485200,12,12,23,23,24,25,25,25
35280782200,0,0,16,16,16,85,85,106
54790605200,0,0,0,0,13,18,18,19
54396240700,0,2,2,2,23,23,23,23
56603526600,0,6,6,6,6,6,6,6
7006055356,0,0,0,5,11,20,23,26
6506341607,13,28,46,46,52,70,82,82
50462041300,0,0,0,0,8,11,11,14
7404679473,0,0,0,0,2,6,6,6
8944381100,6,7,7,7,7,10,13,15
54791013000,0,0,0,0,3,3,3,3
54973971200,0,0,0,15,36,36,36,36
55349497100,0,0,0,0,0,5,14,24
36938648000,0,14,14,14,14,14,14,14
57205013279,4,9,14,16,19,22,30,33
53164333900,0,15,31,31,31,36,36,36
36719811900,4,4,4,5,5,5,5,5
8238185400,0,0,0,0,0,35,35,35
7003297659,0,0,0,0,0,0,8,11
53880698700,4,11,11,11,11,11,11,11
7003946927,0,9,22,22,22,22,22,22
57195269466,0,0,21,21,21,21,21,21
6604007181,0,0,3,3,3,3,3,3
37076752500,0,0,0,0,0,0,0,5
54420469800,3,4,4,4,6,6,6,6
37021961000,0,0,0,2,2,2,2,2
7003942821,0,0,14,14,14,14,14,14
36163895900,0,8,10,15,17,17,17,17
7004065769,0,8,8,8,8,13,13,18
37090425600,0,2,2,2,2,2,2,2
56688395000,3,3,3,4,4,4,4,4
49360979100,0,2,3,4,4,4,14,16
56242214600,0,0,0,0,0,0,10,10
26641274000,0,0,0,7,7,7,7,7
54685294700,17,20,20,20,20,20,20,20
36859280200,2,2,5,23,23,30,31,31
55263489300,2,3,3,4,4,4,4,10
15822947100,0,0,7,12,14,17,17,19
49360917300,5,6,14,14,22,26,30,39
54935118500,0,0,3,3,3,3,3,3
6603709176,0,3,3,3,3,3,3,3
7006830110,0,0,0,3,3,3,3,3
51061356200,3,3,3,6,8,8,8,10
37561661400,1,1,1,1,1,1,1,1
47562015400,3,6,6,6,7,8,10,10
55180711200,0,0,0,0,3,5,10,10
55557110000,0,0,3,3,3,3,11,11
56238759300,3,4,5,5,5,12,14,18
7403322066,0,0,0,0,0,0,4,4
36805461300,0,0,0,0,5,5,5,5
15065991500,0,0,0,0,0,20,20,20
6505996444,0,0,0,0,2,2,2,2
38561815200,3,4,8,8,8,8,8,8
6603017725,9,9,9,9,9,37,45,45
55911547800,2,2,2,2,2,2,4,4
37029920600,0,0,0,0,0,0,0,3
51461201600,0,0,0,0,0,5,5,6
54404678400,0,0,0,0,3,3,3,3
44361306900,7,7,7,8,13,14,14,20
35723249900,0,6,6,6,6,6,6,6
54896106800,0,0,0,0,6,7,8,8
36246805000,0,0,0,0,0,10,10,15
42862281800,0,4,9,9,22,24,25,25
54413301100,5,5,5,10,10,10,11,14
23485102000,9,10,10,10,10,10,10,10
6603293949,0,3,3,3,3,3,3,3
16417524900,1,1,1,1,1,1,1,1
55606655400,0,0,0,0,12,26,26,26
54383989600,3,3,3,3,3,3,3,3
36544740400,0,9,9,12,12,12,12,12
23019879300,0,0,0,47,47,47,47,47
37077298500,6,6,6,69,69,69,69,69
50160947600,0,0,0,3,4,4,4,4
35278357200,0,53,53,53,53,53,53,53
36700518000,0,0,5,5,5,5,5,5
36651413000,0,0,6,6,6,6,6,8
37012411200,0,15,15,23,24,24,24,24
6508161571,9,9,20,32,32,38,40,40
48761844600,2,2,3,5,5,5,11,11
53878363000,6,6,6,7,7,7,7,7
36810203500,0,0,0,0,0,0,5,5
8779307500,32,48,52,55,61,61,61,61
52063109200,8,8,9,9,9,9,15,15
19640812000,4,4,9,14,18,19,21,21
53986586300,13,14,15,19,28,31,31,31
57198192687,0,3,3,6,6,6,6,6
50162244600,11,11,23,23,23,23,23,23
7801614029,0,0,2,3,9,20,24,26
36662029600,3,3,4,5,5,5,5,5
8508138400,26,70,70,70,126,126,126,126
53881193400,4,4,4,11,11,19,21,21
23967105900,0,0,0,0,63,63,63,63
37016933800,6,6,11,11,11,11,11,11
55588010000,3,3,8,9,10,13,20,28
55486576300,5,7,11,21,24,31,47,53
56181233500,1,1,3,3,3,3,4,7
36615980600,0,0,39,39,39,39,39,39
24399312200,0,11,11,11,11,11,11,12
36491833100,0,0,0,0,0,5,5,5
37108059000,0,0,0,0,0,1,1,1
35101985200,0,0,0,0,10,10,10,10
55209859200,0,0,3,3,3,6,6,6
55566929600,3,6,6,6,8,12,12,12
52464518500,8,11,13,17,33,44,44,44
7004162794,0,0,0,14,14,14,14,14
56234116800,0,0,0,0,0,0,3,3
26643270000,0,0,0,7,7,7,7,7
14421368400,0,0,5,5,5,5,5,5
6701612524,0,0,0,0,0,12,14,14
47160925000,7,7,11,13,13,13,13,13
36599787700,6,8,9,20,21,21,21,23
55260196300,0,3,3,6,6,8,8,8
56751799400,0,0,0,0,0,6,6,6
55745616300,0,0,5,9,9,9,9,9
54381165100,0,0,0,11,11,11,11,11
53164577200,4,4,4,7,7,8,8,8
23393905100,6,10,10,10,10,10,10,10
8899087700,3,3,4,4,11,15,18,18
36473660200,0,4,4,5,5,5,5,5
55005593100,0,2,2,4,5,5,5,9
35766755300,2,4,4,8,9,9,10,10
38660918900,6,11,11,19,20,27,27,32
55484899000,0,10,15,15,15,20,20,20
54791646900,2,2,4,4,4,4,6,6
8888151800,0,0,8,12,14,14,14,14
42762206500,4,4,4,4,6,7,7,7
56338226500,3,4,4,5,6,6,6,6
54393283900,6,6,6,6,9,9,9,9
38662269400,0,0,37,37,37,37,37,37
50263152500,0,7,8,16,19,19,24,30
7003429830,0,0,3,3,3,3,3,3
54784250900,5,5,5,5,5,11,11,11
36110052700,0,0,8,8,8,8,8,8
36815631900,0,0,4,4,4,4,4,8
23467266100,7,7,7,14,19,23,29,29
36798418200,6,6,7,7,7,7,8,8
36632570900,5,5,6,10,13,14,14,14
36807249400,5,7,8,10,11,11,15,15
57192331554,0,0,7,14,18,20,21,21
51061073000,0,0,1,5,5,5,7,7
54788043500,4,5,6,6,9,9,21,21
36918617100,2,7,10,32,32,32,32,32
36768761700,0,0,9,9,9,9,9,9
47661160200,0,0,0,0,0,0,0,11
26430396000,0,0,0,2,2,4,5,7
51863283400,0,0,0,0,0,22,22,22
36998495700,1,3,3,3,3,4,4,4
57192210395,8,8,9,9,9,9,9,9
57203088457,4,4,4,4,4,4,4,4
56078681100,0,3,3,6,7,10,11,11
37060660500,2,2,8,8,24,32,48,49
7005375930,3,3,3,3,3,3,3,3
35512233800,0,0,4,4,4,4,4,4
16232797400,0,0,0,0,8,8,8,8
6603487943,5,6,6,6,6,6,6,6
46161082200,5,5,5,5,5,5,5,5
8679677600,0,9,9,9,9,9,9,13
22036245100,0,0,0,2,2,2,2,2
53980375700,0,0,0,0,0,1,1,1
53877568600,0,0,15,24,28,28,28,28
54943432700,4,7,7,7,7,17,21,21
56769394500,0,0,0,3,3,9,9,9
55601872800,0,0,0,0,1,1,1,1
37017082000,2,5,5,8,8,8,8,11
55006003600,0,0,2,2,4,4,4,4
23486561700,0,0,0,0,0,39,39,39
55706948300,3,3,3,3,3,7,7,7
48662171000,12,19,25,30,32,33,33,33
57197297145,0,0,0,0,0,3,3,3
7102365239,7,7,7,7,40,44,44,44
23005167300,7,7,8,8,8,8,22,22
54788122800,0,0,6,6,6,6,6,6
6602523134,6,6,6,6,8,8,8,8
35222860300,0,0,0,47,47,47,47,47
24831780600,0,0,0,5,5,5,5,5
55354900900,0,0,4,4,4,4,4,4
54402533600,0,0,0,15,15,15,15,15
53986212200,3,24,24,24,24,24,24,24
6601956838,13,17,20,20,26,54,63,64
55750353200,0,0,0,0,5,5,5,5
36455241100,0,2,2,2,2,2,2,2
36622757600,2,2,2,2,3,3,3,3
