ID,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
6701746493,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7005047706,0,0,2,2,2,5,6,6,7,12,12,13,13,13,13,13,14
6602696549,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,9
23398218600,2,5,6,8,12,15,20,27,30,37,44,54,59,65,68,71,79
6506473630,0,0,0,0,0,0,0,0,0,0,6,6,8,8,8,11,11
8537850400,0,0,0,0,0,0,13,13,13,43,43,43,49,61,61,61,61
6507186881,6,6,6,6,6,12,12,12,12,12,12,12,16,18,18,18,21
57202988918,1,2,5,5,8,10,16,19,21,21,23,25,26,27,33,36,37
23025490900,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,22
6701766655,0,0,0,0,0,0,0,0,16,16,26,26,26,26,26,26,32
55884653700,3,3,3,3,3,3,12,29,32,35,35,45,53,54,60,74,74
7004307308,17,17,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
55978138600,0,1,1,1,1,1,3,6,9,13,16,20,23,30,35,45,49
7101933315,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21
57203299726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
6602226675,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3
22980532200,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
57201695050,0,0,0,0,2,2,2,2,2,3,4,4,4,4,4,4,4
6701790530,0,0,0,0,0,0,0,10,15,15,15,15,15,15,15,15,23
6602111278,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
56276834700,0,0,0,0,0,0,3,8,8,8,10,10,10,10,10,10,10
57188780886,0,2,2,2,4,11,16,21,26,30,32,34,40,44,44,48,51
6507954965,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5
25641871100,9,9,9,9,11,21,21,25,26,26,33,33,33,42,49,50,50
7202484913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
6602667886,0,0,0,0,5,9,11,11,11,11,11,11,11,11,11,11,11
18037616000,3,3,3,3,3,5,8,9,9,9,14,16,16,17,17,24,24
7005203524,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6
14831276000,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6603163190,0,0,5,8,8,11,13,31,42,53,54,54,54,55,62,62,62
7005575633,0,0,9,9,23,27,31,31,31,41,44,49,49,75,75,75,75
6701641557,19,19,19,19,19,19,19,23,40,40,46,46,79,79,116,116,147
23398783300,1,2,4,5,5,7,8,12,12,12,12,13,18,18,18,18,21
14018992700,2,5,5,8,11,21,26,28,34,36,41,65,68,72,83,87,87
10140007900,0,0,0,0,0,0,0,0,0,7,7,8,8,8,8,8,12
6507722070,3,3,6,9,14,14,18,18,24,24,24,25,29,33,36,36,39
57062143400,0,0,0,0,0,0,0,0,15,15,15,15,35,35,35,35,35
18434661200,3,6,7,10,12,12,16,22,27,28,34,47,48,51,55,119,124
6604057880,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,15
35617108400,0,0,0,4,7,7,7,7,7,7,7,13,21,21,21,21,21
7006516345,0,0,0,0,0,2,2,4,6,6,6,6,6,6,6,6,7
6603315522,0,4,4,4,4,4,4,14,14,19,19,19,30,30,34,35,38
6602954348,0,0,0,0,0,0,0,0,0,0,6,29,29,29,29,29,29
57192669196,10,13,13,16,17,19,21,22,26,27,27,27,27,31,35,38,38
7801413211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8
7004649024,0,0,0,0,0,0,0,32,32,32,32,32,32,32,32,32,32
6506189480,3,4,6,7,8,9,17,23,30,33,33,37,50,55,60,64,70
7801413223,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3
6602763202,0,0,0,0,0,0,0,6,6,10,10,10,10,10,10,10,10
55884078800,0,0,0,0,0,0,0,0,0,0,0,7,12,12,12,12,12
6602471782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
7102745133,2,2,2,2,2,2,2,2,5,7,9,9,11,11,11,11,11
23097887100,0,0,0,1,4,4,4,5,5,11,11,13,21,23,23,27,28
6603920497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16
9133130000,0,0,0,0,0,0,0,0,2,2,2,2,14,14,14,14,14
55892807300,1,3,5,5,8,10,12,12,18,19,20,22,23,28,30,35,36
6602864255,0,8,8,8,13,14,18,28,28,29,58,58,70,72,80,80,87
6505810646,3,3,3,3,3,6,7,11,13,17,19,20,20,20,24,24,24
6603894932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6602549943,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8
6603340239,0,0,0,0,1,1,1,2,2,2,2,5,5,5,5,5,5
14022655900,0,0,5,5,5,11,11,11,11,11,19,27,40,40,46,53,57
8912644800,2,5,5,6,8,16,18,21,32,38,39,44,47,49,65,75,77
15847718000,0,0,3,3,3,6,6,8,9,9,11,12,18,20,35,36,39
6602982434,11,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
23397235900,2,2,2,5,6,8,10,11,15,18,23,26,31,36,40,46,51
24483532400,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3
7003623190,0,0,0,0,0,0,0,0,0,0,0,0,25,25,49,49,49
12759696100,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6
55629754700,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3
6701737756,0,0,0,0,0,0,0,0,11,11,21,21,21,21,50,50,144
9039915200,0,1,1,1,1,4,6,14,20,28,43,48,55,57,65,71,80
15835766900,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
12244504200,0,0,0,0,0,0,4,4,4,4,4,4,10,10,10,10,10
6602085886,50,50,50,51,51,51,56,56,64,64,64,64,64,64,77,77,77
23397064800,1,3,4,5,6,6,9,15,20,24,25,27,27,33,38,41,42
6701329300,0,0,5,5,6,6,6,6,6,6,9,12,15,15,15,15,15
7102515751,2,2,5,5,6,11,11,14,14,14,16,21,22,22,24,29,29
6506501277,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9
12797513300,0,0,0,0,0,0,0,0,7,7,7,11,12,12,12,12,16
6701751687,2,3,3,4,6,13,13,13,22,22,25,29,39,41,45,46,54
7102002323,0,3,3,3,6,6,8,8,8,10,15,25,26,32,32,34,38
6602762447,8,8,16,16,19,21,24,29,30,60,64,68,74,85,103,106,113
7801520528,5,6,6,6,6,6,6,9,10,10,12,16,17,23,26,34,42
6505836825,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
22949402700,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12
