ID,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
6602651006,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17
6602272412,0,0,0,6,16,16,16,16,16,16,16,16,16,16,16,59,59,86
7005614704,0,0,0,7,7,7,7,7,7,7,7,7,7,13,13,13,13,13
6602806483,0,0,0,0,0,1,1,1,1,1,4,7,8,8,8,8,8,8
56018104800,3,6,6,8,8,10,12,30,31,37,40,42,49,54,57,63,64,78
16025070000,3,6,7,7,19,19,19,21,21,21,21,23,23,27,27,27,31,32
23567052300,0,0,0,3,3,3,7,10,11,12,17,18,18,18,19,19,23,23
6602612578,0,0,0,0,0,0,0,4,4,4,6,6,6,6,6,6,7,7
8839589900,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,10
7004335722,1,8,10,12,14,15,15,18,19,19,19,20,22,22,22,22,24,24
6602625955,3,4,7,8,12,18,19,26,33,35,35,35,40,41,45,45,45,51
6602930004,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8
6602496423,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7102207562,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13
6508163688,0,0,0,0,0,0,0,0,3,6,6,6,6,6,6,6,6,6
8856735100,0,0,0,0,0,0,0,0,79,79,79,79,79,79,79,79,79,79
7003772756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
8889287700,3,3,6,8,9,9,9,11,14,21,22,24,25,25,25,25,25,27
6507456118,0,0,0,0,3,3,4,4,4,8,10,14,19,24,28,29,30,30
35515405200,0,0,0,0,0,0,0,0,5,5,5,5,12,12,15,20,20,24
6603246354,2,2,2,3,8,13,16,21,24,28,32,32,33,43,52,58,60,65
6603558312,0,0,0,0,0,0,0,5,5,5,11,11,13,16,16,16,44,51
6505929886,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5
8676199300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
23091001900,0,0,0,0,0,0,0,0,0,0,0,0,7,7,17,17,17,17
6602317543,0,0,0,0,0,0,0,0,5,10,10,10,10,10,10,10,10,10
24766162800,0,0,3,7,7,7,7,7,7,7,11,11,12,19,22,26,26,28
57204296870,3,5,5,8,9,9,21,23,23,28,29,30,34,34,38,40,43,47
15045061000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3
6507788532,5,5,5,5,9,9,9,9,9,9,11,11,11,11,11,11,15,15
6602910848,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4
6602146116,0,2,2,2,2,2,5,11,11,13,13,16,17,17,19,21,21,21
12144446700,0,0,0,2,2,2,2,2,2,2,4,4,4,8,8,8,12,12
6603479542,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4
7004153936,0,0,0,0,0,6,6,6,6,10,29,29,34,44,46,48,48,84
6603905943,5,5,5,9,11,13,14,14,15,20,20,20,22,29,31,33,33,35
6701916635,0,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,45,45
6602407894,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12
12768827000,0,0,0,0,0,0,4,4,4,4,4,4,8,8,26,26,26,28
16176538800,1,3,3,3,4,10,15,19,31,33,53,69,81,93,96,105,122,132
6602984324,3,3,3,3,3,3,3,6,7,12,19,21,22,24,24,29,31,33
7102907729,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,12,12
7006748061,0,0,0,0,0,0,0,1,1,17,17,24,24,24,24,24,24,24
6603155263,6,6,12,12,12,12,12,24,24,24,24,24,27,33,33,33,40,40
6603146976,5,5,8,11,11,12,21,21,26,27,27,31,33,33,33,36,40,41
6508367089,0,0,0,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7
6507646622,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,8,8
7003807085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
55907234100,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
8065447300,0,0,0,0,0,0,13,68,68,69,77,77,77,77,77,77,107,109
7004204456,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6506583473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8
7801518927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
24168358600,0,0,0,0,0,0,0,0,0,2,4,9,12,13,26,30,30,36
7004529134,0,0,0,11,11,11,11,15,15,39,39,82,82,125,125,158,158,173
6602881868,0,9,12,16,19,25,32,41,73,87,96,107,124,148,161,192,192,198
57087421400,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6507121641,0,0,0,0,0,8,11,11,11,20,32,44,50,50,53,67,73,97
55912310200,2,2,3,3,4,6,11,13,14,18,25,29,33,37,38,43,48,58
55893033200,2,2,2,3,3,3,6,6,7,8,8,11,17,17,19,21,22,22
