Unnamed: 0,ID,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
180,7003386216,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1997
193,56974071200,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1997
223,56627848400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1997
252,35911026000,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1997
264,6602461007,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1997
324,6602534173,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1997
365,7003768034,4,4,4,4,4,4,4,4,4,9,9,9,9,9,17,17,17,17,17,17,17,17,1997
399,36936266300,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1997
512,16031600600,6,6,6,6,6,6,6,6,28,28,28,28,28,28,28,28,28,28,28,28,28,35,1997
519,23011698200,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,1997
531,8717735800,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,1997
541,16642938700,7,7,7,8,8,10,10,10,10,13,17,18,18,18,23,24,25,25,27,29,29,32,1997
679,55976264400,3,3,4,4,4,4,4,5,5,7,8,8,8,10,10,11,11,13,14,15,15,16,1997
700,7101988086,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1997
706,7004654275,2,4,4,4,4,4,4,4,10,10,11,11,11,11,11,11,11,11,11,11,11,11,1997
745,6602079064,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1997
796,36078843500,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1997
816,7101942414,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1997
848,57196523795,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1997
879,6701795688,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1997
912,6506835533,1,1,1,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,1997
1113,7102926112,3,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,8,9,9,9,9,9,1997
1115,56733172800,10,10,10,14,14,14,15,15,16,22,22,22,37,37,37,55,55,55,55,55,55,55,1997
1122,56971251300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1997
1233,6505742635,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1997
1252,7402490140,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1997
1504,57197947473,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1997
1586,6701538538,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1997
1602,6602625588,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1997
1622,7005161988,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1997
1805,7005186901,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1997
1951,6603279008,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1997
2013,6603964117,3,5,8,9,14,19,24,31,32,44,51,55,57,63,68,68,89,94,97,97,100,100,1997
2065,6603892530,4,4,6,22,25,25,25,31,33,39,40,45,47,69,69,74,74,87,87,109,127,143,1997
2069,6505838707,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1997
2228,7006357115,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,18,18,1997
2320,6602828038,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1997
2341,7005929387,4,16,24,31,44,52,54,54,54,56,64,70,72,72,84,84,84,84,84,96,96,96,1997
2552,57073281300,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1997
2637,7004065818,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,1997
2679,7202738533,7,7,7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1997
2682,57062966400,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1997
2741,6602489894,4,6,6,6,6,6,6,6,6,6,17,17,17,17,33,36,36,36,36,36,36,36,1997
2884,57105753400,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1997
2960,7005797411,3,3,3,7,8,8,11,17,30,35,42,50,50,53,58,64,64,64,64,64,64,64,1997
2978,7007104505,2,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1997
2990,7004033869,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1997
3267,23014664700,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1997
3390,26021841800,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,1997
3591,7006255638,2,3,3,3,3,3,4,6,6,6,8,8,10,11,13,17,18,19,19,20,20,20,1997
3618,6505790960,5,5,5,5,5,5,5,5,5,7,7,8,8,10,10,11,11,11,11,11,11,11,1997
3658,6603765964,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1997
3662,6602365121,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1997
3697,7006405870,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1997
3748,56246174200,3,4,6,6,7,7,7,8,8,8,8,11,21,26,26,29,42,44,44,44,44,44,1997
3754,7005245912,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1997
3810,6602211881,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1997
3837,6602510897,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1997
4039,7004065770,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13,1997
4095,24531235700,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1997
4156,6603147245,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1997
4276,6602361491,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1997
4338,6603556438,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1997
4372,12773171100,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,1997
4387,55882528000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1997
4416,57203072257,3,4,8,11,12,13,14,14,15,23,23,28,33,47,54,56,60,76,84,88,96,106,1997
4487,36789632000,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1997
4498,6506148377,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1997
4519,6601990159,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1997
4551,7202632582,13,13,13,13,13,13,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,1997
4561,24496356800,3,3,3,9,9,9,9,9,9,9,9,9,9,9,9,11,11,13,13,13,13,16,1997
4636,36952746500,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1997
4666,35497675000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1997
4675,6602338728,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1997
4712,7402231612,4,4,4,4,8,17,17,27,39,41,55,65,72,78,79,79,82,104,115,124,134,146,1997
4786,7006342709,3,3,3,3,3,3,3,3,3,3,3,3,17,17,17,17,17,22,22,22,22,22,1997
4894,7003323804,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,1997
4954,57111824200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1997
4971,6603027540,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1997
4988,7004590755,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,16,1997
5070,57206209924,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1997
5086,7006585545,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1997
5178,57195724613,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1997
5185,6602131582,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1997
5211,55828306900,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,6,6,8,8,14,14,14,1997
5228,6602224519,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1997
5231,7201744329,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1997
5359,36957942100,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1997
5469,57206168995,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1997
5519,7102059400,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1997
5533,56664143500,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1997
5570,6701616373,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1997
5594,6508345541,12,12,17,17,17,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1997
5614,7006263526,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1997
5631,7004435369,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1997
5667,7004169523,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1997
5803,57136537000,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,1997
5834,6603045297,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1997
5911,6507220271,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1997
5912,55239587100,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1997
6202,7004540083,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1997
6240,7103185380,6,6,6,6,6,7,13,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1997
6272,7003277653,1,1,1,4,4,4,5,6,7,7,9,10,10,10,10,10,10,10,11,11,11,11,1997
6387,6701414214,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1997
6461,56259440200,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,1997
6467,7006682326,11,11,11,17,17,28,28,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,1997
6524,6603011740,11,18,18,18,18,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1997
6564,36537113700,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1997
6573,6602962174,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1997
6625,7005344489,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1997
6749,7101748094,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1997
6852,13609601400,4,22,22,22,22,25,25,43,43,43,43,43,43,59,59,59,59,59,59,59,59,59,1997
6856,6602513945,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1997
6859,55953330400,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,11,11,11,11,11,11,1997
6880,6603146835,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1997
6893,36851429900,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,1997
6898,57205603319,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1997
6943,6603194753,5,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1997
6954,8356978700,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1997
7049,7401736652,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1997
7055,56247771800,3,4,4,8,8,8,8,8,8,8,8,15,19,21,28,32,32,45,50,54,60,70,1997
7086,7801344092,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1997
7267,24282483800,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1997
7275,55963707300,5,9,12,12,12,12,18,18,18,18,26,26,26,26,26,31,31,37,37,42,52,57,1997
7287,7003355569,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,10,10,10,1997
7338,56782215300,8,8,8,8,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1997
7412,6602866107,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,1997
7429,7006042422,5,5,5,5,5,9,9,9,9,9,9,9,9,16,16,16,16,16,16,16,16,19,1997
7450,26021746300,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1997
7478,6602947210,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1997
7501,7003622999,8,9,9,11,11,11,11,14,14,15,20,20,20,20,20,20,20,20,25,27,29,29,1997
7540,6602898472,18,18,18,18,18,28,32,32,32,32,32,32,39,45,51,61,61,61,68,71,76,76,1997
7638,56043121400,1,1,6,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,1997
7667,6602574432,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1997
7925,6505835195,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1997
7935,9133978000,1,1,3,3,5,8,13,14,15,17,18,20,25,28,38,39,41,44,44,69,74,80,1997
7944,7004079288,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,15,15,15,15,15,15,15,1997
7974,36869022700,3,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,1997
8126,22434284200,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1997
8173,57192295390,1,9,18,18,18,22,23,25,25,25,25,25,25,25,25,25,25,25,34,37,37,37,1997
8262,57196537598,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1997
8325,35359545000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1997
8356,6505982700,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1997
8388,7003439584,1,1,1,1,1,1,1,1,1,6,6,6,20,20,20,20,20,20,20,20,20,20,1997
8424,26323766800,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1997
8642,36853105100,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1997
