Unnamed: 0,ID,2014,2015,2016,2017,2018,start_year
19,7003729382,2,2,2,2,2,2014
29,56091446600,5,5,5,5,8,2014
36,6603228789,3,3,3,3,3,2014
63,55892354500,3,3,3,3,3,2014
67,56490304600,2,2,2,2,2,2014
76,57199470231,77,77,77,77,77,2014
80,56003475600,6,6,6,6,6,2014
90,56278368100,4,5,5,5,5,2014
91,55905767600,6,17,24,24,24,2014
122,56764415200,1,1,1,1,1,2014
127,55390323200,2,2,4,4,4,2014
166,55531427200,9,9,9,9,9,2014
222,56080718100,7,7,7,7,7,2014
250,54785262900,4,7,9,9,9,2014
269,7201884734,6,6,6,6,6,2014
291,37110778700,2,2,2,2,2,2014
328,8554454800,8,8,8,8,8,2014
353,55961075000,2,2,2,3,8,2014
354,8920845500,57,57,57,57,57,2014
382,7003376187,14,14,14,14,14,2014
438,7005337879,14,14,14,18,18,2014
448,6506921991,13,13,13,13,13,2014
451,25627283300,6,6,6,6,6,2014
483,35238939800,2,2,2,2,2,2014
498,7101782257,5,5,5,5,5,2014
511,26430482000,1,1,3,3,3,2014
526,7101820325,2,4,6,6,6,2014
547,8210164900,5,5,5,5,5,2014
551,55507392400,4,4,4,4,9,2014
576,7003663098,71,71,104,104,104,2014
579,23989107600,19,19,19,19,19,2014
634,57190798269,12,12,12,12,12,2014
641,7102447001,8,9,9,13,13,2014
652,56323460100,2,4,6,6,7,2014
675,56463148700,63,63,63,63,63,2014
690,7102700855,1,1,1,1,1,2014
711,6603551671,6,6,6,6,6,2014
722,6507989604,4,4,4,4,4,2014
727,56056477500,3,5,5,5,5,2014
755,35292611200,5,5,5,5,5,2014
763,55513194100,6,16,16,16,16,2014
776,56515297200,18,18,18,18,18,2014
788,36170379700,3,3,3,3,3,2014
794,57201265019,4,4,4,4,4,2014
848,55210404700,2,5,5,5,5,2014
873,7103381652,57,57,185,185,223,2014
902,56724226600,3,3,3,3,3,2014
908,34978108100,22,22,22,22,22,2014
945,56368652700,3,3,3,3,3,2014
946,7003288074,69,69,69,69,69,2014
966,36665846700,12,12,12,12,12,2014
976,56442094500,1,1,1,1,1,2014
982,6701814469,4,4,4,4,4,2014
1014,55800824800,6,6,6,6,6,2014
1065,56303734800,4,4,4,4,4,2014
1075,53364401900,1,1,2,2,2,2014
1099,56600628100,2,2,3,3,3,2014
1115,35225209300,1,1,1,1,1,2014
1132,55845598600,1,3,4,4,4,2014
1135,7102504355,68,68,68,68,68,2014
1140,55056139500,2,2,2,2,6,2014
1150,14826391900,10,10,20,20,28,2014
1153,6602070971,3,3,3,3,3,2014
1156,7006055356,5,11,20,23,26,2014
1162,35794846500,8,8,8,8,8,2014
1208,56600853100,2,2,2,2,2,2014
1227,7006300324,6,8,8,8,8,2014
1234,8331410200,29,29,29,29,29,2014
1250,26540948400,1,1,1,1,1,2014
1266,56305144400,7,7,7,7,7,2014
1275,6602131692,3,3,3,3,3,2014
1285,55329916500,3,3,48,48,48,2014
1289,57185537000,3,3,3,3,3,2014
1292,23568612400,6,6,6,6,6,2014
1297,56690567000,8,8,8,8,8,2014
1328,6603017352,5,5,5,5,5,2014
1334,15135551700,1,1,1,1,1,2014
1386,56548893100,8,8,8,8,8,2014
1402,55235036700,10,15,15,34,34,2014
1409,56418593600,2,2,2,2,2,2014
1464,6602341898,4,4,4,4,4,2014
1469,26429318000,37,37,40,40,40,2014
1509,35316018200,3,3,4,7,7,2014
1534,7004159827,83,83,83,83,83,2014
1578,55562055200,3,3,3,3,3,2014
1582,56485392200,3,3,3,3,3,2014
1592,6506942098,10,10,10,10,10,2014
1596,48861000500,2,2,2,2,2,2014
1610,56080939100,3,3,3,3,3,2014
1643,56405507800,2,3,3,5,5,2014
1650,55247696300,3,3,4,4,4,2014
1660,7202709950,2,15,15,15,15,2014
1675,56514689400,90,90,90,90,106,2014
1680,56416174100,5,5,5,5,5,2014
1685,53984089800,1,1,1,1,1,2014
1688,49962985800,8,9,9,9,9,2014
1705,7004440552,13,13,13,13,13,2014
1735,24070104000,6,6,6,6,6,2014
1754,56515509200,31,31,31,31,31,2014
1769,55912205900,2,2,2,2,2,2014
1799,7003642653,5,5,5,5,5,2014
1853,56872545300,6,6,6,6,6,2014
1862,56304222900,2,2,2,2,2,2014
1866,34870369100,1,1,1,1,1,2014
1870,15074491000,12,12,12,12,12,2014
1887,8840160700,7,7,7,7,13,2014
1896,57193917441,3,3,3,6,6,2014
1899,55670342800,6,7,7,7,11,2014
1916,56421924000,12,12,12,12,12,2014
1934,12763115200,5,5,5,5,5,2014
1947,36963848900,2,2,2,2,2,2014
2018,54973971200,15,36,36,36,36,2014
2073,56410509700,3,3,3,3,3,2014
2082,55175232000,5,5,5,5,5,2014
2087,6507020806,5,5,5,5,5,2014
2118,56650986300,2,2,2,2,2,2014
2124,6603706866,1,1,1,1,1,2014
2128,23009970700,2,2,2,2,2,2014
2139,28568150400,2,2,2,2,2,2014
2146,6602580646,3,3,3,3,3,2014
2156,55880387500,9,9,9,9,9,2014
2164,8538768800,10,10,10,10,10,2014
2165,6603447947,6,6,9,9,9,2014
2177,57188837260,6,6,6,6,6,2014
2178,56303861600,3,3,3,3,10,2014
2190,54957019000,2,2,2,2,2,2014
2207,14052002000,3,3,3,3,3,2014
2209,56298323100,8,8,8,8,23,2014
2226,56352532300,2,2,2,2,2,2014
2245,55921184300,2,2,2,2,2,2014
2246,8553096800,4,6,6,6,6,2014
2252,26659171200,9,9,9,9,9,2014
2256,55745218900,17,17,17,17,17,2014
2276,56400932000,3,3,3,3,3,2014
2326,55813744700,2,2,2,2,2,2014
2354,55064235900,3,11,77,77,77,2014
2361,36013692000,15,18,18,18,18,2014
2371,36700746300,13,13,14,14,14,2014
2378,6507036738,5,5,5,5,5,2014
2403,6603501558,2,2,2,2,2,2014
2447,36728470800,4,4,4,4,4,2014
2477,56428866800,2,2,3,3,3,2014
2496,55325698800,3,3,3,3,3,2014
2568,7005908147,4,4,4,4,4,2014
2572,6602158037,5,5,5,5,5,2014
2617,7005842788,11,11,11,11,11,2014
2637,55897918000,4,4,4,4,4,2014
2673,8555264800,4,4,4,7,7,2014
2687,7004313790,1,19,61,61,61,2014
2718,55386096200,3,3,3,3,3,2014
2730,56784272300,3,3,3,3,3,2014
2762,55888041500,2,2,4,4,4,2014
2798,56884348800,2,2,2,2,2,2014
2801,55080111500,3,3,3,3,3,2014
2802,56784395900,11,11,11,11,11,2014
2856,6507074697,10,10,10,10,10,2014
2866,16453973000,43,43,43,43,57,2014
2870,57199286635,6,6,6,6,6,2014
2887,55935801300,5,5,5,5,5,2014
2936,57204549001,4,4,4,4,8,2014
2965,26027138700,5,5,5,5,5,2014
2974,56592109900,2,2,2,2,2,2014
2991,35964277500,11,11,16,16,16,2014
2999,47962477400,5,5,5,5,5,2014
3052,12753945200,41,41,41,41,41,2014
3056,56346223700,12,12,12,12,12,2014
3062,56275453500,8,8,8,8,11,2014
3067,56112940300,11,45,49,49,49,2014
3076,7006321608,4,5,5,5,5,2014
3087,56515358500,7,22,24,24,24,2014
3157,56594178500,2,2,2,2,2,2014
3177,42262237300,1,1,1,1,1,2014
3256,35379576100,3,3,3,3,3,2014
3262,35190134000,6,6,6,6,6,2014
3277,56160592500,2,2,4,4,4,2014
3292,56313356700,7,7,7,7,7,2014
3302,15828193000,41,41,62,62,62,2014
3306,35955715700,2,2,2,2,2,2014
3307,55542037700,12,12,12,12,12,2014
3312,24544861300,7,7,7,7,7,2014
3315,56323509500,4,4,4,4,4,2014
3353,38861546800,6,6,6,6,6,2014
3356,56731120300,4,6,6,6,6,2014
3379,56898971000,2,2,2,2,2,2014
3392,48661352700,4,4,4,7,7,2014
3401,6506654142,5,5,5,5,5,2014
3468,57202193726,3,3,3,3,3,2014
3489,7103229351,29,29,51,51,51,2014
3517,7004375763,4,4,4,4,4,2014
3529,35107616800,8,8,8,8,8,2014
3547,56178546800,2,2,2,2,2,2014
3570,56728516800,3,3,3,3,3,2014
3595,23388785300,2,4,4,6,8,2014
3687,16240669800,9,9,9,9,9,2014
3716,56159639400,7,7,8,10,10,2014
3725,22941996300,5,5,5,5,5,2014
3728,37100030600,5,5,9,9,9,2014
3739,57189257666,1,2,2,2,2,2014
3750,56592145400,5,5,5,5,5,2014
3773,57188551158,8,8,8,8,8,2014
3792,27567854000,4,4,4,7,10,2014
3797,48361170800,4,4,13,17,38,2014
3799,57200141383,4,5,5,9,9,2014
3811,56419811000,2,2,2,2,2,2014
3828,7006260165,20,20,20,20,20,2014
3836,7101647776,4,4,4,4,4,2014
3864,56126466800,2,2,2,2,2,2014
3879,57189353807,4,4,4,4,4,2014
3893,56303884800,13,13,13,13,13,2014
3894,23995831700,6,6,6,6,6,2014
3900,56514864400,14,16,16,19,19,2014
3903,24922824800,3,3,3,4,4,2014
3904,36606480300,3,3,3,3,3,2014
3939,55358751500,1,1,1,1,1,2014
3951,56202420100,2,2,2,2,2,2014
3977,6602644457,5,5,9,10,16,2014
3989,56784273500,13,13,13,13,13,2014
4064,35188611500,2,2,2,2,2,2014
4098,55837745800,5,5,5,7,7,2014
4111,56084569400,1,1,1,1,1,2014
4132,56406138200,3,3,3,3,3,2014
4136,37074193800,4,4,4,4,4,2014
4169,6506156795,90,90,90,90,90,2014
4170,55787509000,5,5,5,5,5,2014
4173,57192063098,3,3,3,3,3,2014
4186,16023425700,4,4,4,4,4,2014
4197,26425260900,3,3,3,3,3,2014
4198,15043107900,7,7,7,7,7,2014
4220,56189616200,5,5,5,5,5,2014
4232,57198513169,5,5,5,5,5,2014
4247,56053398100,3,3,3,3,3,2014
4286,56444378300,22,22,22,22,22,2014
4308,56303444200,5,5,5,5,5,2014
4318,7003830512,17,17,17,17,17,2014
4370,13805336200,11,11,11,11,11,2014
4375,23389689400,14,14,14,14,14,2014
4412,35302036800,2,2,2,2,2,2014
4414,7202626498,83,83,83,83,83,2014
4415,55957104000,3,3,3,3,3,2014
4426,7202280449,17,17,17,17,17,2014
4437,15129167000,18,18,18,18,18,2014
4461,56400822700,2,2,2,2,2,2014
4489,56211007000,12,12,12,12,12,2014
4502,56426762900,10,10,10,10,10,2014
4510,55911897600,4,4,4,4,4,2014
4529,57191242922,5,5,5,5,5,2014
4547,9738303500,3,3,3,3,3,2014
4549,55325089100,3,3,3,3,3,2014
4570,26635763700,2,2,2,2,2,2014
4598,7006134930,9,9,9,9,9,2014
4616,36464388500,2,2,2,2,2,2014
4623,55993706000,4,4,4,4,4,2014
4625,56690326200,7,7,7,7,7,2014
4629,14054580500,6,6,6,6,6,2014
4632,56177132700,14,14,14,14,14,2014
4642,6602380558,3,3,3,3,3,2014
4702,7003590574,8,8,8,8,8,2014
4725,56126003700,5,5,5,5,5,2014
4734,8946987000,3,8,8,8,10,2014
4742,6602794253,1,6,6,6,6,2014
4745,23569879500,3,3,3,3,3,2014
4772,54881277500,69,69,69,69,69,2014
4773,55914847600,46,46,46,46,46,2014
4777,15769918700,18,18,18,18,18,2014
4778,36602151100,23,23,23,23,23,2014
4792,6508062795,2,2,2,2,2,2014
4803,55868833400,3,4,4,4,7,2014
4805,56263023800,10,10,10,10,10,2014
4810,57191133819,3,3,3,3,3,2014
4820,56556852300,3,3,3,3,3,2014
4823,56514679300,28,28,34,34,34,2014
4827,56397866900,2,2,2,2,2,2014
4832,57194886323,83,83,83,83,83,2014
4839,56338026800,2,2,2,2,2,2014
4910,55968515800,1,1,1,1,1,2014
4922,37021961000,2,2,2,2,2,2014
4954,36473870800,4,4,4,4,4,2014
4991,56245522100,3,3,3,3,3,2014
5029,18535492600,1,1,1,1,1,2014
5030,6603823710,2,2,2,2,2,2014
5037,54412847300,4,4,4,4,4,2014
5040,7006361569,3,3,3,3,3,2014
5050,7005370402,11,15,19,19,25,2014
5051,56600857300,3,3,3,3,3,2014
5089,23978348200,8,8,10,10,11,2014
5130,56342257000,5,5,5,5,5,2014
5153,7003552177,6,7,7,7,7,2014
5163,7101959033,2,2,2,2,2,2014
5190,56518154400,2,2,2,5,5,2014
5202,6701533742,3,3,3,3,3,2014
5241,55904038200,9,15,15,15,15,2014
5245,29068026200,6,6,6,6,6,2014
5261,56284270400,2,2,2,2,2,2014
5279,7006404174,93,93,93,93,93,2014
5296,55535263100,4,4,4,4,4,2014
5298,56113644200,2,2,2,2,2,2014
5306,56367406200,2,2,2,2,2,2014
5325,56010209500,1,1,1,1,1,2014
5349,55877253800,2,2,2,2,2,2014
5362,7103318901,6,6,7,7,11,2014
5394,56423571700,6,6,6,6,6,2014
5431,35574407400,5,5,5,5,5,2014
5461,55371091400,2,2,2,2,2,2014
5483,56941391200,9,9,9,9,9,2014
5524,7006742732,4,4,4,4,4,2014
5534,42861586800,25,25,25,44,44,2014
5536,57189236878,2,2,2,2,2,2014
5565,7404884860,2,2,2,2,2,2014
5567,55897158600,3,3,3,3,3,2014
5568,56514972700,31,31,31,31,31,2014
5569,6602822723,6,6,10,10,10,2014
5574,6505986526,4,4,9,9,9,2014
5588,54985895700,3,3,3,3,3,2014
5606,56405178400,10,10,10,10,10,2014
5613,13607928400,4,4,4,4,4,2014
5620,25957633800,6,6,6,6,6,2014
5628,7006359835,2,2,2,2,2,2014
5639,56179812300,8,14,14,19,31,2014
5649,7004176077,69,69,69,69,69,2014
5653,55921755700,10,10,10,10,10,2014
5665,9043030100,4,4,4,4,4,2014
5666,7102424075,23,23,27,27,69,2014
5672,57191927234,11,11,11,11,11,2014
5676,55474846900,2,2,2,2,2,2014
5718,54685015700,3,3,3,3,3,2014
5740,56037132400,57,57,57,57,57,2014
5759,56695244700,5,5,5,5,5,2014
5760,56091832200,4,6,6,6,6,2014
5761,6602776424,7,7,7,7,7,2014
5787,56428550400,1,1,1,1,1,2014
5788,56405644500,10,12,12,12,12,2014
5791,15924472100,3,3,3,3,3,2014
5802,55663453300,6,6,6,6,6,2014
5828,36133866700,2,2,4,4,4,2014
5830,50462819100,8,8,8,8,8,2014
5885,6506812457,2,7,10,10,10,2014
5890,26641274000,7,7,7,7,7,2014
5902,56610398800,3,4,5,5,9,2014
5924,56543596000,4,12,12,12,12,2014
5945,56326000900,5,5,5,5,5,2014
5960,8402073700,2,2,2,2,2,2014
5972,55748813300,4,4,4,4,4,2014
5995,26026797500,2,2,2,2,2,2014
6026,56429466400,1,1,2,2,2,2014
6032,56021610700,4,4,4,4,4,2014
6044,6602301384,3,7,8,8,8,2014
6068,55413984500,1,1,1,1,1,2014
6076,57191037710,7,7,7,7,7,2014
6078,56252373400,11,16,16,16,16,2014
6084,56392133800,3,3,3,3,3,2014
6100,55883839400,2,6,6,6,6,2014
6158,55247387300,5,5,5,5,9,2014
6167,57206872055,8,8,8,8,8,2014
6174,57103056200,2,2,2,2,2,2014
6179,55883565100,1,1,1,1,1,2014
6184,56260185400,7,7,7,7,7,2014
6189,56242437200,6,6,6,6,6,2014
6202,55195186800,10,10,10,10,10,2014
6225,55658310200,10,10,10,10,10,2014
6239,26327067600,6,6,6,6,6,2014
6242,55975831200,4,4,4,4,4,2014
6273,56515429700,28,28,28,28,28,2014
6286,15925910100,2,2,3,3,3,2014
6291,56449188000,5,5,5,5,5,2014
6309,56487301800,8,8,8,8,8,2014
6315,56335517800,4,4,4,4,4,2014
6316,57198924701,5,8,8,8,8,2014
6347,55607830000,5,5,17,17,17,2014
6361,57191034838,3,3,5,5,7,2014
6367,56041813600,8,8,8,8,8,2014
6380,7005551088,83,83,83,83,83,2014
6383,56426434700,8,13,13,13,13,2014
6388,15050935000,6,6,6,6,6,2014
6397,55151448900,3,3,3,3,3,2014
6399,56303597300,3,3,3,3,3,2014
6413,7005598571,6,6,6,6,6,2014
6504,56069659300,4,7,7,7,7,2014
6520,55944721500,38,57,59,59,59,2014
6536,35100655200,8,8,8,8,8,2014
6537,55634594900,4,7,7,7,7,2014
6546,52363138500,6,6,6,6,6,2014
6591,56332666900,1,1,1,1,1,2014
6626,7006830110,3,3,3,3,3,2014
6633,23100240100,1,1,1,1,1,2014
6638,56492590200,3,3,3,3,3,2014
6672,55703434800,6,6,6,6,6,2014
6683,35742861500,24,24,24,24,24,2014
6687,57113286300,3,3,3,4,4,2014
6694,35318987800,2,4,4,4,4,2014
6706,55703013800,2,2,2,2,2,2014
6716,7402249392,43,43,43,43,43,2014
6721,56515427500,19,19,19,19,19,2014
6740,55549371500,3,3,3,3,3,2014
6750,55744150200,14,14,14,14,14,2014
6766,36237911700,13,13,13,13,13,2014
6778,6507322486,3,3,3,3,3,2014
6781,55699644000,5,5,5,5,5,2014
6796,56405270700,6,7,8,9,9,2014
6817,55615097600,4,4,4,4,4,2014
6836,56304648400,1,1,1,1,1,2014
6843,37121692700,2,2,2,2,2,2014
6977,24605650900,3,3,4,4,4,2014
6982,7004363417,6,6,6,9,9,2014
6983,56114624200,5,5,12,12,21,2014
6991,57207399448,2,2,2,2,2,2014
6996,16506662800,69,69,90,90,90,2014
7012,55546827600,39,39,39,39,39,2014
7015,55505870400,8,8,8,8,8,2014
7037,55953999700,3,3,3,3,3,2014
7049,56814283900,2,2,2,2,2,2014
7057,24472497900,13,20,20,20,20,2014
7058,36059703600,3,3,4,4,4,2014
7063,9532409900,7,7,10,10,16,2014
7075,56225502200,3,3,9,9,9,2014
7092,57203079557,32,32,42,42,69,2014
7142,54399617900,7,8,8,8,8,2014
7194,23088615800,32,32,32,32,32,2014
7208,56135587900,1,1,4,4,4,2014
7213,37051150800,5,5,5,5,5,2014
7225,34873432200,6,6,6,6,6,2014
7234,12240268200,6,6,6,6,6,2014
7308,56426183600,4,6,6,6,6,2014
7316,25927281600,3,3,3,3,3,2014
7317,56352262400,9,9,9,9,9,2014
7318,6603455357,3,3,3,3,3,2014
7353,56422276700,4,4,4,4,4,2014
7374,6602908373,10,10,10,10,10,2014
7376,24484725700,9,9,9,9,9,2014
7388,56505640300,37,37,37,37,61,2014
7396,55224557600,7,7,7,7,7,2014
7399,35767133300,8,12,16,16,18,2014
7403,56534892200,2,2,2,2,2,2014
7427,56515401700,16,16,16,16,20,2014
7450,57198122556,4,4,4,4,8,2014
7451,56514528000,46,46,46,46,46,2014
7455,7403935120,2,2,2,2,2,2014
7464,55466576500,4,4,4,4,7,2014
7472,56291679700,1,1,1,1,1,2014
7483,36731675700,6,6,15,19,21,2014
7504,57140160700,12,12,12,12,12,2014
7569,56122637100,4,4,5,5,5,2014
7574,8276654100,6,6,6,6,6,2014
7579,35197949100,3,3,5,5,5,2014
7599,57198059125,2,2,2,2,2,2014
7606,55762423400,11,11,11,16,16,2014
7629,6506902837,4,4,4,4,4,2014
7632,56429577100,2,2,2,2,2,2014
7645,55488564600,7,7,14,16,29,2014
7650,14068495700,3,3,3,3,3,2014
7660,56244600100,4,4,4,4,4,2014
7675,55774910300,7,7,7,7,7,2014
7684,55393465500,2,2,2,2,2,2014
7692,24734147700,46,46,46,46,46,2014
7698,7006304904,3,3,3,3,3,2014
7713,56352330400,1,1,1,1,1,2014
7727,56427021000,2,2,2,2,2,2014
7730,31267448600,2,2,2,2,2,2014
7744,57190326588,21,21,21,21,21,2014
7833,57004701400,5,5,5,5,5,2014
7852,36676752500,3,3,3,3,3,2014
7861,36992630400,5,5,5,5,5,2014
7909,50060902700,4,7,7,7,8,2014
7933,7005038735,3,3,3,3,3,2014
7989,56681047900,4,6,6,6,6,2014
8006,56515188800,6,6,6,6,6,2014
8041,56134949100,4,4,4,4,4,2014
8062,36053495300,10,10,10,10,10,2014
8074,26537744300,2,2,2,2,2,2014
8107,55826761400,7,7,7,7,7,2014
8109,42462691000,2,2,2,2,2,2014
8138,40761199100,6,6,6,6,6,2014
