ID,2016,2017,2018
57190745554,4,4,4
36164894300,5,13,13
57194657295,11,11,11
55838510332,0,5,5
10639679200,6,6,6
55892431600,5,5,5
8702625800,3,3,3
57189213486,3,3,3
6505920789,4,4,4
56383419500,36,36,100
56146573000,2,2,4
57188342600,3,3,3
56305691900,0,0,2
56045574200,13,13,13
57192371813,3,3,3
7201365464,3,3,3
57190980395,0,0,9
57189311190,14,14,14
57192295130,21,21,21
57189344824,82,82,82
31767729700,9,9,9
42261460000,2,2,2
57190300756,5,5,5
55601764600,10,10,10
57193573205,41,41,41
57160175300,17,17,17
57188752250,15,29,34
57188733509,6,6,6
55900690200,4,4,4
54987307300,45,92,92
57188671611,4,4,4
57192593045,11,11,11
57190001162,0,0,7
57191052229,3,3,3
6603757179,38,38,38
57115512200,3,3,3
57204698668,82,82,82
57192113111,0,0,4
22333378700,3,3,3
7404782905,33,33,33
57189464937,0,0,2
57193797107,3,3,3
57191737813,5,5,5
35335928400,0,0,16
55210404700,5,5,5
7004053293,2,2,2
57189067538,0,0,3
57193837049,0,0,5
57192701376,4,4,4
57192237482,14,14,14
57186398400,5,5,5
57192834926,15,15,15
57188754440,5,5,5
36614634800,3,3,3
56779730100,4,4,4
57191363595,4,4,4
51061122800,15,15,15
57190124242,3,3,3
57188590869,8,8,8
36623493800,3,3,16
56890365100,3,4,4
56568363800,4,7,8
57193699117,4,4,4
56158697000,5,5,5
57190948026,2,2,2
55547286400,0,0,6
55776619300,0,0,3
55967652800,10,10,10
57189220123,32,32,32
57191711457,87,87,120
57189729895,0,39,43
57190215418,0,5,5
56419270600,6,6,6
57192682800,2,2,2
57202228246,4,4,8
57197478894,3,3,3
57191628140,3,3,4
57184343300,9,9,9
55844557900,4,4,4
18633549200,0,21,21
57202489667,19,19,19
57190340575,1,2,5
57189355666,3,3,3
55062598600,4,4,5
23096778100,0,7,9
55248308500,4,4,4
57191380147,3,7,7
8649715100,4,4,4
57194184772,11,11,11
57189645750,16,16,16
36816879400,4,4,4
57190133665,5,5,5
24476836100,0,0,20
55553489100,5,5,5
57188666556,0,3,3
56427921400,5,5,5
57188706549,5,5,5
7402073082,6,9,9
57194113582,55,55,55
55935951000,16,16,16
13606225400,0,5,5
57191708967,4,4,4
57189327719,6,6,6
57189232454,2,2,2
57130587700,2,2,2
57188584502,81,81,81
57191404306,3,3,3
55586567800,3,3,3
49962225000,3,3,3
57206276045,14,14,14
57191579613,3,3,3
57190943172,24,32,33
7003488915,11,32,32
55553743050,2,2,2
57192839213,6,12,13
6603384576,13,13,13
57185236700,15,15,15
35605451500,13,13,13
57190808093,0,14,30
57193577118,10,10,10
57192593777,41,41,41
57191674868,4,4,4
55154876600,24,24,24
37051131500,11,11,11
57192194863,4,4,4
57193154148,6,6,6
56024182100,14,14,14
55342531400,81,81,81
57192711155,5,5,5
57191223206,1,1,1
57191278839,0,3,3
36622157100,6,6,6
36239654800,1,1,1
9232973200,17,21,21
