Unnamed: 0,ID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
34,7005865095,6,6,6,6,6,6,6,6,6,6,6,8,2007
68,23008692200,43,43,62,62,62,62,62,62,62,62,62,62,2007
92,7103065327,3,3,3,3,12,12,12,21,34,34,36,36,2007
94,6508252665,4,9,9,9,9,9,9,9,9,9,9,9,2007
103,24469712500,4,6,6,9,11,11,14,14,15,15,15,15,2007
112,18437015900,2,2,2,2,2,2,2,2,2,2,2,2,2007
148,57204345850,3,3,3,6,6,6,6,7,13,16,16,16,2007
169,13005751700,10,10,10,10,10,10,10,10,10,10,10,10,2007
173,55715631800,4,4,4,4,4,4,4,4,4,4,4,4,2007
174,23100304500,9,9,9,9,9,9,9,9,9,9,9,9,2007
191,56030195400,4,4,4,4,4,4,4,4,4,4,4,4,2007
195,26767632400,1,1,1,1,1,1,1,1,1,1,1,1,2007
219,57194907127,5,5,5,5,5,5,5,5,5,5,5,5,2007
277,26026181500,2,2,3,6,6,6,9,9,9,9,9,9,2007
289,23984606900,3,3,3,3,3,3,3,3,3,3,3,3,2007
295,16178095900,1,1,1,1,1,1,1,1,1,1,1,1,2007
307,24722993500,2,2,2,2,2,2,2,2,2,2,2,2,2007
324,55738721200,2,2,5,5,5,5,5,5,5,5,5,5,2007
328,23397629300,3,3,4,4,4,4,4,4,4,4,4,4,2007
335,8319802300,4,6,6,6,6,6,6,6,6,6,6,6,2007
355,8552286100,1,1,1,1,1,1,1,7,7,7,7,7,2007
368,6507778855,7,7,7,7,7,60,60,60,60,60,60,60,2007
379,16417168600,1,1,1,1,1,1,1,1,1,1,1,1,2007
445,37091242100,13,13,13,13,13,13,13,13,13,13,13,13,2007
459,55912445100,5,5,5,5,5,5,5,5,5,5,5,5,2007
490,22940989000,2,2,2,2,2,2,2,2,2,2,2,2,2007
553,23006340400,3,3,3,3,3,3,3,3,3,3,3,3,2007
613,7005170650,1,1,1,1,1,1,1,3,8,8,11,11,2007
643,54985679700,6,6,6,6,6,6,6,6,6,6,6,6,2007
684,9744913000,6,6,6,6,6,6,6,6,6,6,6,6,2007
728,6507589105,4,4,4,4,4,4,4,4,4,4,4,4,2007
763,7003876431,17,17,17,17,17,17,17,17,17,17,17,17,2007
806,13106009800,65,65,65,65,65,65,65,65,65,65,65,65,2007
810,16204410100,1,1,1,1,1,1,1,1,1,1,1,1,2007
842,35601922700,4,4,18,18,24,24,24,24,24,24,24,24,2007
849,55867065700,15,15,15,15,15,15,15,15,15,15,15,15,2007
853,34770243100,12,12,12,12,12,15,15,15,15,15,15,15,2007
