Unnamed: 0,ID,2018,start_year
12,56985435800,8,2018
49,57205427735,2,2018
57,8525292600,6,2018
71,56079662200,7,2018
73,57204397298,4,2018
102,55452991000,6,2018
109,57203179449,4,2018
117,56245385900,6,2018
130,24464505800,1,2018
132,16070341400,2,2018
151,57203101107,4,2018
161,55629547200,2,2018
176,10044860900,9,2018
184,57205349755,5,2018
188,57206490200,4,2018
205,57203229438,12,2018
210,56305691900,2,2018
214,57204440999,6,2018
241,57193844980,8,2018
243,57195559331,3,2018
250,6603096510,9,2018
262,57190980395,9,2018
285,57194835427,10,2018
287,57207468590,9,2018
308,7103138947,3,2018
337,6603212866,3,2018
341,56548968900,6,2018
347,57190573713,4,2018
377,6602293547,10,2018
385,56452559000,29,2018
387,57202889895,2,2018
390,57163047100,2,2018
398,57021574800,5,2018
414,36240772300,2,2018
421,57203204624,3,2018
449,57195940191,6,2018
456,57206736873,1,2018
458,55346238800,3,2018
496,56747980200,6,2018
512,56257263600,85,2018
516,7410389613,3,2018
526,35579517100,4,2018
529,57194144148,2,2018
548,57203964565,7,2018
580,57202308622,2,2018
585,23501064100,3,2018
586,57202293265,3,2018
594,57190001162,7,2018
606,6506175112,8,2018
627,57203228472,3,2018
634,36177268800,4,2018
642,57205205269,3,2018
644,6602704112,1,2018
659,12647414100,9,2018
661,56135211500,25,2018
665,37091588100,6,2018
680,57192113111,4,2018
689,56086562300,7,2018
696,37080173500,2,2018
710,57189464937,2,2018
713,57194829795,3,2018
719,35335928400,16,2018
722,56500665400,10,2018
755,57189067538,3,2018
757,35608588800,4,2018
768,57205276364,4,2018
769,57193837049,5,2018
782,35097705100,53,2018
785,57193573319,34,2018
790,57202218414,7,2018
798,55198926300,5,2018
823,25031812100,4,2018
844,57190854987,8,2018
852,56195317700,6,2018
865,57203753228,3,2018
882,57204151682,18,2018
892,6503944394,22,2018
896,57192708193,5,2018
921,57204921300,3,2018
923,57132195300,4,2018
924,57205197386,2,2018
941,55227532300,6,2018
981,56857628600,5,2018
988,6506173536,17,2018
1001,7004580383,8,2018
1013,57207659369,5,2018
1015,57202452343,20,2018
1016,56841677200,34,2018
1017,57188925334,7,2018
1019,57193717368,3,2018
1027,14834116500,11,2018
1031,13606583600,3,2018
1035,55647164349,9,2018
1070,24171745600,3,2018
1079,57202463996,2,2018
1109,57205865258,9,2018
1110,55547286400,6,2018
1112,57190765982,17,2018
1116,6506963115,4,2018
1136,57201524269,4,2018
1140,55776619300,3,2018
1159,55920231400,46,2018
1166,57203979023,3,2018
1177,57202195982,4,2018
1198,57199121290,4,2018
1205,16152544600,3,2018
1227,57202019974,3,2018
1239,22835644200,6,2018
1246,55605778823,11,2018
1250,57206328254,5,2018
1258,57200202986,4,2018
1261,56203876600,4,2018
1266,57201895372,31,2018
1270,57203132154,3,2018
1286,55121369800,8,2018
1303,57200935001,2,2018
1304,56071481700,3,2018
1305,57195152562,1,2018
1316,24821887700,2,2018
1340,54987296800,26,2018
1364,56019103400,2,2018
1374,35176582100,28,2018
1375,57193245301,6,2018
1378,57203306678,10,2018
1394,55250026100,5,2018
1398,57202982268,9,2018
1428,6503987935,39,2018
1450,36710846400,46,2018
1451,6507454795,3,2018
1470,56401138700,6,2018
1473,8619685500,7,2018
1477,56295197500,3,2018
1478,57204427716,5,2018
1483,6603574633,3,2018
1486,57194597960,2,2018
1488,7004577586,9,2018
1492,7005834063,35,2018
1495,57196087864,3,2018
1497,57196771510,4,2018
1502,13907492000,14,2018
1506,56942838600,6,2018
1523,57204950817,11,2018
1524,25227844000,2,2018
1530,57196841638,4,2018
1537,57195145501,9,2018
1540,57203857937,1,2018
1544,57203638637,7,2018
1546,57202504727,2,2018
1554,6701350379,4,2018
1598,56110277600,55,2018
1620,7003639284,5,2018
1625,57191526504,15,2018
1631,15042329400,2,2018
1647,9133584500,3,2018
1650,14015091400,2,2018
1686,57203900332,4,2018
1695,55920616100,5,2018
1703,16026010700,20,2018
1707,57200523890,2,2018
1738,7102516469,24,2018
1744,35229514800,12,2018
1753,24476836100,20,2018
1757,6508133198,9,2018
1758,57204778344,2,2018
1782,57203001993,4,2018
1787,57203762736,5,2018
1805,57207007975,32,2018
1847,55963778000,34,2018
1853,6603630362,3,2018
1861,57205681872,26,2018
1877,57205618140,3,2018
1878,27567609600,3,2018
1914,57203633651,3,2018
1936,7801582963,4,2018
1938,57203316421,7,2018
1939,57204684805,7,2018
1941,36550569400,7,2018
1967,57201435152,48,2018
1968,7007085257,15,2018
1992,52263577700,12,2018
1994,56709162900,16,2018
2002,54895309300,5,2018
2008,7006980383,46,2018
2039,57205913747,7,2018
2054,55265603400,23,2018
2083,7005305539,26,2018
2084,57194384147,8,2018
2117,36906824500,5,2018
2125,55975577300,30,2018
2132,57200728242,7,2018
2138,57201089960,6,2018
2145,6506819766,2,2018
2166,55234658800,17,2018
2176,18435007800,4,2018
2187,57199499801,1,2018
2200,35419102600,32,2018
2221,55743950600,6,2018
2222,57200128045,2,2018
2223,8535537900,10,2018
2230,57197870716,4,2018
2238,7801411001,5,2018
2253,35194398900,7,2018
2265,57199692885,3,2018
2286,55779670600,2,2018
2306,7005795536,7,2018
2333,35873590400,4,2018
2347,57188675645,14,2018
2357,12244600000,4,2018
2397,55312299000,7,2018
2415,57191092725,5,2018
2423,57103276900,5,2018
2425,57201359902,7,2018
2428,55903363700,6,2018
2433,57201670471,3,2018
2439,57205736153,2,2018
2488,36550661200,81,2018
2493,56578650000,5,2018
2498,56846174700,6,2018
2500,57201994046,5,2018
2506,56904207900,13,2018
2507,6507121168,2,2018
2516,57196278889,7,2018
