Unnamed: 0,ID,2017,2018,start_year
7,56523160100,6,6,2017
40,57193437031,5,5,2017
50,57201405140,15,15,2017
85,57193831201,6,6,2017
90,57190680369,3,3,2017
91,55838510332,5,5,2017
96,54385399300,6,6,2017
108,57196516104,2,2,2017
162,54419904100,4,4,2017
171,57197787536,1,1,2017
179,57193088194,4,4,2017
181,7003321707,3,3,2017
190,8974048100,17,17,2017
193,57203379822,4,4,2017
227,57193448950,3,3,2017
229,55259071200,8,8,2017
230,8517464000,27,27,2017
235,6506345528,3,3,2017
255,56223055000,20,20,2017
257,26025571400,5,5,2017
278,57196216997,6,6,2017
310,6603480856,2,2,2017
312,57196247566,3,3,2017
318,57200071649,17,17,2017
319,35430042600,6,6,2017
351,56083293900,14,14,2017
352,6602553055,2,2,2017
375,24170805000,4,4,2017
378,35848858900,38,38,2017
388,57195685840,28,40,2017
391,36172704800,21,21,2017
406,57194278954,5,5,2017
412,19337532100,29,29,2017
426,56411920100,13,13,2017
473,57198820650,4,4,2017
484,57193652514,5,5,2017
492,35424413500,9,26,2017
509,57196194669,4,4,2017
525,57195504582,6,6,2017
551,6504010163,7,13,2017
579,55937054700,34,34,2017
581,57201120477,3,3,2017
591,57200165239,4,6,2017
599,7401653270,8,8,2017
605,57199212073,10,10,2017
655,6602549287,8,8,2017
658,22835500500,17,17,2017
691,55613312700,6,6,2017
695,54792767800,7,7,2017
701,57193666554,3,3,2017
708,57197837651,3,5,2017
724,35937644700,7,7,2017
726,22134311400,5,5,2017
734,54881975600,2,2,2017
737,57200257905,2,4,2017
750,57195549010,2,2,2017
758,57195245709,4,4,2017
779,56489810900,2,5,2017
793,57202013381,5,5,2017
813,57194656359,23,23,2017
828,57195532898,2,4,2017
846,56717764600,4,4,2017
859,35772298600,7,7,2017
872,6701652404,2,2,2017
894,57201905011,2,2,2017
912,57191382777,2,2,2017
915,26656011800,4,4,2017
919,54785299800,2,2,2017
934,56845738100,10,10,2017
938,57193706236,4,4,2017
950,57195641275,3,3,2017
967,57195148240,5,5,2017
1023,36020849500,9,13,2017
1049,57193668892,3,3,2017
1072,55642871600,2,2,2017
1073,55195600600,3,3,2017
1078,57120007000,3,3,2017
1091,16307679400,27,27,2017
1101,56429699600,1,1,2017
1130,57200504901,6,6,2017
1135,56389226300,5,5,2017
1141,57196190739,3,8,2017
1172,55431373200,4,6,2017
1178,57197293765,9,9,2017
1179,57200553572,2,2,2017
1182,57189729895,39,43,2017
1192,26532134800,2,2,2017
1196,57190215418,5,5,2017
1199,57194207869,5,5,2017
1207,55255344600,2,2,2017
1210,6504825500,5,5,2017
1223,36069960100,8,8,2017
1234,57191870597,6,6,2017
1257,57197787406,12,12,2017
1265,57201300541,3,3,2017
1274,7403506666,13,13,2017
1283,8988880800,2,2,2017
1292,57000424800,2,2,2017
