Unnamed: 0,ID,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
127,6602380582,3,6,6,8,18,20,20,25,30,37,46,50,53,55,59,61,63,69,2001
350,54790545900,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2001
366,15763598000,1,2,2,2,3,5,5,9,9,11,11,13,13,19,25,27,27,27,2001
384,56255642600,3,3,4,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2001
583,6603842901,7,7,7,7,21,21,21,21,30,30,30,33,33,33,33,33,33,33,2001
774,7005702226,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2001
804,35588112200,10,10,12,14,14,14,18,18,18,18,18,31,35,35,35,35,37,37,2001
810,35611117900,4,9,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2001
919,6508351508,2,2,2,2,2,2,2,6,6,9,13,13,17,18,22,22,22,24,2001
959,6602785625,6,6,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2001
1337,6603059983,3,3,7,7,7,7,7,7,7,31,31,31,35,39,39,39,39,39,2001
1419,7006545325,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,2001
1440,23974378200,2,2,2,2,2,2,4,6,7,9,12,12,12,12,13,15,17,19,2001
1554,7005996148,1,1,1,1,1,3,3,3,3,3,3,3,3,3,8,9,31,31,2001
1678,56489440200,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2001
1807,26643591100,6,6,6,19,19,47,47,62,62,72,72,97,109,126,126,132,132,132,2001
1869,7102518220,11,11,11,11,11,11,12,12,12,12,12,12,15,15,15,15,18,18,2001
2194,6701605244,5,5,9,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,2001
2251,6603028561,2,7,7,8,8,8,13,13,17,18,25,25,27,30,35,36,39,44,2001
2435,7003770542,3,3,4,5,5,7,14,14,17,18,19,20,21,21,21,21,21,21,2001
2503,13613429100,1,3,4,4,4,4,8,13,15,22,22,27,27,28,40,42,42,42,2001
2528,7003267701,4,4,4,4,4,4,4,6,6,6,8,9,9,9,9,9,9,9,2001
2591,6701798447,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,5,5,5,2001
2660,6602156794,1,1,1,1,1,1,3,3,3,7,7,7,7,9,9,11,11,13,2001
2669,56031417600,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2001
2705,19035857400,1,1,1,1,1,3,6,6,6,6,6,6,6,7,7,7,7,7,2001
2725,56397246900,3,4,4,5,5,5,6,6,7,7,8,11,16,16,16,18,22,24,2001
2975,6602658033,1,1,3,3,4,4,4,4,6,7,7,7,8,8,10,13,14,14,2001
3017,7102629619,13,13,17,17,17,17,17,17,17,17,17,17,24,24,27,27,27,27,2001
