Unnamed: 0,ID,2011,2012,2013,2014,2015,2016,2017,2018,start_year
14,26326181300,5,5,5,5,5,5,5,5,2011
17,21834460700,2,2,2,2,5,5,5,5,2011
28,23992392000,3,3,3,9,20,23,34,47,2011
29,56130684200,1,1,1,2,2,2,2,2,2011
68,7402390313,6,6,23,23,34,34,34,34,2011
166,36630293400,5,5,5,8,8,8,11,18,2011
169,25655625500,5,5,5,6,6,6,6,6,2011
205,35147655600,2,2,2,2,2,2,2,2,2011
242,52063624000,2,2,2,7,7,7,7,7,2011
255,55879881900,5,5,5,5,5,5,5,5,2011
281,6602777491,5,5,5,5,5,5,5,5,2011
319,26664442500,4,4,4,4,7,7,7,7,2011
327,36604994100,11,20,20,20,20,20,20,20,2011
337,7007101008,1,1,1,1,1,1,1,1,2011
361,23394147700,1,1,1,1,1,1,1,1,2011
375,35179399600,1,1,1,1,1,1,4,4,2011
474,6601978855,6,6,6,6,6,6,6,6,2011
555,7005019635,5,5,5,5,5,5,5,5,2011
579,7101999997,1,1,1,1,1,1,1,1,2011
618,57204338494,2,2,9,9,9,9,9,9,2011
627,53866336800,4,4,4,4,4,4,4,4,2011
636,35114206300,4,4,4,4,4,4,4,4,2011
639,7202272125,6,6,6,6,6,6,6,6,2011
674,6602651468,1,6,6,6,9,9,9,31,2011
690,22034668700,7,10,10,10,15,15,20,23,2011
715,55545555900,7,7,7,7,7,7,7,7,2011
731,8944381100,6,7,7,7,7,10,13,15,2011
772,56229122400,9,9,9,9,9,9,9,9,2011
786,55994382800,16,16,16,16,16,16,16,16,2011
812,8227179100,5,5,5,5,11,11,11,11,2011
848,7004283739,31,31,31,31,31,31,31,31,2011
850,9435414200,5,5,5,5,106,106,106,106,2011
882,15044594600,8,8,8,12,12,12,12,12,2011
912,36623560000,4,7,7,8,8,8,8,8,2011
964,24167042300,8,8,8,8,8,8,8,21,2011
998,24466625100,7,7,7,7,7,7,7,7,2011
1103,49861227900,5,5,6,6,6,6,6,6,2011
1164,57198286325,4,4,4,4,4,4,4,4,2011
1228,26423751700,2,5,5,5,5,5,5,5,2011
1229,7004401312,6,6,6,6,6,6,6,6,2011
1266,51261004400,9,9,9,9,9,9,9,16,2011
1274,23668851400,2,2,2,2,2,2,2,2,2011
1286,22135401000,12,31,34,47,51,54,54,67,2011
1391,7005674149,2,2,2,2,2,2,2,2,2011
1393,57205013279,4,9,14,16,19,22,30,33,2011
1399,54954314500,2,2,2,2,2,3,3,3,2011
1443,6701620580,31,31,31,31,31,31,31,31,2011
1445,7005350867,1,1,1,4,4,4,4,4,2011
1452,54397650200,4,4,20,24,25,25,25,25,2011
1496,36719811900,4,4,4,5,5,5,5,5,2011
1500,23006238400,5,5,5,5,5,5,5,5,2011
1538,8684899100,1,4,4,4,4,4,4,4,2011
1587,6602877914,5,5,5,5,5,5,5,5,2011
1615,7004640909,34,35,35,35,35,35,35,35,2011
1626,35549610800,7,7,7,7,7,19,19,19,2011
1632,7005948509,3,3,3,3,3,3,3,3,2011
1696,26664445300,4,4,4,4,4,4,7,14,2011
1712,35203239100,6,6,6,6,6,6,10,10,2011
1726,53880698700,4,11,11,11,11,11,11,11,2011
1734,54387180500,3,3,3,3,3,5,7,7,2011
1739,55414263600,4,6,10,10,10,10,10,10,2011
1763,54782256100,3,3,3,17,17,17,17,17,2011
1772,7003525284,8,10,10,10,10,12,12,12,2011
1804,22986910200,13,25,25,25,25,25,25,25,2011
1815,8213202100,6,6,6,6,6,6,6,6,2011
1895,24438065100,5,5,5,5,6,11,11,11,2011
1899,6508309923,1,1,2,2,3,3,3,3,2011
1925,36703884500,18,18,18,18,18,18,18,18,2011
1983,9240440400,3,4,4,7,7,7,7,7,2011
1999,35076902200,2,2,2,5,9,9,11,13,2011
2002,7004859994,5,5,5,5,5,5,5,5,2011
2021,54420469800,3,4,4,4,6,6,6,6,2011
2055,50861582000,4,4,4,4,4,10,10,20,2011
2077,6602935643,4,4,5,5,5,5,5,5,2011
2101,54684373900,2,3,3,3,6,6,8,8,2011
2193,36342837600,5,5,5,10,10,10,16,16,2011
2202,8950100000,4,4,7,7,7,7,10,10,2011
2213,55391395500,2,2,2,2,2,2,2,2,2011
2215,56131633400,5,5,5,6,6,6,6,6,2011
2239,7003771208,3,3,3,3,3,3,3,3,2011
2259,35253501500,3,3,3,3,3,3,3,3,2011
2307,55875407100,8,10,15,35,44,74,76,113,2011
2361,37085117000,4,4,4,4,4,11,11,11,2011
2382,55937393400,3,3,3,3,3,3,3,3,2011
2406,55129240500,5,5,5,5,5,6,6,6,2011
2410,56688395000,3,3,3,4,4,4,4,4,2011
2450,54898040100,3,5,18,18,18,18,18,18,2011
2553,6602663280,3,3,3,3,3,3,25,25,2011
2565,36439147500,5,12,12,12,15,15,18,18,2011
2607,57203081696,1,4,4,4,4,17,17,17,2011
2610,6507765207,8,8,8,8,8,8,8,8,2011
2618,36706694100,5,5,5,5,5,5,19,19,2011
2714,55208388000,2,2,2,2,7,7,10,10,2011
2717,54398330700,4,4,4,4,10,10,17,19,2011
2722,24780073200,10,10,10,10,13,20,20,20,2011
2792,8587492100,3,3,3,3,3,3,3,3,2011
2833,35609181100,2,3,3,3,3,3,3,3,2011
2851,42761951300,2,2,5,5,11,14,14,14,2011
2883,44260904300,2,3,3,4,5,6,7,7,2011
2924,54685294700,17,20,20,20,20,20,20,20,2011
2927,36859280200,2,2,5,23,23,30,31,31,2011
2931,55263489300,2,3,3,4,4,4,4,10,2011
2999,49360917300,5,6,14,14,22,26,30,39,2011
3050,6504590352,6,6,9,9,9,9,9,9,2011
