Unnamed: 0,ID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
38,7005865095,6,6,6,6,6,6,6,6,6,6,6,8,2007
74,23008692200,43,43,62,62,62,62,62,62,62,62,62,62,2007
100,7103065327,3,3,3,3,12,12,12,21,34,34,36,36,2007
102,6508252665,4,9,9,9,9,9,9,9,9,9,9,9,2007
111,24469712500,4,6,6,9,11,11,14,14,15,15,15,15,2007
120,18437015900,2,2,2,2,2,2,2,2,2,2,2,2,2007
157,57204345850,3,3,3,6,6,6,6,7,13,16,16,16,2007
180,13005751700,10,10,10,10,10,10,10,10,10,10,10,10,2007
181,6508024595,4,4,4,4,4,4,4,4,4,4,4,4,2007
185,55715631800,4,4,4,4,4,4,4,4,4,4,4,4,2007
186,23100304500,9,9,9,9,9,9,9,9,9,9,9,9,2007
205,56030195400,4,4,4,4,4,4,4,4,4,4,4,4,2007
209,26767632400,1,1,1,1,1,1,1,1,1,1,1,1,2007
233,57194907127,5,5,5,5,5,5,5,5,5,5,5,5,2007
292,26026181500,2,2,3,6,6,6,9,9,9,9,9,9,2007
304,23984606900,3,3,3,3,3,3,3,3,3,3,3,3,2007
311,16178095900,1,1,1,1,1,1,1,1,1,1,1,1,2007
323,24722993500,2,2,2,2,2,2,2,2,2,2,2,2,2007
340,55738721200,2,2,5,5,5,5,5,5,5,5,5,5,2007
344,23397629300,3,3,4,4,4,4,4,4,4,4,4,4,2007
351,8319802300,4,6,6,6,6,6,6,6,6,6,6,6,2007
372,8552286100,1,1,1,1,1,1,1,7,7,7,7,7,2007
389,6507778855,7,7,7,7,7,60,60,60,60,60,60,60,2007
400,16417168600,1,1,1,1,1,1,1,1,1,1,1,1,2007
475,37091242100,13,13,13,13,13,13,13,13,13,13,13,13,2007
489,55912445100,5,5,5,5,5,5,5,5,5,5,5,5,2007
520,22940989000,2,2,2,2,2,2,2,2,2,2,2,2,2007
584,23006340400,3,3,3,3,3,3,3,3,3,3,3,3,2007
648,7005170650,1,1,1,1,1,1,1,3,8,8,11,11,2007
678,54985679700,6,6,6,6,6,6,6,6,6,6,6,6,2007
722,9744913000,6,6,6,6,6,6,6,6,6,6,6,6,2007
769,6507589105,4,4,4,4,4,4,4,4,4,4,4,4,2007
806,7003876431,17,17,17,17,17,17,17,17,17,17,17,17,2007
851,13106009800,65,65,65,65,65,65,65,65,65,65,65,65,2007
855,16204410100,1,1,1,1,1,1,1,1,1,1,1,1,2007
888,35601922700,4,4,18,18,24,24,24,24,24,24,24,24,2007
896,55867065700,15,15,15,15,15,15,15,15,15,15,15,15,2007
900,34770243100,12,12,12,12,12,15,15,15,15,15,15,15,2007
902,56248584000,4,4,4,4,4,4,4,4,4,4,4,4,2007
923,6603312833,1,4,4,4,4,4,4,4,4,4,4,4,2007
936,18042059200,5,5,6,8,8,8,14,14,20,20,20,20,2007
957,55470573600,3,3,3,3,3,3,3,3,3,3,3,3,2007
963,8723630100,7,8,8,8,8,13,13,17,17,17,17,17,2007
1005,24781182200,3,11,11,14,14,14,14,14,14,15,17,17,2007
1007,16204514500,4,4,4,4,4,4,4,4,4,4,4,4,2007
1008,51461997500,7,7,7,7,7,7,7,7,7,7,7,7,2007
1024,8964316200,5,5,5,15,15,15,15,15,15,15,15,15,2007
1025,55946710700,3,3,3,3,3,3,3,3,3,3,3,3,2007
1031,16239955600,4,4,4,4,4,4,4,4,4,4,4,4,2007
1034,16230566700,22,25,25,25,25,25,25,25,25,25,25,25,2007
1062,35876661400,3,3,3,3,3,3,3,3,3,3,3,3,2007
1064,24340960000,4,4,4,4,4,4,4,4,4,4,4,4,2007
1162,24775838600,3,3,3,8,8,10,14,14,14,18,18,21,2007
1192,14035001100,8,8,8,10,12,12,12,12,12,17,17,20,2007
1205,23008653600,3,3,3,3,3,3,3,3,3,3,3,3,2007
1208,16306874300,11,11,11,11,11,11,11,11,11,11,11,11,2007
1210,24462752100,11,11,11,11,11,11,17,17,17,17,17,17,2007
1260,6602339312,4,4,4,4,4,4,4,4,4,4,4,4,2007
1269,6603285417,9,11,11,11,11,11,11,11,11,11,11,11,2007
1289,6602921404,3,3,3,3,3,3,3,3,3,3,3,3,2007
1310,14037079200,12,12,12,23,28,31,31,31,31,31,31,31,2007
1366,24724117800,4,4,4,4,4,4,4,4,4,4,4,4,2007
